ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-11-18,10,23.219,BAL,,CLE,L 30-33,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
2,2007,2007-11-25,11,23.226,BAL,@,SDG,L 14-32,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
3,2007,2007-12-09,13,23.240,BAL,,IND,L 20-44,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,,
4,2007,2007-12-23,15,23.254,BAL,@,SEA,L 6-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
5,2007,2007-12-30,16,23.261,BAL,,PIT,W 27-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
6,2009,2010-01-03,16,25.265,DEN,,KAN,L 24-44,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2010,2010-09-12,1,26.152,DEN,@,JAX,L 17-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1
8,2010,2010-09-19,2,26.159,DEN,,SEA,W 31-14,,,,,,,0.0%,,,,,,,,,,,,,,
9,2010,2010-09-26,3,26.166,DEN,,IND,L 13-27,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2010,2010-10-03,4,26.173,DEN,@,TEN,W 26-20,,,,,,,0.0%,,,,,,,,,,,,,,
11,2010,2010-10-10,5,26.180,DEN,@,BAL,L 17-31,,,,,,,0.0%,,,,,,,,,,,,,,
12,2010,2010-10-17,6,26.187,DEN,,NYJ,L 20-24,,,,,,,0.0%,,,,,,,,,,,,,,
13,2011,2011-09-12,1,27.152,DEN,,OAK,L 20-23,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2011,2011-09-18,2,27.158,DEN,,CIN,W 24-22,,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2011,2011-09-25,3,27.165,DEN,@,TEN,L 14-17,,3,2,16,8.00,1,66.7%,5.33,0,0,,0,0,0,,0,1,6,0.0,0,0
16,2011,2011-10-02,4,27.172,DEN,@,GNB,L 23-49,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,1,0
17,2011,2011-10-09,5,27.179,DEN,,SDG,L 24-29,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2011,2011-10-23,6,27.193,DEN,@,MIA,W 18-15,,2,1,42,42.00,0,50.0%,21.00,0,0,,0,0,0,,0,0,0,0.0,0,0
