ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
1,2017,2017-09-10,1,23.101,NYJ,@,BUF,L 12-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
2,2017,2017-09-17,2,23.108,NYJ,@,OAK,L 20-45,,6,29,4.83,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0
3,2017,2017-09-24,3,23.115,NYJ,,MIA,W 20-6,,7,34,4.86,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
4,2017,2017-10-01,4,23.122,NYJ,,JAX,W 23-20,,10,93,9.30,1,2,2,38,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,,1,6
5,2017,2017-10-08,5,23.129,NYJ,@,CLE,W 17-14,,11,20,1.82,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,,0,0
6,2017,2017-10-15,6,23.136,NYJ,,NWE,L 17-24,*,10,22,2.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
7,2017,2017-10-22,7,23.143,NYJ,@,MIA,L 28-31,,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
8,2017,2017-10-29,8,23.150,NYJ,,ATL,L 20-25,,1,2,2.00,0,0,0,0,,0,0.0%,,3,67,22.33,0,0,0,,0,,0,0
9,2017,2017-11-02,9,23.154,NYJ,,BUF,W 34-21,,13,30,2.31,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,1,10,10.00,0,,0,0
10,2017,2017-11-12,10,23.164,NYJ,@,TAM,L 10-15,,8,22,2.75,0,7,4,36,9.00,0,57.1%,5.14,0,0,,0,0,0,,0,,0,0
11,2017,2017-11-26,11,23.178,NYJ,,CAR,L 27-35,,5,21,4.20,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0
12,2017,2017-12-03,12,23.185,NYJ,,KAN,W 38-31,,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,2
13,2017,2017-12-10,13,23.192,NYJ,@,DEN,L 0-23,*,1,-3,-3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
14,2017,2017-12-17,14,23.199,NYJ,@,NOR,L 19-31,,4,24,6.00,0,3,3,48,16.00,1,100.0%,16.00,0,0,,0,0,0,,0,,1,6
15,2017,2017-12-24,15,23.206,NYJ,,LAC,L 7-14,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
16,2017,2017-12-31,16,23.213,NYJ,@,NWE,L 6-26,,4,-6,-1.50,0,6,3,16,5.33,0,50.0%,2.67,1,16,16.00,0,0,0,,0,,0,0
