ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2017,2017-09-11,1,22.255,NOR,@,MIN,L 19-29,,0,0,,0,1,22,22.00,0,0,0
2,2017,2017-09-17,2,22.261,NOR,,NWE,L 20-36,,0,0,,0,2,43,21.50,0,0,0
3,2017,2017-09-24,3,22.268,NOR,@,CAR,W 34-13,,0,0,,0,0,0,,0,0,0
4,2017,2017-10-01,4,22.275,NOR,@,MIA,W 20-0,,0,0,,0,0,0,,0,0,0
5,2017,2017-10-15,5,22.289,NOR,,DET,W 52-38,,0,0,,0,0,0,,0,0,0
6,2017,2017-10-22,6,22.296,NOR,@,GNB,W 26-17,,0,0,,0,0,0,,0,0,0
7,2017,2017-10-29,7,22.303,NOR,,CHI,W 20-12,,0,0,,0,0,0,,0,0,0
8,2017,2017-11-05,8,22.310,NOR,,TAM,W 30-10,,0,0,,0,0,0,,0,0,0
9,2017,2017-11-12,9,22.317,NOR,@,BUF,W 47-10,,9,48,5.33,1,0,0,,0,1,6
10,2017,2017-11-19,10,22.324,NOR,,WAS,W 34-31,,0,0,,0,0,0,,0,0,0
11,2017,2017-11-26,11,22.331,NOR,@,LAR,L 20-26,,0,0,,0,0,0,,0,0,0
12,2017,2017-12-03,12,22.338,NOR,,CAR,W 31-21,,0,0,,0,0,0,,0,0,0
13,2017,2017-12-07,13,22.342,NOR,@,ATL,L 17-20,,0,0,,0,0,0,,0,0,0
14,2017,2017-12-17,14,22.352,NOR,,NYJ,W 31-19,,0,0,,0,0,0,,0,0,0
15,2017,2017-12-24,15,22.359,NOR,,ATL,W 23-13,,0,0,,0,0,0,,0,0,0
16,2017,2017-12-31,16,23.001,NOR,@,TAM,L 24-31,,0,0,,0,0,0,,0,0,0
