ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1971,1971-09-19,1,22.291,CLE,,HOU,W 31-0,,,,,,,,,
2,1971,1971-09-26,2,22.298,CLE,@,BAL,W 14-13,,,,,,,,,
3,1971,1971-10-04,3,22.306,CLE,,OAK,L 20-34,,,,,,,,,
4,1971,1971-10-10,4,22.312,CLE,,PIT,W 27-17,,,,,,,,,
5,1971,1971-10-17,5,22.319,CLE,@,CIN,W 27-24,,,,,,,,,
6,1971,1971-10-24,6,22.326,CLE,,DEN,L 0-27,,,,,,,,,
7,1971,1971-10-31,7,22.333,CLE,,ATL,L 14-31,,,,,,,,,
8,1971,1971-11-07,8,22.340,CLE,@,PIT,L 9-26,,,,,,,,,
9,1971,1971-11-14,9,22.347,CLE,@,KAN,L 7-13,,,,,,,,,
10,1971,1971-11-21,10,22.354,CLE,,NWE,W 27-7,,,,,,,,,
11,1971,1971-11-28,11,22.361,CLE,@,HOU,W 37-24,,,,,,,,,
12,1971,1971-12-05,12,23.003,CLE,,CIN,W 31-27,,,,,,,,,
13,1971,1971-12-12,13,23.010,CLE,@,NOR,W 21-17,,,,,,,,,
14,1971,1971-12-19,14,23.017,CLE,@,WAS,W 20-13,,,,,,,,,
15,1972,1972-09-17,1,23.290,CLE,,GNB,L 10-26,,,,,,,,,
16,1972,1972-09-24,2,23.297,CLE,@,PHI,W 27-17,,,,,,,,,
17,1972,1972-10-01,3,23.304,CLE,,CIN,W 27-6,,,,,,,,,
18,1972,1972-10-08,4,23.311,CLE,,KAN,L 7-31,0,0,,0,0,0,1,12,0
19,1972,1972-10-15,5,23.318,CLE,,CHI,L 0-17,,,,,,,,,
20,1972,1972-10-22,6,23.325,CLE,@,HOU,W 23-17,,,,,,,,,
21,1972,1972-10-29,7,23.332,CLE,@,DEN,W 27-20,,,,,,,,,
22,1972,1972-11-05,8,23.339,CLE,,HOU,W 20-0,,,,,,,,,
23,1972,1972-11-13,9,23.347,CLE,@,SDG,W 21-17,,,,,,,,,
24,1972,1972-11-19,10,23.353,CLE,,PIT,W 26-24,,,,,,,,,
25,1972,1972-11-26,11,23.360,CLE,,BUF,W 27-10,,,,,,,,,
26,1972,1972-12-03,12,24.001,CLE,@,PIT,L 0-30,,,,,,,,,
27,1972,1972-12-09,13,24.007,CLE,@,CIN,W 27-24,,,,,,,,,
28,1972,1972-12-17,14,24.015,CLE,@,NYJ,W 26-10,,,,,,,,,
29,1973,1973-09-16,1,24.288,CLE,,BAL,W 24-14,,,,,,,,,
30,1973,1973-09-23,2,24.295,CLE,@,PIT,L 6-33,,,,,,,,,
31,1973,1973-09-30,3,24.302,CLE,,NYG,W 12-10,,,,,,,,,
32,1973,1973-10-07,4,24.309,CLE,,CIN,W 17-10,,,,,,,,,
33,1973,1973-10-15,5,24.317,CLE,,MIA,L 9-17,,,,,,,,,
34,1973,1973-10-21,6,24.323,CLE,,HOU,W 42-13,,,,,,,,,
35,1973,1973-10-28,7,24.330,CLE,,SDG,T 16-16,,,,,,,,,
36,1973,1973-11-04,8,24.337,CLE,@,MIN,L 3-26,,,,,,,,,
37,1973,1973-11-11,9,24.344,CLE,@,HOU,W 23-13,,,,,,,,,
38,1973,1973-11-18,10,24.351,CLE,@,OAK,W 7-3,1,0,0.00,0,0,0,0,0,0
39,1973,1973-11-25,11,24.358,CLE,,PIT,W 21-16,,,,,,,,,
40,1973,1973-12-02,12,25.000,CLE,@,KAN,T 20-20,,,,,,,,,
41,1973,1973-12-09,13,25.007,CLE,@,CIN,L 17-34,,,,,,,,,
42,1973,1973-12-16,14,25.014,CLE,@,RAM,L 17-30,,,,,,,,,
43,1974,1974-09-15,1,25.287,CLE,@,CIN,L 7-33,,,,,,,,,
44,1974,1974-09-22,2,25.294,CLE,,HOU,W 20-7,,,,,,,,,
45,1974,1974-09-29,3,25.301,CLE,@,STL,L 7-29,,,,,,,,,
46,1974,1974-10-06,4,25.308,CLE,,OAK,L 24-40,0,0,,0,1,6,1,29,1
47,1974,1974-10-13,5,25.315,CLE,,CIN,L 24-34,,,,,,,,,
48,1974,1974-10-20,6,25.322,CLE,@,PIT,L 16-20,,,,,,,,,
49,1974,1974-10-27,7,25.329,CLE,,DEN,W 23-21,,,,,,,,,
50,1974,1974-11-03,8,25.336,CLE,@,SDG,L 35-36,,,,,,,,,
51,1974,1974-11-10,9,25.343,CLE,@,NWE,W 21-14,0,0,,0,0,0,1,25,0
52,1974,1974-11-17,10,25.350,CLE,,PIT,L 16-26,,,,,,,,,
53,1974,1974-11-24,11,25.357,CLE,,BUF,L 10-15,,,,,,,,,
