ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2009,2009-09-13,1,24.200,MIN,@,CLE,W 34-20,,,,,,,,,,,0.0%,,,,,
2,2009,2009-09-20,2,24.207,MIN,@,DET,W 27-13,,,,,,,,,,,0.0%,,,,,
3,2009,2009-09-27,3,24.214,MIN,,SFO,W 27-24,,,,,,,,,,,0.0%,,,,,
4,2009,2009-10-05,4,24.222,MIN,,GNB,W 30-23,,,,,,,,,,,0.0%,,,,,
5,2009,2009-12-13,13,24.291,MIN,,CIN,W 30-10,,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,,0
6,2009,2009-12-28,15,24.306,MIN,@,CHI,L 30-36,,,,,,,,,,,0.0%,,,,,
7,2009,2010-01-03,16,24.312,MIN,,NYG,W 44-7,,10,40,4.00,0,0,0,0,,0,0.0%,,0,0,,0
8,2010,2010-09-09,1,25.196,MIN,@,NOR,L 9-14,,3,2,0.67,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0
9,2010,2010-10-17,5,25.234,MIN,,DAL,W 24-21,,,,,,,,,,,0.0%,,,,,
10,2010,2010-12-05,12,25.283,MIN,,BUF,W 38-14,,10,27,2.70,0,0,0,0,,0,0.0%,,1,25,25.00,0
