ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1995,1995-09-24,4,24.236,PIT,,MIN,L 24-44,,,,,,0.0%,
2,1995,1995-10-01,5,24.243,PIT,,SDG,W 31-16,,,,,,0.0%,
3,1995,1995-12-24,16,24.327,PIT,@,GNB,L 19-24,,,,,,0.0%,
4,1996,1996-09-01,1,25.214,PIT,@,JAX,L 9-24,,0,0,,0,0.0%,
5,1996,1996-09-08,2,25.221,PIT,,BAL,W 31-17,,0,0,,0,0.0%,
6,1996,1996-09-16,3,25.229,PIT,,BUF,W 24-6,,0,0,,0,0.0%,
7,1996,1996-09-29,4,25.242,PIT,,HOU,W 30-16,1,0,0,,0,0.0%,0.00
8,1996,1996-10-07,5,25.250,PIT,@,KAN,W 17-7,1,0,0,,0,0.0%,0.00
9,1996,1996-10-13,6,25.256,PIT,,CIN,W 20-10,1,0,0,,0,0.0%,0.00
10,1996,1996-10-20,7,25.263,PIT,@,HOU,L 13-23,,0,0,,0,0.0%,
11,1996,1996-12-01,13,25.305,PIT,@,BAL,L 17-31,1,1,7,7.00,0,100.0%,7.00
12,1996,1996-12-08,14,25.312,PIT,,SDG,W 16-3,0,0,0,,0,0.0%,
13,1996,1996-12-15,15,25.319,PIT,,SFO,L 15-25,,0,0,,0,0.0%,
14,1996,1996-12-22,16,25.326,PIT,@,CAR,L 14-18,,0,0,,0,0.0%,
15,1997,1997-10-19,7,26.261,PIT,@,CIN,W 26-10,,,,,,0.0%,
16,1997,1997-10-26,8,26.268,PIT,,JAX,W 23-17,,,,,,0.0%,
