ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2016,2016-09-11,1,21.312,ATL,,TAM,L 24-31,,1,1,14,14.00,0,100.0%,14.00,,0,0
2,2016,2016-09-18,2,21.319,ATL,@,OAK,W 35-28,,3,3,84,28.00,0,100.0%,28.00,,0,0
3,2016,2016-09-26,3,21.327,ATL,@,NOR,W 45-32,,0,0,0,,0,0.0%,,,0,0
4,2016,2016-10-02,4,21.333,ATL,,CAR,W 48-33,,1,1,42,42.00,1,100.0%,42.00,,1,6
5,2016,2016-10-09,5,21.340,ATL,@,DEN,W 23-16,,1,1,14,14.00,0,100.0%,14.00,,0,0
6,2016,2016-10-16,6,21.347,ATL,@,SEA,L 24-26,,0,0,0,,0,0.0%,,,0,0
7,2016,2016-10-23,7,21.354,ATL,,SDG,L 30-33,,0,0,0,,0,0.0%,,,0,0
8,2016,2016-10-30,8,21.361,ATL,,GNB,W 33-32,*,5,5,41,8.20,0,100.0%,8.20,,0,0
9,2016,2016-11-03,9,21.365,ATL,@,TAM,W 43-28,,6,3,46,15.33,1,50.0%,7.67,,1,6
10,2016,2016-11-13,10,22.009,ATL,@,PHI,L 15-24,,3,1,8,8.00,0,33.3%,2.67,,0,0
11,2016,2016-11-27,11,22.023,ATL,,ARI,W 38-19,,2,2,8,4.00,0,100.0%,4.00,,0,0
12,2016,2016-12-04,12,22.030,ATL,,KAN,L 28-29,*,1,0,0,,0,0.0%,0.00,,0,0
13,2016,2016-12-11,13,22.037,ATL,@,LAR,W 42-14,*,3,1,5,5.00,0,33.3%,1.67,,0,0
14,2016,2016-12-18,14,22.044,ATL,,SFO,W 41-13,,1,1,9,9.00,1,100.0%,9.00,,1,6
15,2017,2017-09-10,1,22.310,ATL,@,CHI,W 23-17,*,2,2,128,64.00,1,100.0%,64.00,,1,6
16,2017,2017-09-17,2,22.317,ATL,,GNB,W 34-23,*,2,2,7,3.50,0,100.0%,3.50,,0,0
17,2017,2017-09-24,3,22.324,ATL,@,DET,W 30-26,,2,1,9,9.00,0,50.0%,4.50,,0,0
18,2017,2017-10-01,4,22.331,ATL,,BUF,L 17-23,,7,5,50,10.00,0,71.4%,7.14,,0,0
19,2017,2017-10-15,5,22.345,ATL,,MIA,L 17-20,*,9,7,48,6.86,0,77.8%,5.33,,0,0
20,2017,2017-10-22,6,22.352,ATL,@,NWE,L 7-23,,1,1,6,6.00,0,100.0%,6.00,,0,0
21,2017,2017-10-29,7,22.359,ATL,@,NYJ,W 25-20,*,6,4,47,11.75,1,66.7%,7.83,,1,6
22,2017,2017-11-05,8,23.001,ATL,@,CAR,L 17-20,*,6,3,36,12.00,0,50.0%,6.00,,0,0
23,2017,2017-11-12,9,23.008,ATL,,DAL,W 27-7,*,6,6,49,8.17,1,100.0%,8.17,,1,6
24,2017,2017-11-20,10,23.016,ATL,@,SEA,W 34-31,*,2,2,-1,-0.50,0,100.0%,-0.50,,0,0
25,2017,2017-11-26,11,23.022,ATL,,TAM,W 34-20,*,5,3,38,12.67,0,60.0%,7.60,,0,0
26,2017,2017-12-03,12,23.029,ATL,,MIN,L 9-14,,4,3,21,7.00,0,75.0%,5.25,,0,0
27,2017,2017-12-07,13,23.033,ATL,,NOR,W 20-17,,4,2,23,11.50,0,50.0%,5.75,,0,0
28,2017,2017-12-18,14,23.044,ATL,@,TAM,W 24-21,,2,2,12,6.00,0,100.0%,6.00,,0,0
29,2017,2017-12-24,15,23.050,ATL,@,NOR,L 13-23,,4,3,18,6.00,0,75.0%,4.50,,0,0
30,2017,2017-12-31,16,23.057,ATL,,CAR,W 22-10,,3,3,35,11.67,0,100.0%,11.67,,0,0
31,2018,2018-09-06,1,23.306,ATL,@,PHI,L 12-18,,4,3,24,8.00,0,75.0%,6.00,,0,0
32,2018,2018-09-16,2,23.316,ATL,,CAR,W 31-24,,5,5,59,11.80,1,100.0%,11.80,,1,6
33,2018,2018-09-23,3,23.323,ATL,,NOR,L 37-43,,4,3,23,7.67,0,75.0%,5.75,1,0,2
