ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2016,2016-09-25,3,23.362,KAN,,NYJ,W 24-3,
2,2016,2016-10-02,4,24.003,KAN,@,PIT,L 14-43,
3,2016,2016-10-23,6,24.024,KAN,,NOR,W 27-21,
4,2016,2016-10-30,7,24.031,KAN,@,IND,W 30-14,
5,2016,2016-11-13,9,24.045,KAN,@,CAR,W 20-17,
6,2016,2016-11-27,11,24.059,KAN,@,DEN,W 30-27,
7,2016,2016-12-18,14,24.080,KAN,,TEN,L 17-19,
8,2016,2016-12-25,15,24.087,KAN,,DEN,W 33-10,
9,2016,2017-01-01,16,24.094,KAN,@,SDG,W 37-27,
