ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,2005,2006-01-01,16,24.089,ARI,@,IND,L 13-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
2,2006,2006-10-16,6,25.012,ARI,,CHI,L 23-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,
3,2006,2006-10-22,7,25.018,ARI,@,OAK,L 9-22,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,
4,2006,2006-10-29,8,25.025,ARI,@,GNB,L 14-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,
5,2006,2006-11-12,9,25.039,ARI,,DAL,L 10-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
6,2006,2006-11-26,11,25.053,ARI,@,MIN,L 26-31,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
7,2006,2006-12-10,13,25.067,GNB,@,SFO,W 30-19,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,,
8,2006,2006-12-17,14,25.074,GNB,,DET,W 17-9,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,,,
9,2006,2006-12-21,15,25.078,GNB,,MIN,W 9-7,,1,0,0,,0,0.0%,0.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
10,2006,2006-12-31,16,25.088,GNB,@,CHI,W 26-7,,8,5,87,17.40,0,62.5%,10.88,0,0,,0,0,0,,0,,,
11,2007,2007-09-09,1,25.340,GNB,,PHI,W 16-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
