ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1976,1976-09-12,1,22.255,DET,@,CHI,L 3-10,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1976,1976-09-19,2,22.262,DET,,ATL,W 24-10,,,,,,,,,,,,,,,,,,,,,,,,,
3,1976,1976-09-26,3,22.269,DET,,MIN,L 9-10,,,,,,,,,,,,,,,,,,,,,,,,,
4,1976,1976-10-03,4,22.276,DET,@,GNB,L 14-24,,,,,,,,,,,,,,,,,,,,,,,,,
5,1976,1976-10-10,5,22.283,DET,,NWE,W 30-10,4,43,10.75,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
6,1976,1976-10-17,6,22.290,DET,@,WAS,L 7-20,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
7,1976,1976-10-24,7,22.297,DET,@,SEA,W 41-14,2,27,13.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
8,1976,1976-10-31,8,22.304,DET,,GNB,W 27-6,1,7,7.00,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0
9,1976,1976-11-07,9,22.311,DET,@,MIN,L 23-31,,,,,,,,,,,,,,,,,,,,,,,,,
10,1976,1976-11-14,10,22.318,DET,@,NOR,L 16-17,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1976,1976-11-21,11,22.325,DET,,CHI,W 14-10,,,,,,,,,,,,,,,,,,,,,,,,,
12,1976,1976-11-25,12,22.329,DET,,BUF,W 27-14,4,74,18.50,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
13,1976,1976-12-05,13,22.339,DET,@,NYG,L 10-24,4,48,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1976,1976-12-11,14,22.345,DET,,RAM,L 17-20,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
15,1977,1977-09-18,1,23.260,DET,@,CHI,L 20-30,5,62,12.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
16,1977,1977-09-25,2,23.267,DET,,NOR,W 23-19,2,27,13.50,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
17,1977,1977-10-02,3,23.274,DET,,PHI,W 17-13,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
18,1977,1977-10-09,4,23.281,DET,@,MIN,L 7-14,3,44,14.67,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
