ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,23.051,NWE,@,NYJ,W 30-28,,,,,
2,1999,1999-09-19,2,23.058,NWE,,IND,W 31-28,,,,,
3,1999,1999-09-26,3,23.065,NWE,,NYG,W 16-14,,,,,
4,1999,1999-10-03,4,23.072,NWE,@,CLE,W 19-7,,,,,
5,1999,1999-10-10,5,23.079,NWE,@,KAN,L 14-16,,,,,
6,1999,1999-10-17,6,23.086,NWE,,MIA,L 30-31,,,,,
7,1999,1999-10-24,7,23.093,NWE,,DEN,W 24-23,,,,,
8,1999,1999-10-31,8,23.100,NWE,@,ARI,W 27-3,,0.0,1,2,0
9,1999,1999-11-15,9,23.115,NWE,,NYJ,L 17-24,,,,,
10,1999,1999-11-21,10,23.121,NWE,@,MIA,L 17-27,,,,,
11,1999,1999-11-28,11,23.128,NWE,@,BUF,L 7-17,,,,,
12,1999,1999-12-05,12,23.135,NWE,,DAL,W 13-6,,,,,
13,1999,1999-12-12,13,23.142,NWE,@,IND,L 15-20,,,,,
14,1999,1999-12-19,14,23.149,NWE,@,PHI,L 9-24,*,0.0,1,0,0
15,1999,1999-12-26,15,23.156,NWE,,BUF,L 10-13,*,1.0,0,0,0
16,1999,2000-01-02,16,23.163,NWE,,BAL,W 20-3,*,0.0,1,0,0
17,2000,2000-09-03,1,24.042,NWE,,TAM,L 16-21,,,,,
18,2000,2000-09-11,2,24.050,NWE,@,NYJ,L 19-20,,,,,
19,2000,2000-09-17,3,24.056,NWE,,MIN,L 13-21,,,,,
20,2000,2000-09-24,4,24.063,NWE,@,MIA,L 3-10,,,,,
21,2000,2000-10-01,5,24.070,NWE,@,DEN,W 28-19,,1.0,0,0,0
22,2000,2000-10-08,6,24.077,NWE,,IND,W 24-16,,,,,
23,2000,2000-10-15,7,24.084,NWE,,NYJ,L 17-34,,,,,
24,2000,2000-11-05,9,24.105,NWE,,BUF,L 13-16,,,,,
25,2000,2000-11-12,10,24.112,NWE,@,CLE,L 11-19,,,,,
26,2000,2000-11-19,11,24.119,NWE,,CIN,W 16-13,,,,,
27,2000,2000-11-23,12,24.123,NWE,@,DET,L 9-34,,1.0,0,0,0
28,2000,2000-12-04,13,24.134,NWE,,KAN,W 30-24,,,,,
29,2000,2000-12-10,14,24.140,NWE,@,CHI,L 17-24,,,,,
30,2000,2000-12-17,15,24.147,NWE,@,BUF,W 13-10,,,,,
31,2000,2000-12-24,16,24.154,NWE,,MIA,L 24-27,,,,,
32,2001,2001-10-21,6,25.090,WAS,,CAR,W 17-14,,,,,
33,2001,2001-10-28,7,25.097,WAS,,NYG,W 35-21,,,,,
34,2001,2001-11-04,8,25.104,WAS,,SEA,W 27-14,,,,,
35,2001,2001-11-18,9,25.118,WAS,@,DEN,W 17-10,,,,,
36,2001,2001-11-25,10,25.125,WAS,@,PHI,W 13-3,,,,,
37,2001,2001-12-02,11,25.132,WAS,,DAL,L 14-20,,,,,
38,2001,2001-12-09,12,25.139,WAS,@,ARI,W 20-10,,,,,
39,2001,2001-12-16,13,25.146,WAS,,PHI,L 6-20,,,,,
40,2001,2001-12-23,14,25.153,WAS,,CHI,L 15-20,,,,,
41,2001,2001-12-30,15,25.160,WAS,@,NOR,W 40-10,,,,,
42,2001,2002-01-06,16,25.167,WAS,,ARI,W 20-17,,,,,
43,2002,2002-12-08,13,26.138,NYG,@,WAS,W 27-21,,,,,
44,2002,2002-12-22,15,26.152,NYG,@,IND,W 44-27,,,,,
45,2002,2002-12-28,16,26.158,NYG,,PHI,W 10-7,,,,,
46,2003,2003-09-07,1,27.046,NYG,,STL,W 23-13,,,,,
47,2003,2003-09-15,2,27.054,NYG,,DAL,L 32-35,,,,,
48,2003,2003-09-21,3,27.060,NYG,@,WAS,W 24-21,,,,,
49,2003,2003-10-05,4,27.074,NYG,,MIA,L 10-23,,,,,
50,2003,2003-10-12,5,27.081,NYG,@,NWE,L 6-17,,,,,
51,2003,2003-10-19,6,27.088,NYG,,PHI,L 10-14,,,,,
52,2003,2003-10-26,7,27.095,NYG,@,MIN,W 29-17,,,,,
53,2003,2003-11-02,8,27.102,NYG,@,NYJ,W 31-28,,,,,
54,2003,2003-11-16,10,27.116,NYG,@,PHI,L 10-28,,,,,
55,2003,2003-11-24,11,27.124,NYG,@,TAM,L 13-19,,,,,
56,2003,2003-11-30,12,27.130,NYG,,BUF,L 7-24,,,,,
57,2003,2003-12-07,13,27.137,NYG,,WAS,L 7-20,,,,,
58,2003,2003-12-14,14,27.144,NYG,@,NOR,L 7-45,,,,,
