ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2002,2002-09-22,3,24.022,CLE,@,TEN,W 31-28,,,,
2,2002,2002-09-29,4,24.029,CLE,@,PIT,L 13-16,,,,
3,2002,2002-10-06,5,24.036,CLE,,BAL,L 21-26,,,,
4,2002,2002-10-13,6,24.043,CLE,@,TAM,L 3-17,,,,
5,2002,2002-10-20,7,24.050,CLE,,HOU,W 34-17,,,,
6,2002,2002-11-17,10,24.078,CLE,@,CIN,W 27-20,,,,
7,2002,2002-11-24,11,24.085,CLE,@,NOR,W 24-15,,,,
8,2003,2003-09-07,1,25.007,CLE,,IND,L 6-9,*,1,0,0
9,2003,2003-09-14,2,25.014,CLE,@,BAL,L 13-33,*,,,
10,2003,2003-09-21,3,25.021,CLE,@,SFO,W 13-12,,,,
11,2003,2003-09-28,4,25.028,CLE,,CIN,L 14-21,*,,,
12,2003,2003-10-05,5,25.035,CLE,@,PIT,W 33-13,*,,,
13,2003,2003-10-12,6,25.042,CLE,,OAK,W 13-7,*,,,
14,2003,2003-10-19,7,25.049,CLE,,SDG,L 20-26,*,,,
15,2003,2003-10-26,8,25.056,CLE,@,NWE,L 3-9,*,,,
16,2003,2003-11-09,9,25.070,CLE,@,KAN,L 20-41,*,,,
17,2003,2003-12-08,13,25.099,CLE,,STL,L 20-26,,,,
18,2003,2003-12-14,14,25.105,CLE,@,DEN,L 20-23,,,,
19,2003,2003-12-21,15,25.112,CLE,,BAL,L 0-35,,,,
20,2003,2003-12-28,16,25.119,CLE,@,CIN,W 22-14,,,,
21,2004,2004-09-12,1,26.012,CLE,,BAL,W 20-3,,,,
22,2004,2004-09-19,2,26.019,CLE,@,DAL,L 12-19,*,,,
23,2004,2004-09-26,3,26.026,CLE,@,NYG,L 10-27,*,,,
24,2005,2005-09-11,1,27.011,CLE,,CIN,L 13-27,*,,,
25,2005,2005-09-18,2,27.018,CLE,@,GNB,W 26-24,*,,,
26,2005,2005-09-25,3,27.025,CLE,@,IND,L 6-13,*,,,
27,2005,2005-10-09,4,27.039,CLE,,CHI,W 20-10,*,,,
28,2005,2005-10-16,5,27.046,CLE,@,BAL,L 3-16,*,,,
29,2005,2005-10-23,6,27.053,CLE,,DET,L 10-13,*,,,
30,2005,2005-10-30,7,27.060,CLE,@,HOU,L 16-19,*,,,
31,2005,2005-11-06,8,27.067,CLE,,TEN,W 20-14,*,,,
32,2005,2005-11-13,9,27.074,CLE,@,PIT,L 21-34,*,,,
33,2005,2005-11-20,10,27.081,CLE,,MIA,W 22-0,*,,,
34,2005,2005-11-27,11,27.088,CLE,@,MIN,L 12-24,*,,,
35,2005,2005-12-04,12,27.095,CLE,,JAX,L 14-20,*,,,
36,2005,2005-12-11,13,27.102,CLE,@,CIN,L 20-23,*,,,
37,2005,2005-12-18,14,27.109,CLE,@,OAK,W 9-7,*,,,
38,2005,2005-12-24,15,27.115,CLE,,PIT,L 0-41,*,,,
39,2005,2006-01-01,16,27.123,CLE,,BAL,W 20-16,*,,,
40,2006,2006-09-10,1,28.010,GNB,,CHI,L 0-26,,,,
41,2006,2006-09-17,2,28.017,GNB,,NOR,L 27-34,,,,
42,2006,2006-09-24,3,28.024,GNB,@,DET,W 31-24,,,,
43,2006,2006-10-02,4,28.032,GNB,@,PHI,L 9-31,,,,
44,2006,2006-11-05,8,28.066,GNB,@,BUF,L 10-24,,,,
45,2006,2006-11-12,9,28.073,GNB,@,MIN,W 23-17,,,,
46,2006,2006-11-19,10,28.080,GNB,,NWE,L 0-35,,,,
47,2006,2006-12-17,14,28.108,GNB,,DET,W 17-9,,,,
48,2006,2006-12-21,15,28.112,GNB,,MIN,W 9-7,,,,
49,2006,2006-12-31,16,28.122,GNB,@,CHI,W 26-7,,,,
