ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-10-03,4,22.170,NYJ,@,BUF,W 38-14,,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2010,2010-11-14,9,22.212,NYJ,@,CLE,W 26-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
3,2010,2010-11-21,10,22.219,NYJ,,HOU,W 30-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,2
4,2010,2010-11-25,11,22.223,NYJ,,CIN,W 26-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2010,2010-12-06,12,22.234,NYJ,@,NWE,L 3-45,,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,0.0,0,0
6,2010,2010-12-12,13,22.240,NYJ,,MIA,L 6-10,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2010,2010-12-19,14,22.247,NYJ,@,PIT,W 22-17,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
8,2010,2010-12-26,15,22.254,NYJ,@,CHI,L 34-38,,0,0,,0,0,0,0,,0,0.0%,,3,60,20.00,0,0,0,,0,0,0,0.0,0,0
9,2010,2011-01-02,16,22.261,NYJ,,BUF,W 38-7,*,32,158,4.94,0,3,2,15,7.50,0,66.7%,5.00,0,0,,0,1,25,25.00,0,0,0,0.0,0,0
10,2011,2011-09-11,1,23.148,NYJ,,DAL,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,1,27,27.00,0,0,0,,0,0,0,0.0,0,0
11,2011,2011-09-18,2,23.155,NYJ,,JAX,W 32-3,,6,14,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2011,2011-09-25,3,23.162,NYJ,@,OAK,L 24-34,,0,0,,0,0,0,0,,0,0.0%,,1,50,50.00,0,0,0,,0,0,0,0.0,0,0
13,2011,2011-10-02,4,23.169,NYJ,@,BAL,L 17-34,,0,0,,0,0,0,0,,0,0.0%,,2,135,67.50,1,0,0,,0,0,6,0.0,0,0
14,2011,2011-10-09,5,23.176,NYJ,@,NWE,L 21-30,,1,1,1.00,0,0,0,0,,0,0.0%,,5,198,39.60,0,0,0,,0,0,0,0.0,0,0
15,2011,2011-10-17,6,23.184,NYJ,,MIA,W 24-6,,0,0,,0,2,2,29,14.50,0,100.0%,14.50,1,31,31.00,0,3,19,6.33,0,0,0,0.0,0,0
16,2011,2011-10-23,7,23.190,NYJ,,SDG,W 27-21,,3,11,3.67,0,0,0,0,,0,0.0%,,3,79,26.33,0,1,7,7.00,0,0,0,0.0,0,0
17,2011,2011-11-06,8,23.204,NYJ,@,BUF,W 27-11,,9,27,3.00,0,1,0,0,,0,0.0%,0.00,2,83,41.50,0,0,0,,0,0,0,0.0,1,0
18,2011,2011-11-13,9,23.211,NYJ,,NWE,L 16-37,,0,0,,0,0,0,0,,0,0.0%,,6,153,25.50,0,1,0,0.00,0,0,0,0.0,0,0
19,2011,2011-11-17,10,23.215,NYJ,@,DEN,L 13-17,,16,59,3.69,0,7,6,62,10.33,0,85.7%,8.86,1,39,39.00,0,0,0,,0,0,0,0.0,0,0
20,2011,2011-11-27,11,23.225,NYJ,,BUF,W 28-24,,4,21,5.25,0,3,3,19,6.33,0,100.0%,6.33,4,106,26.50,0,0,0,,0,0,0,0.0,0,0
21,2011,2011-12-04,12,23.232,NYJ,@,WAS,W 34-19,,1,-1,-1.00,0,2,1,2,2.00,0,50.0%,1.00,3,39,13.00,0,0,0,,0,0,0,0.0,0,0
22,2011,2011-12-18,14,23.246,NYJ,@,PHI,L 19-45,,3,2,0.67,0,1,1,27,27.00,0,100.0%,27.00,1,28,28.00,0,0,0,,0,0,0,0.0,0,0
23,2011,2011-12-24,15,23.252,NYJ,,NYG,L 14-29,,0,0,,0,2,0,0,,0,0.0%,0.00,2,54,27.00,0,0,0,,0,0,0,0.0,0,0
24,2011,2012-01-01,16,23.260,NYJ,@,MIA,L 17-19,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,0,0,,0,0,0,0.0,0,0
25,2012,2012-09-09,1,24.146,NYJ,,BUF,W 48-28,,1,3,3.00,0,0,0,0,,0,0.0%,,1,24,24.00,0,0,0,,0,0,0,0.0,0,0
26,2012,2012-09-16,2,24.153,NYJ,@,PIT,L 10-27,,1,12,12.00,0,0,0,0,,0,0.0%,,4,112,28.00,0,0,0,,0,0,0,0.0,0,0
