ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
26,1953,1953-11-01,6,27.324,SFO,,CHI,W 24-14,6,45,7.50,1,2,11,5.50,0,0,0,,0,0,,,,,,
27,1953,1953-11-08,7,27.331,SFO,@,RAM,W 31-27,2,2,1.00,0,1,9,9.00,0,0,0,,0,0,,,,,,
28,1953,1953-11-15,8,27.338,SFO,@,CLE,L 21-23,3,6,2.00,0,1,0,0.00,0,0,0,,0,0,,,,,,
29,1953,1953-11-22,9,27.345,SFO,@,GNB,W 37-7,9,53,5.89,0,0,0,,0,0,0,,0,0,,,,,,
30,1953,1953-11-29,10,27.352,SFO,@,BAL,W 38-21,5,44,8.80,1,0,0,,0,0,0,,0,0,,,,,,
31,1953,1953-12-06,11,27.359,SFO,,GNB,W 48-14,8,19,2.38,2,1,5,5.00,0,0,0,,0,0,,,,,,
32,1953,1953-12-13,12,28.001,SFO,,BAL,W 45-14,4,38,9.50,0,1,38,38.00,0,0,0,,0,0,,,,,,
33,1954,1954-09-26,1,28.288,SFO,,WAS,W 41-7,9,52,5.78,0,2,12,6.00,0,0,0,,0,0,,,,,,
34,1954,1954-12-05,11,28.358,SFO,,GNB,W 35-0,2,25,12.50,0,0,0,,0,0,0,,0,0,,,,,,
35,1955,1955-10-02,2,29.294,SFO,,CLE,L 3-38,1,0,0.00,0,1,7,7.00,0,0,0,,0,0,,,,,,
36,1955,1955-10-09,3,29.301,SFO,@,CHI,W 20-19,8,57,7.13,0,3,24,8.00,0,0,0,,0,0,,,,,,
37,1955,1955-10-16,4,29.308,SFO,@,DET,W 27-24,6,16,2.67,0,2,94,47.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
38,1955,1955-10-23,5,29.315,SFO,,CHI,L 23-34,7,36,5.14,0,0,0,,0,0,0,,0,0,,,,,,
39,1955,1955-10-30,6,29.322,SFO,,DET,W 38-21,2,9,4.50,0,0,0,,0,0,0,,0,0,,,,,,
40,1955,1955-11-06,7,29.329,SFO,@,RAM,L 14-27,2,-3,-1.50,0,0,0,,0,0,0,,0,0,,,,,,
41,1955,1955-11-13,8,29.336,SFO,@,WAS,L 0-7,0,0,,0,2,34,17.00,0,0,0,,0,0,,,,,,
42,1955,1955-12-04,11,29.357,SFO,,GNB,L 7-28,7,27,3.86,0,2,12,6.00,0,0,0,,0,0,,,,,,
43,1955,1955-12-11,12,29.364,SFO,,BAL,W 35-24,4,8,2.00,0,3,84,28.00,1,0,0,,0,0,,,,,,
44,1956,1956-09-30,1,30.293,SFO,,NYG,L 21-38,0,0,,0,6,70,11.67,0,0,0,,0,0,,,,,,
45,1956,1956-10-14,3,30.307,SFO,@,CHI,L 7-31,0,0,,0,3,97,32.33,1,0,0,,0,0,,,,,,
46,1956,1956-10-21,4,30.314,SFO,@,DET,L 17-20,0,0,,0,2,19,9.50,0,0,0,,0,0,,,,,,
47,1956,1956-11-04,6,30.328,SFO,,DET,L 13-17,0,0,,0,1,10,10.00,0,0,0,,0,0,,,,,,
48,1956,1956-11-18,8,30.342,SFO,@,GNB,W 17-16,0,0,,0,1,10,10.00,0,0,0,,0,0,,,,,,
49,1956,1956-11-25,9,30.349,SFO,@,PHI,T 10-10,0,0,,0,1,20,20.00,0,0,0,,0,0,,,,,,
50,1957,1957-10-06,2,31.298,SFO,,RAM,W 23-20,1,1,1.00,0,0,0,,0,0,0,,0,0,,,,,,
51,1957,1957-10-13,3,31.305,SFO,@,CHI,W 21-17,0,0,,0,0,0,,0,1,1,100.00,32,1,0,158.3,0,0,32.00,52.00
52,1957,1957-10-20,4,31.312,SFO,@,GNB,W 24-14,3,6,2.00,0,0,0,,0,0,0,,0,0,,,,,,
53,1957,1957-11-10,7,31.333,SFO,@,RAM,L 24-37,0,0,,0,0,0,,0,2,2,100.00,60,1,0,158.3,0,0,30.00,40.00
54,1957,1957-11-17,8,31.340,SFO,@,DET,L 10-31,0,0,,0,1,10,10.00,0,0,0,,0,0,,,,,,
55,1957,1957-12-15,12,32.003,SFO,,GNB,W 27-20,1,7,7.00,1,0,0,,0,0,0,,0,0,,,,,,
