ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1982,1982-12-11,6,23.361,NYG,,PHI,W 23-7,5,148,29.60,0,0,0,,0
2,1982,1982-12-19,7,24.004,NYG,@,WAS,L 14-15,1,13,13.00,0,0,0,,0
3,1982,1982-12-26,8,24.011,NYG,@,STL,L 21-24,4,67,16.75,0,1,16,16.00,0
4,1982,1983-01-02,9,24.018,NYG,@,PHI,W 26-24,4,47,11.75,0,1,-4,-4.00,0
5,1983,1983-10-24,8,24.313,NYG,@,STL,T 20-20,2,41,20.50,0,0,0,,0
6,1983,1983-10-30,9,24.319,NYG,,DAL,L 20-38,2,23,11.50,0,0,0,,0
7,1983,1983-11-07,10,24.327,NYG,@,DET,L 9-15,1,9,9.00,0,0,0,,0
8,1983,1983-11-13,11,24.333,NYG,,WAS,L 17-33,1,14,14.00,0,0,0,,0
9,1983,1983-11-20,12,24.340,NYG,@,PHI,W 23-0,0,0,,0,1,3,3.00,0
10,1983,1983-11-27,13,24.347,NYG,@,RAI,L 12-27,1,30,30.00,0,0,0,,0
11,1983,1983-12-04,14,24.354,NYG,,STL,L 6-10,0,0,,0,0,0,,0
12,1983,1983-12-11,15,24.361,NYG,,SEA,L 12-17,3,42,14.00,0,0,0,,0
13,1983,1983-12-17,16,25.002,NYG,@,WAS,L 22-31,4,72,18.00,0,0,0,,0
