ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-09-07,1,22.204,SDG,@,DEN,L 21-30,,1,1,100.00,15,1,0,158.3,0,0,15.00,35.00,1,12,12.00,0,0,0,,0,0,0,0,0,,0
2,1962,1962-09-16,2,22.213,SDG,,NYT,W 40-14,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,2,2.00,0,0,0,,0,0,0,0,0,,0
3,1962,1962-09-23,3,22.220,SDG,,HOU,L 17-42,*,1,4,25.00,6,0,1,0.0,0,0,1.50,-9.75,1,0,0.00,0,0,0,,0,0,0,0,0,,0
4,1962,1962-09-30,4,22.227,SDG,@,OAK,W 42-33,,7,14,50.00,161,3,3,91.7,0,0,11.50,6.14,0,0,,0,0,0,,0,0,0,0,0,,0
5,1962,1962-10-07,5,22.234,SDG,,DTX,W 32-28,,14,29,48.28,208,2,0,95.2,0,0,7.17,8.55,8,21,2.63,1,0,0,,0,1,6,0,0,,0
6,1962,1962-10-13,6,22.240,SDG,@,BUF,L 10-35,*,2,12,16.67,17,0,2,0.0,0,0,1.42,-6.08,0,0,,0,0,0,,0,0,0,0,0,,0
7,1962,1962-10-19,7,22.246,SDG,@,BOS,L 20-24,*,4,8,50.00,44,0,1,27.1,0,0,5.50,-0.13,2,14,7.00,0,0,0,,0,0,0,0,0,,0
8,1962,1962-10-28,8,22.255,SDG,@,NYT,L 3-23,*,9,27,33.33,106,0,2,15.4,0,0,3.93,0.59,5,7,1.40,0,0,0,,0,0,0,0,0,,0
9,1962,1962-11-04,9,22.262,SDG,,DEN,L 20-23,*,10,26,38.46,198,2,2,59.5,0,0,7.62,5.69,10,60,6.00,0,0,0,,0,0,0,0,0,,0
10,1962,1962-11-11,10,22.269,SDG,,BUF,L 20-40,*,15,28,53.57,217,1,3,51.3,0,0,7.75,3.64,1,-1,-1.00,0,0,0,,0,0,0,0,0,,0
11,1962,1962-11-25,11,22.283,SDG,@,HOU,L 27-33,*,15,39,38.46,261,3,3,55.6,0,0,6.69,4.77,4,1,0.25,0,0,0,,0,0,0,0,0,,0
12,1962,1962-12-02,12,22.290,SDG,,OAK,W 31-21,*,11,24,45.83,161,2,1,78.6,0,0,6.71,6.50,2,2,1.00,0,0,0,,0,0,0,0,0,,0
13,1962,1962-12-09,13,22.297,SDG,,BOS,L 14-20,*,7,18,38.89,86,0,0,54.4,0,0,4.78,4.78,4,16,4.00,0,0,0,,0,0,0,0,0,,0
14,1962,1962-12-16,14,22.304,SDG,@,DTX,L 17-26,*,11,29,37.93,152,1,5,27.4,0,0,5.24,-1.83,1,5,5.00,0,0,0,,0,0,0,0,0,,0
15,1963,1963-09-14,2,23.211,SDG,,BOS,W 17-13,,2,8,25.00,17,0,0,39.6,0,0,2.13,2.13,1,0,0.00,0,0,0,,0,0,0,0,0,,0
16,1963,1963-09-29,3,23.226,SDG,,KAN,W 24-10,,2,3,66.67,41,0,0,109.7,0,0,13.67,13.67,0,0,,0,0,0,,0,0,0,0,0,,0
17,1963,1963-10-06,4,23.233,SDG,@,DEN,L 34-50,,3,6,50.00,87,2,1,95.8,0,0,14.50,13.67,0,0,,0,0,0,,0,0,0,0,0,,0
18,1963,1963-10-13,5,23.240,SDG,,NYJ,W 24-20,,8,12,66.67,134,1,0,131.9,0,0,11.17,12.83,4,38,9.50,0,0,0,,0,0,0,0,0,,0
19,1963,1963-10-20,6,23.247,SDG,@,KAN,W 38-17,,1,4,25.00,15,0,0,42.7,0,0,3.75,3.75,1,-4,-4.00,0,0,0,,0,0,0,0,0,,0
20,1963,1963-10-27,7,23.254,SDG,,OAK,L 33-34,,2,6,33.33,82,1,1,81.9,0,0,13.67,9.50,0,0,,0,0,0,,0,0,0,0,0,,0
21,1963,1963-11-02,8,23.260,SDG,@,NYJ,W 53-7,,1,2,50.00,8,1,0,100.0,0,0,4.00,14.00,0,0,,0,0,0,,0,0,0,0,0,,0
22,1963,1963-11-10,9,23.268,SDG,@,BOS,W 7-6,,1,3,33.33,6,0,0,42.4,0,0,2.00,2.00,1,-5,-5.00,0,0,0,,0,0,0,0,0,,0
23,1963,1963-12-01,11,23.289,SDG,,HOU,W 27-0,,0,6,0.00,0,0,2,0.0,0,0,0.00,-15.00,0,0,,0,0,0,,0,0,0,0,0,,0
24,1963,1963-12-08,12,23.296,SDG,@,OAK,L 27-41,,2,6,33.33,20,0,1,4.2,0,0,3.33,-4.17,0,0,,0,0,0,,0,0,0,0,0,,0
25,1963,1963-12-15,13,23.303,SDG,@,HOU,W 20-14,,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,0,0,,0,0,0,,0,0,0,2,75,37.50,0
26,1963,1963-12-22,14,23.310,SDG,,DEN,W 58-20,,5,7,71.43,88,1,1,113.7,0,0,12.57,9.00,1,-3,-3.00,0,0,0,,0,0,0,0,0,,0
27,1964,1964-09-12,1,24.210,SDG,,HOU,W 27-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,120,30.00,0
28,1964,1964-09-20,2,24.218,SDG,,BOS,L 28-33,,10,19,52.63,175,2,1,97.5,0,0,9.21,8.95,1,11,11.00,0,0,0,,0,0,0,5,184,36.80,0
29,1964,1964-09-26,3,24.224,SDG,@,BUF,L 3-30,,4,12,33.33,50,0,1,12.5,0,0,4.17,0.42,0,0,,0,0,0,,0,0,0,5,224,44.80,0
30,1964,1964-10-03,4,24.231,SDG,@,NYJ,T 17-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,155,38.75,0
31,1964,1964-10-09,5,24.237,SDG,@,BOS,W 26-17,,17,29,58.62,228,3,0,118.2,0,0,7.86,9.93,3,24,8.00,0,0,0,,0,0,0,4,187,46.75,0
32,1964,1964-10-18,6,24.246,SDG,,DEN,W 42-14,*,18,28,64.29,216,2,0,111.6,0,0,7.71,9.14,2,23,11.50,1,0,0,,0,1,6,3,102,34.00,0
33,1964,1964-10-25,7,24.253,SDG,@,HOU,W 20-17,*,19,31,61.29,226,1,1,80.8,0,0,7.29,6.48,1,3,3.00,0,0,0,,0,0,0,3,114,38.00,0
34,1964,1964-11-01,8,24.260,SDG,,OAK,W 31-17,*,15,29,51.72,261,1,2,65.4,0,0,9.00,6.59,0,0,,0,0,0,,0,0,0,6,254,42.33,0
35,1964,1964-11-08,9,24.267,SDG,@,DEN,W 31-20,*,9,24,37.50,79,1,1,43.6,0,0,3.29,2.25,3,7,2.33,0,0,0,,0,0,0,6,265,44.17,0
36,1964,1964-11-15,10,24.274,SDG,@,KAN,W 28-14,*,11,19,57.89,238,2,0,137.5,0,0,12.53,14.63,6,-7,-1.17,0,0,0,,0,0,0,7,252,36.00,0
37,1964,1964-11-26,11,24.285,SDG,,BUF,L 24-27,*,10,20,50.00,209,2,3,81.0,0,0,10.45,5.70,2,13,6.50,0,0,0,,0,0,0,4,162,40.50,0
38,1964,1964-12-06,12,24.295,SDG,,NYJ,W 38-3,*,15,27,55.56,240,2,2,79.2,0,0,8.89,7.04,2,-5,-2.50,0,0,0,,0,0,0,2,75,37.50,0
39,1964,1964-12-13,13,24.302,SDG,,KAN,L 6-49,,8,20,40.00,108,1,2,35.0,0,0,5.40,1.90,1,0,0.00,0,0,0,,0,0,0,5,205,41.00,0
40,1964,1964-12-20,14,24.309,SDG,@,OAK,L 20-21,*,10,16,62.50,129,1,2,69.0,0,0,8.06,3.69,0,0,,0,0,0,,0,0,0,4,151,37.75,0
41,1965,1965-09-11,1,25.208,SDG,,DEN,W 34-31,*,11,25,44.00,246,1,1,76.4,0,0,9.84,8.84,0,0,,0,0,0,,0,0,0,2,78,39.00,0
42,1965,1965-09-19,2,25.216,SDG,@,OAK,W 17-6,*,11,28,39.29,148,1,0,68.7,0,0,5.29,6.00,2,15,7.50,0,0,0,,0,0,0,8,315,39.38,0
43,1965,1965-09-26,3,25.223,SDG,,KAN,T 10-10,*,11,27,40.74,82,0,3,9.1,0,0,3.04,-1.96,2,1,0.50,0,0,0,,0,0,0,8,332,41.50,0
44,1965,1965-10-03,4,25.230,SDG,,HOU,W 31-14,*,14,26,53.85,242,3,0,124.2,0,0,9.31,11.62,1,-7,-7.00,0,0,0,,0,0,0,6,294,49.00,0
45,1965,1965-10-10,5,25.237,SDG,@,BUF,W 34-3,*,18,29,62.07,314,3,1,119.0,0,0,10.83,11.34,1,5,5.00,0,0,0,,0,0,0,3,100,33.33,0
