ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1977,1977-09-18,1,23.321,NWE,,KAN,W 21-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1977,1977-09-26,2,23.329,NWE,@,CLE,L 27-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1977,1977-10-02,3,23.335,NWE,@,NYJ,L 27-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1977,1977-10-09,4,23.342,NWE,,SEA,W 31-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1977,1977-10-23,6,23.356,NWE,,BAL,W 17-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1977,1977-10-30,7,23.363,NWE,,NYJ,W 24-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1977,1977-11-06,8,24.005,NWE,,BUF,L 14-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1977,1977-11-13,9,24.012,NWE,@,MIA,L 5-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1977,1977-11-20,10,24.019,NWE,@,BUF,W 20-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1977,1977-11-27,11,24.026,NWE,,PHI,W 14-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1977,1977-12-04,12,24.033,NWE,@,ATL,W 16-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1977,1977-12-11,13,24.040,NWE,,MIA,W 14-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1977,1977-12-18,14,24.047,NWE,@,BAL,L 24-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1978,1978-09-03,1,24.306,NWE,,WAS,L 14-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
