ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,2004,2004-09-12,1,22.361,SEA,@,NOR,W 21-7,,0,0,,0,0,0,0.0,1,0,0
2,2004,2004-09-19,2,23.002,SEA,@,TAM,W 10-6,,0,0,,0,0,0,0.0,1,6,0
3,2004,2004-09-26,3,23.009,SEA,,SFO,W 34-0,,,,,,,,,,,
4,2004,2004-10-10,4,23.023,SEA,,STL,L 27-33,,,,,,,,,,,
5,2004,2004-10-17,5,23.030,SEA,@,NWE,L 20-30,,0,0,,0,0,0,0.0,1,0,0
6,2004,2004-10-24,6,23.037,SEA,@,ARI,L 17-25,,,,,,,,,,,
7,2004,2004-10-31,7,23.044,SEA,,CAR,W 23-17,,,,,,,,,,,
8,2004,2004-11-07,8,23.051,SEA,@,SFO,W 42-27,,,,,,,,,,,
9,2004,2004-11-14,9,23.058,SEA,@,STL,L 12-23,,,,,,,,,,,
10,2004,2004-11-21,10,23.065,SEA,,MIA,W 24-17,,0,0,,0,1,6,0.0,1,63,1
11,2004,2004-11-28,11,23.072,SEA,,BUF,L 9-38,,,,,,,,,,,
12,2004,2004-12-06,12,23.080,SEA,,DAL,L 39-43,,,,,,,,,,,
13,2004,2004-12-12,13,23.086,SEA,@,MIN,W 27-23,*,0,0,,0,0,0,1.0,1,0,0
14,2004,2004-12-19,14,23.093,SEA,@,NYJ,L 14-37,*,,,,,,,,,,
15,2004,2004-12-26,15,23.100,SEA,,ARI,W 24-21,*,,,,,,,,,,
16,2004,2005-01-02,16,23.107,SEA,,ATL,W 28-26,*,,,,,,,,,,
17,2005,2005-09-11,1,23.359,SEA,@,JAX,L 14-26,*,,,,,,,,,,
18,2005,2005-09-18,2,24.001,SEA,,ATL,W 21-18,*,,,,,,,,,,
19,2005,2005-09-25,3,24.008,SEA,,ARI,W 37-12,*,0,0,,0,0,0,1.0,0,0,0
