ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1983,1983-09-05,1,24.243,WAS,,DAL,L 30-31,0,0,,0,0,0,,0,,
2,1983,1983-09-11,2,24.249,WAS,@,PHI,W 23-13,0,0,,0,0,0,,0,,
3,1983,1983-09-18,3,24.256,WAS,,KAN,W 27-12,0,0,,0,1,3,3.00,0,0,0
4,1983,1983-09-25,4,24.263,WAS,@,SEA,W 27-17,0,0,,0,0,0,,0,,
5,1983,1983-10-02,5,24.270,WAS,,RAI,W 37-35,0,0,,0,1,7,7.00,0,0,0
6,1983,1983-10-09,6,24.277,WAS,@,STL,W 38-14,2,6,3.00,0,0,0,,0,0,0
7,1983,1983-10-17,7,24.285,WAS,@,GNB,L 47-48,0,0,,0,1,15,15.00,0,0,0
8,1983,1983-10-23,8,24.291,WAS,,DET,W 38-17,10,4,0.40,3,1,7,7.00,0,3,18
9,1983,1983-10-31,9,24.299,WAS,@,SDG,W 27-24,0,0,,0,0,0,,0,,
10,1983,1983-11-06,10,24.305,WAS,,STL,W 45-7,1,1,1.00,1,0,0,,0,1,6
11,1983,1983-11-20,12,24.319,WAS,@,RAM,W 42-20,3,0,0.00,0,0,0,,0,0,0
12,1983,1983-11-27,13,24.326,WAS,,PHI,W 28-24,0,0,,0,0,0,,0,,
13,1983,1983-12-04,14,24.333,WAS,,ATL,W 37-21,0,0,,0,0,0,,0,,
14,1983,1983-12-11,15,24.340,WAS,@,DAL,W 31-10,0,0,,0,0,0,,0,,
15,1983,1983-12-17,16,24.346,WAS,,NYG,W 31-22,0,0,,0,6,109,18.17,0,0,0
