ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,21.209,NYJ,@,KAN,L 7-27,,6,182,30.33,0,1,0,0.00,0,0,0,0.0,,
2,2005,2005-09-18,2,21.216,NYJ,,MIA,W 17-7,,0,0,,0,2,12,6.00,0,0,0,0.0,,
3,2005,2005-09-25,3,21.223,NYJ,,JAX,L 20-26,,3,75,25.00,0,3,-3,-1.00,0,0,0,0.0,,
4,2005,2005-10-02,4,21.230,NYJ,@,BAL,L 3-13,,3,78,26.00,0,0,0,,0,0,0,0.0,,
5,2005,2005-10-09,5,21.237,NYJ,,TAM,W 14-12,,4,109,27.25,0,0,0,,0,0,0,0.0,,
6,2005,2005-10-16,6,21.244,NYJ,@,BUF,L 17-27,,3,68,22.67,0,0,0,,0,0,0,0.0,,
7,2005,2005-10-24,7,21.252,NYJ,@,ATL,L 14-27,,3,100,33.33,0,0,0,,0,0,0,0.0,,
8,2005,2005-11-06,8,21.265,NYJ,,SDG,L 26-31,,6,169,28.17,0,0,0,,0,0,0,0.0,,
9,2005,2005-11-13,9,21.272,NYJ,@,CAR,L 3-30,*,7,133,19.00,0,0,0,,0,0,0,0.0,,
10,2005,2005-11-20,10,21.279,NYJ,@,DEN,L 0-27,*,5,116,23.20,0,0,0,,0,0,0,0.0,,
11,2005,2005-11-27,11,21.286,NYJ,,NOR,L 19-21,*,4,83,20.75,0,0,0,,0,0,0,0.0,,
12,2005,2005-12-04,12,21.293,NYJ,@,NWE,L 3-16,*,3,51,17.00,0,0,0,,0,0,0,0.0,,
13,2005,2005-12-11,13,21.300,NYJ,,OAK,W 26-10,*,2,62,31.00,0,0,0,,0,0,0,0.0,,
14,2005,2005-12-18,14,21.307,NYJ,@,MIA,L 20-24,*,4,91,22.75,0,0,0,,0,0,0,0.0,,
15,2005,2005-12-26,15,21.315,NYJ,,NWE,L 21-31,*,1,39,39.00,0,0,0,,0,0,0,0.0,,
16,2005,2006-01-01,16,21.321,NYJ,,BUF,W 30-26,*,6,221,36.83,1,0,0,,0,1,6,0.0,,
17,2006,2006-09-10,1,22.208,NYJ,@,TEN,W 23-16,*,3,89,29.67,0,0,0,,0,0,0,0.0,,
18,2006,2006-09-17,2,22.215,NYJ,,NWE,L 17-24,*,3,66,22.00,0,0,0,,0,0,0,0.0,,
19,2006,2006-09-24,3,22.222,NYJ,@,BUF,W 28-20,,3,54,18.00,0,0,0,,0,0,0,0.0,,
20,2006,2006-10-01,4,22.229,NYJ,,IND,L 28-31,*,3,171,57.00,1,0,0,,0,1,6,0.0,,
21,2006,2006-10-08,5,22.236,NYJ,@,JAX,L 0-41,*,8,172,21.50,0,0,0,,0,0,0,0.0,,
22,2006,2006-10-15,6,22.243,NYJ,,MIA,W 20-17,,2,50,25.00,0,0,0,,0,0,0,0.0,,
23,2006,2006-10-22,7,22.250,NYJ,,DET,W 31-24,,3,98,32.67,0,0,0,,0,0,0,0.0,,
24,2006,2006-10-29,8,22.257,NYJ,@,CLE,L 13-20,*,4,161,40.25,1,0,0,,0,1,6,0.0,,
25,2006,2006-11-12,9,22.271,NYJ,@,NWE,W 17-14,,3,103,34.33,0,0,0,,0,0,0,0.0,,
26,2006,2006-11-19,10,22.278,NYJ,,CHI,L 0-10,,3,48,16.00,0,0,0,,0,0,0,0.0,,
27,2006,2006-11-26,11,22.285,NYJ,,HOU,W 26-11,,,,,,,,,,,,,,
28,2006,2006-12-03,12,22.292,NYJ,@,GNB,W 38-10,,2,60,30.00,0,0,0,,0,0,0,0.0,,
29,2006,2006-12-10,13,22.299,NYJ,,BUF,L 13-31,,4,116,29.00,0,0,0,,0,0,0,0.0,,
30,2006,2006-12-17,14,22.306,NYJ,@,MIN,W 26-13,,2,45,22.50,0,0,0,,0,0,0,0.0,,
31,2006,2006-12-25,15,22.314,NYJ,@,MIA,W 13-10,,1,24,24.00,0,0,0,,0,0,0,0.0,,
32,2006,2006-12-31,16,22.320,NYJ,,OAK,W 23-3,,2,47,23.50,0,0,0,,0,0,0,0.0,,
33,2007,2007-09-09,1,23.207,NYJ,,NWE,L 14-38,,1,26,26.00,0,0,0,,0,0,0,0.0,,
34,2007,2007-09-16,2,23.214,NYJ,@,BAL,L 13-20,,1,22,22.00,0,0,0,,0,0,0,0.0,,
35,2008,2008-10-26,7,24.255,NYJ,,KAN,W 28-24,,1,22,22.00,0,0,0,,0,0,0,0.0,0,1
36,2008,2008-11-16,10,24.276,OAK,@,MIA,L 15-17,,4,84,21.00,0,0,0,,0,0,0,0.0,0,0
37,2008,2008-11-23,11,24.283,OAK,@,DEN,W 31-10,,3,63,21.00,0,0,0,,0,0,0,0.0,0,0
38,2008,2008-11-30,12,24.290,OAK,,KAN,L 13-20,,5,103,20.60,0,0,0,,0,0,0,0.0,0,0
39,2008,2008-12-04,13,24.294,OAK,@,SDG,L 7-34,,6,174,29.00,1,0,0,,0,1,6,0.0,0,0
40,2008,2008-12-14,14,24.304,OAK,,NWE,L 26-49,,6,188,31.33,1,0,0,,0,1,6,0.0,1,0
41,2008,2008-12-21,15,24.311,OAK,,HOU,W 27-16,,4,92,23.00,0,0,0,,0,0,0,0.0,0,0
42,2008,2008-12-28,16,24.318,OAK,@,TAM,W 31-24,,4,90,22.50,0,0,0,,0,0,0,0.0,0,0
43,2009,2009-10-04,4,25.232,OAK,@,HOU,L 6-29,,6,106,17.67,0,0,0,,0,0,0,0.0,0,0
44,2009,2009-11-01,8,25.260,NYJ,,MIA,L 25-30,,5,115,23.00,0,0,0,,0,0,0,0.0,0,0
45,2012,2012-10-22,6,28.251,DET,@,CHI,L 7-13,,,,,,,,,,,,,,
46,2012,2012-10-28,7,28.257,DET,,SEA,W 28-24,,,,,,,,,,,,,,
