ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1982,1982-09-12,1,23.214,CHI,@,DET,L 10-17,,0,0,,0,,,0,0,,0,0,0,,0,4,26,6.50,0,0,0
2,1982,1982-09-19,2,23.221,CHI,,NOR,L 0-10,,0,0,,0,,,0,0,,0,0,0,,0,5,35,7.00,0,0,0
3,1982,1982-11-21,3,23.284,CHI,,DET,W 20-17,,0,0,,0,,,0,0,,0,1,22,22.00,0,2,5,2.50,0,0,0
4,1982,1982-11-28,4,23.291,CHI,@,MIN,L 7-35,,1,9,9.00,0,,,1,4,4.00,0,4,84,21.00,0,4,26,6.50,0,0,0
5,1982,1982-12-05,5,23.298,CHI,,NWE,W 26-13,,0,0,,0,,,3,17,5.67,0,0,0,,0,1,0,0.00,0,0,0
6,1982,1982-12-12,6,23.305,CHI,@,SEA,L 14-20,,0,0,,0,,,0,0,,0,2,25,12.50,0,1,-3,-3.00,0,0,0
7,1982,1982-12-19,7,23.312,CHI,,STL,L 7-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
8,1982,1982-12-26,8,23.319,CHI,@,RAM,W 34-26,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
9,1982,1983-01-02,9,23.326,CHI,@,TAM,L 23-26,,0,0,,0,,,0,0,,0,2,30,15.00,0,0,0,,0,0,0
10,1983,1983-09-11,2,24.213,CHI,,TAM,W 17-10,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
11,1983,1983-09-18,3,24.220,CHI,@,NOR,L 31-34,,0,0,,0,,,3,8,2.67,0,0,0,,0,0,0,,0,0,0
12,1983,1983-09-25,4,24.227,CHI,@,BAL,L 19-22,,2,8,4.00,0,,,8,38,4.75,0,0,0,,0,0,0,,0,0,0
13,1983,1983-10-02,5,24.234,CHI,,DEN,W 31-14,,0,0,,0,,,1,1,1.00,0,0,0,,0,0,0,,0,0,0
14,1983,1983-10-09,6,24.241,CHI,,MIN,L 14-23,,0,0,,0,,,0,0,,0,2,25,12.50,0,0,0,,0,0,0
15,1983,1983-10-16,7,24.248,CHI,@,DET,L 17-31,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
16,1983,1983-10-23,8,24.255,CHI,@,PHI,W 7-6,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
17,1983,1983-10-30,9,24.262,CHI,,DET,L 17-38,,0,0,,0,,,0,0,,0,1,28,28.00,0,0,0,,0,0,0
18,1983,1983-11-06,10,24.269,CHI,@,RAM,L 14-21,,0,0,,0,,,0,0,,0,1,13,13.00,0,0,0,,0,0,0
19,1983,1983-11-13,11,24.276,CHI,,PHI,W 17-14,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
20,1983,1983-11-20,12,24.283,CHI,@,TAM,W 27-0,,0,0,,0,,,4,18,4.50,0,0,0,,0,0,0,,0,0,0
21,1983,1983-11-27,13,24.290,CHI,,SFO,W 13-3,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
22,1983,1983-12-04,14,24.297,CHI,@,GNB,L 28-31,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
23,1983,1983-12-11,15,24.304,CHI,@,MIN,W 19-13,,0,0,,0,,,0,0,,0,3,64,21.33,0,0,0,,0,0,0
24,1983,1983-12-18,16,24.311,CHI,,GNB,W 23-21,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
25,1984,1984-09-02,1,25.205,CHI,,TAM,W 34-14,,1,7,7.00,0,,,7,5,0.71,0,0,0,,0,0,0,,0,0,0
26,1984,1984-09-09,2,25.212,CHI,,DEN,W 27-0,,1,13,13.00,0,,,3,8,2.67,0,1,20,20.00,0,0,0,,0,0,0
27,1984,1984-09-16,3,25.219,CHI,@,GNB,W 9-7,,0,0,,0,,,0,0,,0,1,14,14.00,0,0,0,,0,0,0
28,1984,1984-09-23,4,25.226,CHI,@,SEA,L 9-38,,0,0,,0,,,0,0,,0,1,23,23.00,0,0,0,,0,0,0
29,1984,1984-09-30,5,25.233,CHI,,DAL,L 14-23,,0,0,,0,,,0,0,,0,4,58,14.50,0,0,0,,0,0,0
