ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1982,1982-09-12,1,21.364,BAL,,NWE,L 13-24,*,7,15,46.67,71,0,1,32.9,1,8,4.73,1.73,4,11,2.75,1,,0,0,,0,,,1,6
2,1982,1982-09-19,2,22.006,BAL,@,MIA,L 20-24,*,8,16,50.00,124,1,0,96.9,3,33,7.75,9.00,3,6,2.00,0,,0,0,,0,,,0,0
3,1982,1982-11-21,3,22.069,BAL,@,NYJ,L 0-37,*,17,34,50.00,230,0,2,47.4,0,0,6.76,4.12,0,0,,0,,0,0,,0,,,0,0
4,1982,1982-11-28,4,22.076,BAL,@,BUF,L 0-20,*,3,17,17.65,62,0,0,42.3,1,10,3.65,3.65,1,0,0.00,0,,0,0,,0,,,0,0
5,1982,1982-12-05,5,22.083,BAL,,CIN,L 17-20,*,11,20,55.00,146,2,0,111.7,2,23,7.30,9.30,1,18,18.00,0,,0,0,,0,,,0,0
6,1982,1982-12-12,6,22.090,BAL,@,MIN,L 10-13,*,14,32,43.75,116,0,2,27.6,0,0,3.63,0.81,2,10,5.00,0,,0,0,,0,,,0,0
7,1982,1982-12-19,7,22.097,BAL,,GNB,T 20-20,*,23,39,58.97,211,1,0,82.3,3,26,5.41,5.92,5,31,6.20,0,,0,0,,0,,,0,0
8,1982,1982-12-26,8,22.104,BAL,@,SDG,L 26-44,*,17,25,68.00,186,1,1,86.4,1,9,7.44,6.44,2,5,2.50,0,,0,0,,0,,,0,0
9,1982,1983-01-02,9,22.111,BAL,,MIA,L 7-34,*,11,23,47.83,135,0,1,48.3,5,20,5.87,3.91,1,1,1.00,0,,0,0,,0,,,0,0
10,1983,1983-09-04,1,22.356,BAL,@,NWE,W 29-23,*,17,31,54.84,292,2,1,95.1,2,9,9.42,9.26,1,22,22.00,0,,0,0,,0,,,0,0
11,1983,1983-09-11,2,22.363,BAL,,DEN,L 10-17,*,10,25,40.00,120,0,2,22.1,4,19,4.80,1.20,1,-2,-2.00,0,,0,0,,0,,,0,0
12,1983,1983-09-18,3,23.005,BAL,@,BUF,L 23-28,*,12,26,46.15,235,1,0,91.0,1,10,9.04,9.81,2,27,13.50,0,,0,0,,0,,,0,0
13,1983,1983-09-25,4,23.012,BAL,,CHI,W 22-19,*,19,30,63.33,251,1,2,73.1,1,6,8.37,6.03,4,57,14.25,0,,0,0,,0,,,0,0
14,1983,1983-10-02,5,23.019,BAL,@,CIN,W 34-31,*,12,19,63.16,124,0,0,81.9,4,26,6.53,6.53,2,22,11.00,0,,0,0,,0,,,0,0
15,1983,1983-10-09,6,23.026,BAL,,NWE,W 12-7,*,7,17,41.18,137,1,1,65.1,2,11,8.06,6.59,6,54,9.00,0,,0,0,,0,,,0,0
16,1983,1983-10-16,7,23.033,BAL,,BUF,L 7-30,*,2,10,20.00,73,1,2,51.2,4,34,7.30,0.30,5,67,13.40,0,,0,0,,0,,,0,0
17,1983,1983-10-23,8,23.040,BAL,,MIA,L 7-21,*,15,31,48.39,190,1,2,51.8,3,17,6.13,3.87,3,39,13.00,0,,0,0,,0,,,0,0
18,1983,1983-10-30,9,23.047,BAL,@,PHI,W 22-21,*,8,18,44.44,92,0,0,60.4,3,19,5.11,5.11,3,9,3.00,0,,0,0,,0,,,0,0
19,1983,1983-11-06,10,23.054,BAL,@,NYJ,W 17-14,*,9,17,52.94,129,1,0,97.4,4,30,7.59,8.76,5,22,4.40,0,,0,0,,0,,,0,0
20,1983,1983-11-13,11,23.061,BAL,,PIT,L 13-24,*,6,14,42.86,82,0,1,32.4,1,7,5.86,2.64,1,13,13.00,0,,0,0,,0,,,0,0
21,1983,1983-11-27,13,23.075,BAL,@,CLE,L 23-41,*,15,26,57.69,164,2,2,70.0,2,18,6.31,4.38,5,38,7.60,0,,0,0,,0,,,0,0
