ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1959,1959-10-18,4,22.000,GNB,,RAM,L 6-45,1,11,11.00,0,0,0,,0,0,,,,,
2,1959,1959-10-25,5,22.007,GNB,@,BAL,L 21-38,2,25,12.50,1,0,0,,0,1,,,,,
3,1959,1959-11-01,6,22.014,GNB,@,NYG,L 3-20,2,21,10.50,0,0,0,,0,0,,,,,
4,1959,1959-11-08,7,22.021,GNB,@,CHI,L 17-28,2,40,20.00,0,0,0,,0,0,,,,,
5,1959,1959-11-15,8,22.028,GNB,,BAL,L 24-28,8,147,18.38,0,0,0,,0,0,,,,,
6,1959,1959-11-22,9,22.035,GNB,,WAS,W 21-0,3,48,16.00,0,0,0,,0,0,,,,,
7,1959,1959-11-26,10,22.039,GNB,@,DET,W 24-17,4,107,26.75,0,0,0,,0,0,,,,,
8,1959,1959-12-06,11,22.049,GNB,@,RAM,W 38-20,4,89,22.25,2,1,20,20.00,0,2,,,,,
9,1959,1959-12-13,12,22.056,GNB,@,SFO,W 36-14,6,61,10.17,1,0,0,,0,1,,,,,
10,1960,1960-09-25,1,22.343,GNB,,CHI,L 14-17,4,45,11.25,0,0,0,,0,0,0,0,0,,0
11,1960,1960-10-02,2,22.350,GNB,,DET,W 28-9,0,0,,0,1,8,8.00,0,0,0,0,0,,0
12,1960,1960-10-09,3,22.357,GNB,,BAL,W 35-21,4,55,13.75,0,0,0,,0,0,0,4,213,53.25,0
13,1960,1960-10-23,4,23.005,GNB,,SFO,W 41-14,2,21,10.50,0,0,0,,0,0,0,3,105,35.00,0
14,1960,1960-10-30,5,23.012,GNB,@,PIT,W 19-13,4,54,13.50,0,0,0,,0,0,0,4,180,45.00,0
15,1960,1960-11-06,6,23.019,GNB,@,BAL,L 24-38,5,80,16.00,0,0,0,,0,0,0,0,0,,0
16,1960,1960-11-13,7,23.026,GNB,,DAL,W 41-7,2,68,34.00,0,0,0,,0,0,0,2,102,51.00,0
17,1960,1960-11-20,8,23.033,GNB,,RAM,L 31-33,1,18,18.00,1,0,0,,0,1,6,3,90,30.00,1
18,1960,1960-11-24,9,23.037,GNB,@,DET,L 10-23,1,10,10.00,0,0,0,,0,0,0,2,37,18.50,1
19,1960,1960-12-04,10,23.047,GNB,@,CHI,W 41-13,6,63,10.50,0,0,0,,0,0,0,0,0,,0
20,1960,1960-12-17,12,23.060,GNB,@,RAM,W 35-21,1,91,91.00,1,0,0,,0,1,6,0,0,,0
21,1961,1961-09-17,1,23.334,GNB,,DET,L 13-17,0,0,,0,0,0,,0,0,0,3,132,44.00,0
22,1961,1961-09-24,2,23.341,GNB,,SFO,W 30-10,2,36,18.00,0,0,0,,0,0,0,3,123,41.00,0
23,1961,1961-10-01,3,23.348,GNB,,CHI,W 24-0,4,41,10.25,1,0,0,,0,1,6,4,173,43.25,0
24,1961,1961-10-08,4,23.355,GNB,,BAL,W 45-7,3,47,15.67,0,0,0,,0,0,0,3,131,43.67,0
25,1961,1961-10-15,5,23.362,GNB,@,CLE,W 49-17,2,56,28.00,0,0,0,,0,0,0,0,0,,0
26,1961,1961-10-22,6,24.004,GNB,@,MIN,W 33-7,2,100,50.00,1,0,0,,0,1,6,3,169,56.33,0
27,1961,1961-10-29,7,24.011,GNB,,MIN,W 28-10,5,121,24.20,0,0,0,,0,0,0,2,75,37.50,0
28,1961,1961-11-05,8,24.018,GNB,@,BAL,L 21-45,2,21,10.50,0,0,0,,0,0,0,6,278,46.33,0
29,1961,1961-11-12,9,24.025,GNB,@,CHI,W 31-28,1,13,13.00,0,0,0,,0,0,0,4,156,39.00,0
30,1961,1961-11-19,10,24.032,GNB,,RAM,W 35-17,1,12,12.00,1,0,0,,0,1,6,3,112,37.33,0
31,1961,1961-11-23,11,24.036,GNB,@,DET,W 17-9,3,29,9.67,0,0,0,,0,0,0,0,0,,0
32,1961,1961-12-03,12,24.046,GNB,,NYG,W 20-17,3,52,17.33,0,0,0,,0,0,0,0,0,,0
33,1961,1961-12-10,13,24.053,GNB,@,SFO,L 21-22,3,36,12.00,0,0,0,,0,0,0,1,55,55.00,0
34,1961,1961-12-17,14,24.060,GNB,@,RAM,W 24-17,5,69,13.80,0,0,0,,0,0,0,6,267,44.50,0
35,1962,1962-09-16,1,24.333,GNB,,MIN,W 34-7,3,95,31.67,0,0,0,,0,0,0,4,207,51.75,0
36,1962,1962-09-23,2,24.340,GNB,,STL,W 17-0,5,82,16.40,0,0,0,,0,0,0,3,96,32.00,0
37,1962,1962-09-30,3,24.347,GNB,,CHI,W 49-0,5,57,11.40,0,0,0,,0,0,0,3,151,50.33,0
38,1962,1962-10-07,4,24.354,GNB,,DET,W 9-7,3,45,15.00,0,0,0,,0,0,0,2,80,40.00,0
39,1962,1962-10-14,5,24.361,GNB,@,MIN,W 48-21,7,124,17.71,1,0,0,,0,1,6,1,27,27.00,0
40,1962,1962-10-21,6,25.003,GNB,,SFO,W 31-13,2,34,17.00,0,0,0,,0,0,0,3,186,62.00,0
41,1962,1962-10-28,7,25.010,GNB,@,BAL,W 17-6,1,6,6.00,0,0,0,,0,0,0,5,222,44.40,0
42,1962,1962-11-04,8,25.017,GNB,@,CHI,W 38-7,0,0,,0,0,0,,0,0,0,5,175,35.00,0
43,1962,1962-11-11,9,25.024,GNB,@,PHI,W 49-0,7,101,14.43,1,0,0,,0,1,6,0,0,,0
44,1962,1962-11-18,10,25.031,GNB,,BAL,W 17-13,2,17,8.50,0,0,0,,0,0,0,8,365,45.63,0
45,1962,1962-11-22,11,25.035,GNB,@,DET,L 14-26,4,41,10.25,0,0,0,,0,0,0,2,33,16.50,0
46,1962,1962-12-02,12,25.045,GNB,,RAM,W 41-10,4,67,16.75,0,0,0,,0,0,0,0,0,,0
47,1962,1962-12-09,13,25.052,GNB,@,SFO,W 31-21,4,47,11.75,0,0,0,,0,0,0,0,0,,0
48,1962,1962-12-16,14,25.059,GNB,@,RAM,W 20-17,2,8,4.00,0,0,0,,0,0,0,0,0,,0
49,1963,1963-09-15,1,25.332,GNB,,CHI,L 3-10,1,5,5.00,0,0,0,,0,0,0,0,0,,0
50,1963,1963-09-22,2,25.339,GNB,,DET,W 31-10,1,11,11.00,0,0,0,,0,0,0,0,0,,0
51,1963,1963-09-29,3,25.346,GNB,,BAL,W 31-20,5,74,14.80,2,0,0,,0,2,12,0,0,,0
52,1963,1963-10-06,4,25.353,GNB,,RAM,W 42-10,2,21,10.50,0,0,0,,0,0,0,0,0,,0
53,1963,1963-10-13,5,25.360,GNB,@,MIN,W 37-28,6,80,13.33,0,0,0,,0,0,0,0,0,,0
54,1963,1963-10-20,6,26.002,GNB,@,STL,W 30-7,2,50,25.00,0,0,0,,0,0,0,0,0,,0
55,1963,1963-10-27,7,26.009,GNB,@,BAL,W 34-20,2,23,11.50,0,0,0,,0,0,0,0,0,,0
56,1963,1963-11-03,8,26.016,GNB,,PIT,W 33-14,1,26,26.00,0,0,0,,0,0,0,0,0,,0
57,1963,1963-11-10,9,26.023,GNB,,MIN,W 28-7,8,134,16.75,1,0,0,,0,1,6,0,0,,0
58,1963,1963-11-17,10,26.030,GNB,@,CHI,L 7-26,3,42,14.00,0,0,0,,0,0,0,0,0,,0
59,1963,1963-11-24,11,26.037,GNB,,SFO,W 28-10,3,43,14.33,1,0,0,,0,1,6,0,0,,0
60,1963,1963-11-28,12,26.041,GNB,@,DET,T 13-13,9,178,19.78,0,0,0,,0,0,0,0,0,,0
61,1963,1963-12-07,13,26.050,GNB,@,RAM,W 31-14,2,26,13.00,0,0,0,,0,0,0,0,0,,0
62,1963,1963-12-14,14,26.057,GNB,@,SFO,W 21-17,8,188,23.50,2,0,0,,0,2,12,0,0,,0
63,1964,1964-09-13,1,26.331,GNB,,CHI,W 23-12,2,24,12.00,0,0,0,,0,0,0,0,0,,0
64,1964,1964-09-20,2,26.338,GNB,,BAL,L 20-21,7,66,9.43,0,0,0,,0,0,0,0,0,,0
65,1964,1964-09-28,3,26.346,GNB,@,DET,W 14-10,2,32,16.00,0,0,0,,0,0,0,0,0,,0
66,1964,1964-10-04,4,26.352,GNB,,MIN,L 23-24,6,128,21.33,2,0,0,,0,2,12,0,0,,0
67,1964,1964-10-11,5,26.359,GNB,,SFO,W 24-14,2,24,12.00,1,0,0,,0,1,6,0,0,,0
68,1964,1964-10-18,6,27.000,GNB,@,BAL,L 21-24,2,55,27.50,0,0,0,,0,0,0,0,0,,0
69,1964,1964-10-25,7,27.007,GNB,,RAM,L 17-27,3,34,11.33,0,0,0,,0,0,0,0,0,,0
70,1964,1964-11-01,8,27.014,GNB,@,MIN,W 42-13,1,11,11.00,0,0,0,,0,0,0,0,0,,0
71,1964,1964-11-08,9,27.021,GNB,,DET,W 30-7,4,60,15.00,0,0,0,,0,0,0,0,0,,0
72,1964,1964-11-15,10,27.028,GNB,@,SFO,L 14-24,6,75,12.50,0,0,0,,0,0,0,0,0,,0
73,1964,1964-11-22,11,27.035,GNB,,CLE,W 28-21,1,4,4.00,0,0,0,,0,0,0,0,0,,0
74,1964,1964-11-29,12,27.042,GNB,@,DAL,W 45-21,3,43,14.33,1,0,0,,0,1,6,0,0,,0
75,1964,1964-12-05,13,27.048,GNB,@,CHI,W 17-3,2,36,18.00,0,0,0,,0,0,0,0,0,,0
76,1964,1964-12-13,14,27.056,GNB,@,RAM,T 24-24,4,31,7.75,1,0,0,,0,1,6,0,0,,0
77,1965,1965-09-19,1,27.336,GNB,@,PIT,W 41-9,6,104,17.33,0,0,0,,0,0,0,0,0,,0
