ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,22.252,STL,@,DET,L 23-27,,,,,,,,,,,,,
2,2012,2012-09-16,2,22.259,STL,,WAS,W 31-28,,,,,,,,,,,,,
3,2012,2012-09-23,3,22.266,STL,@,CHI,L 6-23,,,,,,,,,,,,,
4,2012,2012-09-30,4,22.273,STL,,SEA,W 19-13,,0,0,,0,0,0,0.0,0,0,1,4,0
5,2012,2012-10-04,5,22.277,STL,,ARI,W 17-3,,0,0,,0,0,0,0.0,4,0,0,0,0
6,2012,2012-10-14,6,22.287,STL,@,MIA,L 14-17,,0,0,,0,0,0,0.0,1,0,0,0,0
7,2012,2012-10-21,7,22.294,STL,,GNB,L 20-30,,0,0,,0,0,0,0.0,0,0,0,0,0
8,2012,2012-10-28,8,22.301,STL,,NWE,L 7-45,,0,0,,0,0,0,0.0,0,0,0,0,0
9,2012,2012-11-11,9,22.315,STL,@,SFO,T 24-24,*,0,0,,0,0,0,0.0,4,0,0,0,0
10,2012,2012-11-18,10,22.322,STL,,NYJ,L 13-27,,0,0,,0,0,0,0.0,2,0,0,0,0
11,2012,2012-11-25,11,22.329,STL,@,ARI,W 31-17,,0,0,,0,0,0,0.0,3,0,0,0,0
12,2012,2012-12-02,12,22.336,STL,,SFO,W 16-13,,0,0,,0,0,0,0.0,1,0,0,0,0
13,2012,2012-12-09,13,22.343,STL,@,BUF,W 15-12,,0,0,,0,0,0,0.0,3,0,0,0,0
14,2012,2012-12-16,14,22.350,STL,,MIN,L 22-36,,0,0,,0,0,0,0.0,1,0,0,0,0
15,2012,2012-12-23,15,22.357,STL,@,TAM,W 28-13,*,0,0,,0,0,0,0.0,4,0,1,0,0
16,2012,2012-12-30,16,22.364,STL,@,SEA,L 13-20,*,0,0,,0,0,0,0.0,5,2,0,0,0
17,2013,2013-09-08,1,23.250,STL,,ARI,W 27-24,,0,0,,0,0,0,0.0,3,0,1,29,0
18,2013,2013-09-15,2,23.257,STL,@,ATL,L 24-31,,0,0,,0,0,0,0.0,1,0,0,0,0
19,2013,2013-09-22,3,23.264,STL,@,DAL,L 7-31,*,0,0,,0,0,0,0.0,1,0,0,0,0
20,2013,2013-09-26,4,23.268,STL,,SFO,L 11-35,,0,0,,0,0,0,0.0,3,2,0,0,0
21,2013,2013-10-06,5,23.278,STL,,JAX,W 34-20,*,0,0,,0,0,0,0.0,2,1,0,0,0
22,2013,2013-10-13,6,23.285,STL,@,HOU,W 38-13,*,0,0,,0,0,0,0.0,7,2,0,0,0
23,2013,2013-10-20,7,23.292,STL,@,CAR,L 15-30,*,0,0,,0,0,0,0.0,8,1,0,0,0
24,2013,2013-10-28,8,23.300,STL,,SEA,L 9-14,*,0,0,,0,0,0,0.0,2,0,0,0,0
25,2013,2013-11-03,9,23.306,STL,,TEN,L 21-28,,0,0,,0,0,0,0.0,2,0,0,0,0
26,2013,2013-11-10,10,23.313,STL,@,IND,W 38-8,*,0,0,,0,0,0,0.0,3,1,1,0,0
