ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-10-08,5,22.292,NYJ,,HOU,L 17-23,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
2,2012,2012-10-21,7,22.305,NYJ,@,NWE,L 26-29,,1,1,1.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
3,2012,2012-10-28,8,22.312,NYJ,,MIA,L 9-30,,1,5,5.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,1
4,2012,2012-11-04,8,22.319,HOU,,BUF,W 21-9,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
5,2012,2012-11-11,9,22.326,HOU,@,CHI,W 13-6,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
6,2012,2012-11-18,10,22.333,HOU,,JAX,W 43-37,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
7,2012,2012-11-22,11,22.337,HOU,@,DET,W 34-31,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
8,2012,2012-12-02,12,22.347,HOU,@,TEN,W 24-10,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
9,2012,2012-12-10,13,22.355,HOU,@,NWE,L 14-42,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
10,2013,2013-12-22,15,24.001,HOU,,DEN,L 13-37,,5,23,4.60,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
11,2013,2013-12-29,16,24.008,HOU,@,TEN,L 10-16,*,16,50,3.13,1,6,6,76,12.67,0,100.0%,12.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
12,2014,2014-09-07,1,24.260,HOU,,WAS,W 17-6,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
13,2014,2014-09-14,2,24.267,HOU,@,OAK,W 30-14,,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
14,2014,2014-09-21,3,24.274,HOU,@,NYG,L 17-30,,1,5,5.00,0,1,1,31,31.00,0,100.0%,31.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
15,2014,2014-09-28,4,24.281,HOU,,BUF,W 23-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,1
16,2014,2014-10-05,5,24.288,HOU,@,DAL,L 17-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
17,2014,2014-10-09,6,24.292,HOU,,IND,L 28-33,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
18,2014,2014-10-20,7,24.303,HOU,@,PIT,L 23-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
19,2014,2014-10-26,8,24.309,HOU,@,TEN,W 30-16,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
20,2014,2014-11-02,9,24.316,HOU,,PHI,L 21-31,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
21,2014,2014-11-16,10,24.330,HOU,@,CLE,W 23-7,,13,54,4.15,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
22,2014,2014-11-23,11,24.337,HOU,,CIN,L 13-22,,2,16,8.00,0,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
23,2014,2014-11-30,12,24.344,HOU,,TEN,W 45-21,,5,13,2.60,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
24,2014,2014-12-07,13,24.351,HOU,@,JAX,W 27-13,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
25,2014,2014-12-14,14,24.358,HOU,@,IND,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
26,2014,2014-12-21,15,25.000,HOU,,BAL,W 25-13,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
27,2014,2014-12-28,16,25.007,HOU,,JAX,W 23-17,,11,45,4.09,0,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
28,2015,2015-09-13,1,25.266,HOU,,KAN,L 20-27,,6,28,4.67,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
29,2015,2015-09-20,2,25.273,HOU,@,CAR,L 17-24,,2,7,3.50,0,7,6,40,6.67,0,85.7%,5.71,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
30,2015,2015-09-27,3,25.280,HOU,,TAM,W 19-9,,6,19,3.17,0,4,4,19,4.75,0,100.0%,4.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
31,2015,2015-10-18,6,25.301,HOU,@,JAX,W 31-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
32,2015,2015-10-25,7,25.308,HOU,@,MIA,L 26-44,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
33,2015,2015-11-01,8,25.315,HOU,,TEN,W 20-6,,0,0,,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
34,2015,2015-11-16,9,25.330,HOU,@,CIN,W 10-6,,6,33,5.50,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
35,2015,2015-11-22,10,25.336,HOU,,NYJ,W 24-17,,6,37,6.17,0,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
36,2015,2015-11-29,11,25.343,HOU,,NOR,W 24-6,,7,25,3.57,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
37,2015,2015-12-06,12,25.350,HOU,@,BUF,L 21-30,,5,28,5.60,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0
38,2015,2015-12-13,13,25.357,HOU,,NWE,L 6-27,,7,53,7.57,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
39,2015,2015-12-20,14,25.364,HOU,@,IND,W 16-10,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
40,2015,2015-12-27,15,26.006,HOU,@,TEN,W 34-6,,6,25,4.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
