ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,22.223,CLE,,NYJ,W 38-17,,,,,,,,,,,,,,,,,,,,
2,1976,1976-09-19,2,22.230,CLE,@,PIT,L 14-31,,,,,,,,,,,,,,,,,,,,
3,1976,1976-09-26,3,22.237,CLE,@,DEN,L 13-44,,,,,,,,,,,,,,,,,,,,
4,1976,1976-10-03,4,22.244,CLE,,CIN,L 24-45,,,,,,,,,,,,,,,,,,,,
5,1976,1976-10-10,5,22.251,CLE,,PIT,W 18-16,,,,,,,,,,,,,,,,,,,,
6,1976,1976-10-17,6,22.258,CLE,@,ATL,W 20-17,,,,,,,,,,,,,,,,,,,,
7,1976,1976-10-24,7,22.265,CLE,,SDG,W 21-17,,,,,,,,,,,,,,,,,,,,
8,1976,1976-10-31,8,22.272,CLE,@,CIN,L 6-21,,,,,,,,,,,,,,,,,,,,
9,1976,1976-11-07,9,22.279,CLE,@,HOU,W 21-7,,,,,,,,,,,,,,,,,,,,
10,1976,1976-11-14,10,22.286,CLE,,PHI,W 24-3,,,,,,,,,,,,,,,,,,,,
11,1976,1976-11-21,11,22.293,CLE,@,TAM,W 24-7,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
12,1976,1976-11-28,12,22.300,CLE,,MIA,W 17-13,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
13,1976,1976-12-05,13,22.307,CLE,,HOU,W 13-10,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
14,1976,1976-12-12,14,22.314,CLE,@,KAN,L 14-39,2,60,30.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
15,1977,1977-09-18,1,23.228,CLE,@,CIN,W 13-3,4,78,19.50,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
16,1977,1977-09-26,2,23.236,CLE,,NWE,W 30-27,2,41,20.50,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
17,1977,1977-10-02,3,23.242,CLE,,PIT,L 14-28,2,27,13.50,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6,0,0,0
18,1977,1977-10-09,4,23.249,CLE,,OAK,L 10-26,,,,,,,,,,,,,,,,,,,,
19,1977,1977-10-16,5,23.256,CLE,@,HOU,W 24-23,,,,,,,,,,,,,,,,,,,,
20,1977,1977-10-23,6,23.263,CLE,@,BUF,W 27-16,,,,,,,,,,,,,,,,,,,,
21,1977,1977-10-30,7,23.270,CLE,,KAN,W 44-7,3,9,3.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
22,1977,1977-11-06,8,23.277,CLE,,CIN,L 7-10,,,,,,,,,,,,,,,,,,,,
23,1977,1977-11-13,9,23.284,CLE,@,PIT,L 31-35,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
24,1977,1977-11-20,10,23.291,CLE,@,NYG,W 21-7,,,,,,,,,,,,,,,,,,,,
25,1977,1977-11-27,11,23.298,CLE,,RAM,L 0-9,,,,,,,,,,,,,,,,,,,,
26,1977,1977-12-04,12,23.305,CLE,@,SDG,L 14-37,2,21,10.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0
27,1977,1977-12-11,13,23.312,CLE,,HOU,L 15-19,1,21,21.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
28,1977,1977-12-18,14,23.319,CLE,@,SEA,L 19-20,4,78,19.50,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
29,1978,1978-09-03,1,24.213,CLE,,SFO,W 24-7,1,24,24.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
30,1978,1978-09-10,2,24.220,CLE,,CIN,W 13-10,3,61,20.33,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
31,1978,1978-09-17,3,24.227,CLE,@,ATL,W 24-16,5,63,12.60,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
32,1978,1978-09-24,4,24.234,CLE,@,PIT,L 9-15,3,46,15.33,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
33,1978,1978-10-01,5,24.241,CLE,,HOU,L 13-16,2,28,14.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
34,1978,1978-10-08,6,24.248,CLE,@,NOR,W 24-16,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
35,1978,1978-10-15,7,24.255,CLE,,PIT,L 14-34,2,38,19.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
36,1978,1978-10-22,8,24.262,CLE,@,KAN,L 3-17,,,,,,,,,,,,,,,,,,,,
37,1978,1978-10-29,9,24.269,CLE,,BUF,W 41-20,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
38,1978,1978-11-05,10,24.276,CLE,@,HOU,L 10-14,2,28,14.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
39,1978,1978-11-12,11,24.283,CLE,,DEN,L 7-19,3,36,12.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
