ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2000,2000-09-03,1,24.027,OAK,,SDG,W 9-6,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,10,424,42.40,0
2,2000,2000-09-10,2,24.034,OAK,@,IND,W 38-31,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,3,158,52.67,0
3,2000,2000-09-17,3,24.041,OAK,,DEN,L 24-33,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,2,93,46.50,0
4,2000,2000-09-24,4,24.048,OAK,,CLE,W 36-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,6,282,47.00,0
5,2000,2000-10-08,5,24.062,OAK,@,SFO,W 34-28,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,4,174,43.50,0
6,2000,2000-10-15,6,24.069,OAK,@,KAN,W 20-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,3,152,50.67,0
7,2000,2000-10-22,7,24.076,OAK,,SEA,W 31-3,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,5,248,49.60,0
8,2000,2000-10-29,8,24.083,OAK,@,SDG,W 15-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,3,140,46.67,0
9,2000,2000-11-05,9,24.090,OAK,,KAN,W 49-31,,0,0,,0,0,0,,0,0,0,,,,,,7,7,100.0,,1,0.0,0,7,0.0,,,3,131,43.67,0
10,2000,2000-11-13,10,24.098,OAK,@,DEN,L 24-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,3,146,48.67,1
11,2000,2000-11-19,11,24.104,OAK,@,NOR,W 31-22,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,4,219,54.75,0
