ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-10-10,5,24.140,PHI,@,SFO,W 27-24,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2010,2010-10-17,6,24.147,PHI,,ATL,W 31-17,*,4,1,5,5.00,0,25.0%,1.25,1,5,5.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2010,2010-10-24,7,24.154,PHI,@,TEN,L 19-37,,2,1,5,5.00,0,50.0%,2.50,4,19,4.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2010,2010-12-02,12,24.193,PHI,,HOU,W 34-24,,0,0,0,,0,0.0%,,3,3,1.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2010,2010-12-12,13,24.203,PHI,@,DAL,W 30-27,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
6,2010,2010-12-19,14,24.210,PHI,@,NYG,W 38-31,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
7,2010,2010-12-28,15,24.219,PHI,,MIN,L 14-24,,0,0,0,,0,0.0%,,0,0,,0,3,44,14.67,0,0,0,,0,0,0,0.0,0,0
8,2010,2011-01-02,16,24.224,PHI,,DAL,L 13-14,,8,6,84,14.00,1,75.0%,10.50,1,2,2.00,0,0,0,,0,3,31,10.33,0,1,6,0.0,2,0
9,2011,2011-11-20,10,25.181,PHI,@,NYG,W 17-10,,0,0,0,,0,0.0%,,2,11,5.50,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
10,2011,2011-11-27,11,25.188,PHI,,NWE,L 20-38,,5,1,16,16.00,0,20.0%,3.20,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2011,2011-12-01,12,25.192,PHI,@,SEA,L 14-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
12,2011,2011-12-11,13,25.202,PHI,@,MIA,W 26-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2011,2011-12-18,14,25.209,PHI,,NYJ,W 45-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0.0,0,0
14,2011,2011-12-24,15,25.215,PHI,@,DAL,W 20-7,,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,0,0,,0,2,20,10.00,0,0,0,0.0,0,0
15,2011,2012-01-01,16,25.223,PHI,,WAS,W 34-10,,1,1,7,7.00,1,100.0%,7.00,0,0,,0,2,43,21.50,0,2,32,16.00,0,1,6,0.0,0,0
16,2013,2013-09-19,3,27.119,KAN,@,PHI,W 26-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2013,2013-09-29,4,27.129,KAN,,NYG,W 31-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
18,2013,2013-10-06,5,27.136,KAN,@,TEN,W 26-17,,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2013,2013-10-13,6,27.143,KAN,,OAK,W 24-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
20,2013,2013-10-20,7,27.150,KAN,,HOU,W 17-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
21,2013,2013-10-27,8,27.157,KAN,,CLE,W 23-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2013,2013-11-03,9,27.164,KAN,@,BUF,W 23-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
23,2013,2013-12-01,12,27.192,KAN,,DEN,L 28-35,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
24,2013,2013-12-15,14,27.206,KAN,@,OAK,W 56-31,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
