ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2003,2003-09-28,4,22.164,TEN,@,PIT,W 30-13,,6,3,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
2,2003,2003-10-05,5,22.171,TEN,@,NWE,L 30-38,,2,6,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
3,2003,2003-10-12,6,22.178,TEN,,HOU,W 38-17,,4,15,3.75,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,,,,,0,0
4,2003,2003-11-09,9,22.206,TEN,,MIA,W 31-7,,12,46,3.83,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0
5,2003,2003-11-16,10,22.213,TEN,,JAX,W 10-3,,3,2,0.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
6,2003,2003-11-23,11,22.220,TEN,@,ATL,W 38-31,,2,17,8.50,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0
7,2003,2003-12-01,12,22.228,TEN,@,NYJ,L 17-24,,2,8,4.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0
8,2003,2003-12-07,13,22.234,TEN,,IND,L 27-29,,4,23,5.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
9,2003,2003-12-14,14,22.241,TEN,,BUF,W 28-26,,4,6,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
10,2003,2003-12-21,15,22.248,TEN,@,HOU,W 27-24,,10,69,6.90,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,,,,,0,0
11,2003,2003-12-28,16,22.255,TEN,,TAM,W 33-13,,7,26,3.71,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0
12,2004,2004-09-11,1,23.147,TEN,@,MIA,W 17-7,*,16,100,6.25,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0
13,2004,2004-09-19,2,23.155,TEN,,IND,L 17-31,*,26,152,5.85,1,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,,,,,1,6
14,2004,2004-09-26,3,23.162,TEN,,JAX,L 12-15,*,23,101,4.39,1,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,1,6
15,2004,2004-10-03,4,23.169,TEN,@,SDG,L 17-38,*,15,55,3.67,0,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,,,,,,0,0
16,2004,2004-10-11,5,23.177,TEN,@,GNB,W 48-27,*,27,148,5.48,2,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,,,,,2,12
17,2004,2004-10-17,6,23.183,TEN,,HOU,L 10-20,*,13,52,4.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0
18,2004,2004-10-24,7,23.190,TEN,@,MIN,L 3-20,*,14,55,3.93,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,,,,,0,0
19,2004,2004-10-31,8,23.197,TEN,,CIN,W 27-20,*,32,147,4.59,1,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,,,,,1,6
20,2004,2004-11-14,9,23.211,TEN,,CHI,L 17-19,*,20,62,3.10,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,,,,,0,0
21,2004,2004-12-05,12,23.232,TEN,@,IND,L 24-51,*,19,104,5.47,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
22,2004,2004-12-13,13,23.240,TEN,,KAN,L 38-49,*,15,91,6.07,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,1,6
23,2005,2005-09-11,1,24.147,TEN,@,PIT,L 7-34,*,11,63,5.73,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
24,2005,2005-09-18,2,24.154,TEN,,BAL,W 25-10,*,8,33,4.13,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,,,,,0,0
25,2005,2005-09-25,3,24.161,TEN,@,STL,L 27-31,*,20,83,4.15,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,,,,,0,0
26,2005,2005-10-02,4,24.168,TEN,,IND,L 10-31,*,10,31,3.10,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0
27,2005,2005-10-09,5,24.175,TEN,@,HOU,W 34-20,*,22,78,3.55,0,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,,,,,0,0
28,2005,2005-10-16,6,24.182,TEN,,CIN,L 23-31,*,18,84,4.67,2,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,,,,,,2,12
29,2005,2005-10-23,7,24.189,TEN,@,ARI,L 10-20,*,10,37,3.70,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
30,2005,2005-10-30,8,24.196,TEN,,OAK,L 25-34,*,19,97,5.11,1,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,1,6
31,2005,2005-11-06,9,24.203,TEN,@,CLE,L 14-20,*,22,95,4.32,1,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,,,,,1,6
32,2005,2005-11-20,10,24.217,TEN,,JAX,L 28-31,*,20,61,3.05,1,6,4,58,14.50,1,66.7%,9.67,0,0,,0,0,0,,,,,,2,12
33,2005,2005-11-27,11,24.224,TEN,,SFO,W 33-22,*,10,30,3.00,0,5,3,105,35.00,1,60.0%,21.00,0,0,,0,0,0,,,,,,1,6
34,2005,2005-12-04,12,24.231,TEN,@,IND,L 3-35,*,11,32,2.91,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0
35,2005,2005-12-11,13,24.238,TEN,,HOU,W 13-10,,16,53,3.31,0,4,3,49,16.33,0,75.0%,12.25,0,0,,0,0,0,,,,,,0,0
36,2005,2005-12-18,14,24.245,TEN,,SEA,L 24-28,*,20,56,2.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
37,2005,2005-12-24,15,24.251,TEN,@,MIA,L 10-24,*,7,18,2.57,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
38,2006,2006-09-10,1,25.146,TEN,,NYJ,L 16-23,*,16,64,4.00,0,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,,,,,0,0
39,2006,2006-09-17,2,25.153,TEN,@,SDG,L 7-40,*,6,9,1.50,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,,,,,0,0
40,2006,2006-10-01,4,25.167,TEN,,DAL,L 14-45,*,12,33,2.75,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
41,2006,2006-10-15,6,25.181,TEN,@,WAS,W 25-22,,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
42,2006,2006-12-10,13,25.237,TEN,@,HOU,W 26-20,,4,44,11.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
43,2007,2007-09-09,1,26.145,TEN,@,JAX,W 13-10,*,19,175,9.21,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0
44,2007,2007-09-16,2,26.152,TEN,,IND,L 20-22,,12,34,2.83,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0
45,2007,2007-09-24,3,26.160,TEN,@,NOR,W 31-14,,11,38,3.45,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,0,0
46,2007,2007-10-07,4,26.173,TEN,,ATL,W 20-13,,10,27,2.70,1,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,,,,,1,6
47,2007,2007-10-14,5,26.180,TEN,@,TAM,L 10-13,,5,26,5.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
48,2007,2007-11-19,10,26.216,TEN,@,DEN,L 20-34,,3,14,4.67,0,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,,,,,,0,0
49,2007,2007-11-25,11,26.222,TEN,@,CIN,L 6-35,,8,28,3.50,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0
50,2007,2007-12-02,12,26.229,TEN,,HOU,W 28-20,,11,46,4.18,1,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,1,6
