ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2001,2002-01-06,16,22.354,KAN,@,SEA,L 18-21,,0,,,,,0.0%,,,
2,2002,2002-09-08,1,23.234,KAN,@,CLE,W 40-39,,,,,,,0.0%,,,
3,2002,2002-09-22,3,23.248,KAN,@,NWE,L 38-41,*,1,1,7,7.00,0,100.0%,7.00,0,0
4,2002,2002-09-29,4,23.255,KAN,,MIA,W 48-30,,1,1,3,3.00,1,100.0%,3.00,1,6
5,2002,2002-10-06,5,23.262,KAN,@,NYJ,W 29-25,,0,,,,,0.0%,,,
6,2002,2002-10-13,6,23.269,KAN,@,SDG,L 34-35,*,1,,,,,0.0%,,,
7,2002,2002-10-20,7,23.276,KAN,,DEN,L 34-37,,,,,,,0.0%,,,
8,2002,2002-11-10,9,23.297,KAN,@,SFO,L 13-17,,,,,,,0.0%,,,
9,2002,2002-11-17,10,23.304,KAN,,BUF,W 17-16,,,,,,,0.0%,,,
10,2002,2002-11-24,11,23.311,KAN,@,SEA,L 32-39,,,,,,,0.0%,,,
11,2002,2002-12-01,12,23.318,KAN,,ARI,W 49-0,,,,,,,0.0%,,,
12,2002,2002-12-22,15,23.339,KAN,,SDG,W 24-22,,,,,,,0.0%,,,
13,2002,2002-12-28,16,23.345,KAN,@,OAK,L 0-24,,,,,,,0.0%,,,
14,2003,2003-09-07,1,24.233,KAN,,SDG,W 27-14,,,,,,,0.0%,,,
15,2003,2003-09-14,2,24.240,KAN,,PIT,W 41-20,,0,,,,,0.0%,,,
16,2003,2003-09-21,3,24.247,KAN,@,HOU,W 42-14,,,,,,,0.0%,,,
17,2003,2003-09-28,4,24.254,KAN,@,BAL,W 17-10,,,,,,,0.0%,,,
18,2003,2003-10-05,5,24.261,KAN,,DEN,W 24-23,,,,,,,0.0%,,,
19,2003,2003-10-12,6,24.268,KAN,@,GNB,W 40-34,,,,,,,0.0%,,,
20,2003,2003-10-20,7,24.276,KAN,@,OAK,W 17-10,,,,,,,0.0%,,,
21,2003,2003-10-26,8,24.282,KAN,,BUF,W 38-5,,,,,,,0.0%,,,
22,2003,2003-11-09,9,24.296,KAN,,CLE,W 41-20,,,,,,,0.0%,,,
23,2003,2003-11-16,10,24.303,KAN,@,CIN,L 19-24,,,,,,,0.0%,,,
24,2003,2003-11-23,11,24.310,KAN,,OAK,W 27-24,,,,,,,0.0%,,,
25,2003,2003-11-30,12,24.317,KAN,@,SDG,W 28-24,,,,,,,0.0%,,,
26,2003,2003-12-07,13,24.324,KAN,@,DEN,L 27-45,,,,,,,0.0%,,,
27,2003,2003-12-14,14,24.331,KAN,,DET,W 45-17,,,,,,,0.0%,,,
28,2003,2003-12-20,15,24.337,KAN,@,MIN,L 20-45,,,,,,,0.0%,,,
29,2003,2003-12-28,16,24.345,KAN,,CHI,W 31-3,,1,1,20,20.00,0,100.0%,20.00,0,0
30,2004,2005-01-02,16,25.351,TAM,@,ARI,L 7-12,,1,1,7,7.00,0,100.0%,7.00,0,0
