ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,23.156,PHI,@,WAS,L 14-41,,,,,,,,
2,1986,1986-09-14,2,23.163,PHI,@,CHI,L 10-13,0,0,,0,0.0,1,-3,0
3,1986,1986-09-21,3,23.170,PHI,,DEN,L 7-33,,,,,,,,
4,1986,1986-09-28,4,23.177,PHI,,RAM,W 34-20,,,,,,,,
5,1986,1986-10-05,5,23.184,PHI,@,ATL,W 16-0,0,0,,0,1.0,0,0,0
6,1986,1986-10-12,6,23.191,PHI,@,NYG,L 3-35,,,,,,,,
7,1986,1986-10-19,7,23.198,PHI,,DAL,L 14-17,,,,,,,,
8,1986,1986-10-26,8,23.205,PHI,,SDG,W 23-7,0,0,,0,0.0,1,9,0
9,1986,1986-11-02,9,23.212,PHI,@,STL,L 10-13,,,,,,,,
10,1986,1986-11-09,10,23.219,PHI,,NYG,L 14-17,,,,,,,,
11,1986,1986-11-23,12,23.233,PHI,@,SEA,L 20-24,,,,,,,,
12,1986,1986-11-30,13,23.240,PHI,@,RAI,W 33-27,,,,,,,,
13,1986,1986-12-07,14,23.247,PHI,,STL,T 10-10,,,,,,,,
14,1986,1986-12-14,15,23.254,PHI,@,DAL,W 23-21,0,0,,0,0.0,1,0,0
15,1986,1986-12-21,16,23.261,PHI,,WAS,L 14-21,,,,,,,,
16,1987,1987-10-25,6,24.204,PHI,,DAL,W 37-20,0,0,,0,,,,
17,1987,1987-11-01,7,24.211,PHI,@,STL,W 28-23,0,0,,0,,,,
18,1987,1987-11-08,8,24.218,PHI,,WAS,W 31-27,1,0,0.00,0,0.0,0,0,0
