ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-11-04,9,21.013,NWE,@,IND,W 24-20,,,,,,,,,,,,
2,2007,2007-12-29,16,21.068,NWE,@,NYG,W 38-35,,,,,,,,,,,,
3,2008,2008-09-07,1,21.321,NWE,,KAN,W 17-10,,0,0,,0,0,0,,0,0.0,0,0
4,2008,2008-09-14,2,21.328,NWE,@,NYJ,W 19-10,,0,0,,0,0,0,,0,0.0,0,0
5,2008,2008-09-21,3,21.335,NWE,,MIA,L 13-38,,,,,,,,,,,,
6,2008,2008-10-05,4,21.349,NWE,@,SFO,W 30-21,,,,,,,,,,,,
7,2008,2008-10-12,5,21.356,NWE,@,SDG,L 10-30,,0,0,,0,0,0,,0,0.0,0,0
8,2008,2008-10-20,6,21.364,NWE,,DEN,W 41-7,,0,0,,0,0,0,,0,0.0,0,1
9,2008,2008-10-26,7,22.004,NWE,,STL,W 23-16,,,,,,,,,,,,
10,2008,2008-11-02,8,22.011,NWE,@,IND,L 15-18,,,,,,,,,,,,
11,2008,2008-11-09,9,22.018,NWE,,BUF,W 20-10,,,,,,,,,,,,
12,2008,2008-11-13,10,22.022,NWE,,NYJ,L 31-34,,,,,,,,,,,,
13,2008,2008-11-23,11,22.032,NWE,@,MIA,W 48-28,,0,0,,0,0,0,,0,0.0,0,0
14,2008,2008-11-30,12,22.039,NWE,,PIT,L 10-33,,,,,,,,,,,,
15,2008,2008-12-07,13,22.046,NWE,@,SEA,W 24-21,,0,0,,0,0,0,,0,0.0,0,0
16,2008,2008-12-14,14,22.053,NWE,@,OAK,W 49-26,,,,,,,,,,,,
17,2008,2008-12-21,15,22.060,NWE,,ARI,W 47-7,,0,0,,0,0,0,,0,0.0,0,0
18,2009,2009-09-20,2,22.333,CLE,@,DEN,L 6-27,,0,0,,0,0,0,,0,0.0,0,0
19,2009,2009-09-27,3,22.340,CLE,@,BAL,L 3-34,,,,,,,,,,,,
20,2009,2009-10-04,4,22.347,CLE,,CIN,L 20-23,,0,0,,0,0,0,,0,0.0,0,0
21,2009,2009-10-11,5,22.354,CLE,@,BUF,W 6-3,,0,0,,0,0,0,,0,0.0,0,0
22,2009,2009-10-18,6,22.361,CLE,@,PIT,L 14-27,,,,,,,,,,,,
23,2009,2009-10-25,7,23.003,CLE,,GNB,L 3-31,,0,0,,0,0,0,,0,0.0,0,0
24,2009,2009-11-01,8,23.010,CLE,@,CHI,L 6-30,,0,0,,0,0,0,,0,0.0,0,0
25,2009,2009-11-16,9,23.025,CLE,,BAL,L 0-16,,0,0,,0,0,0,,0,0.0,0,0
26,2009,2009-11-22,10,23.031,CLE,@,DET,L 37-38,,0,0,,0,0,0,,0,0.0,0,0
27,2009,2009-11-29,11,23.038,CLE,@,CIN,L 7-16,,0,0,,0,0,0,,0,0.0,0,1
28,2009,2009-12-06,12,23.045,CLE,,SDG,L 23-30,,,,,,,,,,,,
29,2009,2009-12-10,13,23.049,CLE,,PIT,W 13-6,,,,,,,,,,,,
30,2009,2009-12-27,15,23.066,CLE,,OAK,W 23-9,,0,0,,0,0,0,,0,0.0,0,0
31,2009,2010-01-03,16,23.073,CLE,,JAX,W 23-17,,0,0,,0,0,0,,0,0.0,3,0
32,2010,2010-09-12,1,23.325,CLE,@,TAM,L 14-17,,0,0,,0,0,0,,0,0.0,0,0
33,2010,2010-09-19,2,23.332,CLE,,KAN,L 14-16,,0,0,,0,0,0,,0,0.0,0,0
34,2010,2010-09-26,3,23.339,CLE,@,BAL,L 17-24,,0,0,,0,0,0,,0,0.0,0,0
35,2010,2010-10-03,4,23.346,CLE,,CIN,W 23-20,,,,,,,,,,,,
36,2010,2010-10-10,5,23.353,CLE,,ATL,L 10-20,,,,,,,,,,,,
37,2010,2010-10-17,6,23.360,CLE,@,PIT,L 10-28,,,,,,,,,,,,
38,2010,2010-10-24,7,24.002,CLE,@,NOR,W 30-17,,0,0,,0,0,0,,0,0.0,0,0
39,2010,2010-11-07,8,24.016,CLE,,NWE,W 34-14,,0,0,,0,0,0,,0,0.0,1,0
40,2010,2010-11-14,9,24.023,CLE,,NYJ,L 20-26,,0,0,,0,0,0,,0,0.0,2,0
41,2010,2010-11-21,10,24.030,CLE,@,JAX,L 20-24,,0,0,,0,0,0,,0,0.0,3,0
42,2010,2010-11-28,11,24.037,CLE,,CAR,W 24-23,,0,0,,0,0,0,,0,0.0,2,0
43,2010,2010-12-05,12,24.044,CLE,@,MIA,W 13-10,,,,,,,,,,,,
44,2010,2010-12-12,13,24.051,CLE,@,BUF,L 6-13,,,,,,,,,,,,
45,2010,2010-12-19,14,24.058,CLE,@,CIN,L 17-19,,,,,,,,,,,,
46,2010,2010-12-26,15,24.065,CLE,,BAL,L 10-20,,0,0,,0,0,0,,0,0.0,1,0
47,2010,2011-01-02,16,24.072,CLE,,PIT,L 9-41,,0,0,,0,4,47,11.75,0,0.0,0,1
48,2011,2011-09-11,1,24.324,CLE,,CIN,L 17-27,,,,,,,,,,,,
49,2011,2011-09-18,2,24.331,CLE,@,IND,W 27-19,,,,,,,,,,,,
50,2011,2011-09-25,3,24.338,CLE,,MIA,W 17-16,,0,0,,0,0,0,,0,0.0,0,0
51,2011,2011-10-02,4,24.345,CLE,,TEN,L 13-31,,,,,,,,,,,,
52,2011,2011-10-16,5,24.359,CLE,@,OAK,L 17-24,,,,,,,,,,,,
53,2011,2011-10-23,6,25.001,CLE,,SEA,W 6-3,,,,,,,,,,,,
54,2011,2011-11-13,9,25.022,CLE,,STL,L 12-13,,0,0,,0,0,0,,0,0.0,0,0
55,2011,2011-11-20,10,25.029,CLE,,JAX,W 14-10,,,,,,,,,,,,
