ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1974,1974-09-15,1,22.142,CHI,,DET,W 17-9,0,0,,0,1,-1,-1.00,0,0,0,,0
2,1974,1974-09-22,2,22.149,CHI,,NYJ,L 21-23,,,,,,,,,,,,
3,1974,1974-09-29,3,22.156,CHI,@,MIN,L 7-11,,,,,,,,,,,,
4,1974,1974-10-06,4,22.163,CHI,,NOR,W 24-10,,,,,,,,,,,,
5,1974,1974-10-13,5,22.170,CHI,@,ATL,L 10-13,,,,,,,,,,,,
6,1974,1974-10-21,6,22.178,CHI,,GNB,W 10-9,,,,,,,,,,,,
7,1974,1974-10-27,7,22.184,CHI,@,BUF,L 6-16,,,,,,,,,,,,
8,1974,1974-11-03,8,22.191,CHI,,MIN,L 0-17,1,24,24.00,0,0,0,,0,1,17,17.00,0
9,1974,1974-11-10,9,22.198,CHI,@,GNB,L 3-20,2,24,12.00,0,0,0,,0,0,0,,0
10,1974,1974-11-17,10,22.205,CHI,,SFO,L 0-34,1,11,11.00,0,0,0,,0,1,15,15.00,0
11,1974,1974-11-24,11,22.212,CHI,@,DET,L 17-34,1,6,6.00,0,0,0,,0,1,21,21.00,0
12,1974,1974-12-01,12,22.219,CHI,,NYG,W 16-13,1,14,14.00,0,0,0,,0,0,0,,0
13,1974,1974-12-08,13,22.226,CHI,@,SDG,L 21-28,,,,,,,,,,,,
14,1974,1974-12-15,14,22.233,CHI,@,WAS,L 0-42,,,,,,,,,,,,
15,1976,1976-09-12,1,24.139,TAM,@,HOU,L 0-20,,,,,,,,,,,,
16,1976,1976-09-19,2,24.146,TAM,,SDG,L 0-23,,,,,,,,,,,,
17,1976,1976-09-26,3,24.153,TAM,,BUF,L 9-14,,,,,,,,,,,,
18,1976,1976-10-03,4,24.160,TAM,@,BAL,L 17-42,,,,,,,,,,,,
19,1976,1976-10-10,5,24.167,TAM,@,CIN,L 0-21,,,,,,,,,,,,
20,1976,1976-10-17,6,24.174,TAM,,SEA,L 10-13,0,0,,0,0,0,,0,1,20,20.00,0
21,1976,1976-10-24,7,24.181,TAM,,MIA,L 20-23,1,10,10.00,0,0,0,,0,0,0,,0
22,1976,1976-10-31,8,24.188,TAM,,KAN,L 19-28,1,5,5.00,0,0,0,,0,0,0,,0
23,1976,1976-11-07,9,24.195,TAM,@,DEN,L 13-48,,,,,,,,,,,,
24,1976,1976-11-14,10,24.202,TAM,@,NYJ,L 0-34,,,,,,,,,,,,
25,1976,1976-11-21,11,24.209,TAM,,CLE,L 7-24,,,,,,,,,,,,
26,1976,1976-11-28,12,24.216,TAM,@,OAK,L 16-49,,,,,,,,,,,,
27,1976,1976-12-05,13,24.223,TAM,@,PIT,L 0-42,,,,,,,,,,,,
28,1976,1976-12-12,14,24.230,TAM,,NWE,L 14-31,0,0,,0,1,4,4.00,0,0,0,,0
