ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,22.187,KAN,,OAK,W 28-8,,,,,,,,,,,
2,1998,1998-09-13,2,22.194,KAN,@,JAX,L 16-21,,,,,,,,,,,
3,1998,1998-09-27,4,22.208,KAN,@,PHI,W 24-21,,,,,,,,,,,
4,1998,1998-10-11,6,22.222,KAN,@,NWE,L 10-40,,,,,,,,,,,
5,1998,1998-10-26,7,22.237,KAN,,PIT,L 13-20,,,,,,,,,,,
6,1998,1998-11-01,8,22.243,KAN,,NYJ,L 17-20,,,,,,,,,,,
7,1998,1998-11-08,9,22.250,KAN,@,SEA,L 12-24,,,,,,,,,,,
8,1998,1998-11-16,10,22.258,KAN,,DEN,L 7-30,,,,,,,,,,,
9,1998,1998-11-22,11,22.264,KAN,@,SDG,L 37-38,,,,,,,,,,,
10,1998,1998-12-06,13,22.278,KAN,@,DEN,L 31-35,,,,,,,,,,,
11,1998,1998-12-20,15,22.292,KAN,@,NYG,L 7-28,,,,,,,,,,,
12,1998,1998-12-26,16,22.298,KAN,@,OAK,W 31-24,,,,,,,,,,,
13,1999,1999-09-12,1,23.193,KAN,@,CHI,L 17-20,,,,,,,,,,,
14,1999,1999-09-19,2,23.200,KAN,,DEN,W 26-10,,0,0,,0,0,0,0.0,1,0,0
15,1999,1999-09-26,3,23.207,KAN,,DET,W 31-21,,,,,,,,,,,
16,1999,1999-10-03,4,23.214,KAN,@,SDG,L 14-21,,,,,,,,,,,
17,1999,1999-10-10,5,23.221,KAN,,NWE,W 16-14,,,,,,,,,,,
18,1999,1999-10-21,6,23.232,KAN,@,BAL,W 35-8,,,,,,,,,,,
19,1999,1999-10-31,7,23.242,KAN,,SDG,W 34-0,,,,,,,,,,,
20,1999,1999-11-07,8,23.249,KAN,@,IND,L 17-25,,,,,,,,,,,
21,1999,1999-11-14,9,23.256,KAN,@,TAM,L 10-17,,,,,,,,,,,
22,1999,1999-11-21,10,23.263,KAN,,SEA,L 19-31,,0,0,,0,0,0,0.0,1,0,0
23,1999,1999-11-28,11,23.270,KAN,@,OAK,W 37-34,,,,,,,,,,,
24,1999,1999-12-05,12,23.277,KAN,@,DEN,W 16-10,,,,,,,,,,,
25,1999,1999-12-12,13,23.284,KAN,,MIN,W 31-28,,,,,,,,,,,
26,1999,1999-12-18,14,23.290,KAN,,PIT,W 35-19,*,0,0,,0,0,0,0.0,1,0,0
27,1999,1999-12-26,15,23.298,KAN,@,SEA,L 14-23,,,,,,,,,,,
28,1999,2000-01-02,16,23.305,KAN,,OAK,L 38-41,,,,,,,,,,,
29,2000,2000-09-03,1,24.184,KAN,,IND,L 14-27,,,,,,,,,,,
30,2000,2000-09-10,2,24.191,KAN,@,TEN,L 14-17,*,,,,,,,,,,
31,2000,2000-09-17,3,24.198,KAN,,SDG,W 42-10,,,,,,,,,,,
32,2000,2000-09-24,4,24.205,KAN,@,DEN,W 23-22,,,,,,,,,,,
33,2000,2000-10-02,5,24.213,KAN,,SEA,W 24-17,,,,,,,,,,,
34,2000,2000-11-05,9,24.247,KAN,@,OAK,L 31-49,,,,,,,,,,,
35,2000,2000-11-12,10,24.254,KAN,@,SFO,L 7-21,,,,,,,,,,,
36,2000,2000-11-19,11,24.261,KAN,,BUF,L 17-21,,,,,,,,,,,
37,2000,2000-11-26,12,24.268,KAN,@,SDG,L 16-17,,,,,,,,,,,
38,2000,2000-12-04,13,24.276,KAN,@,NWE,L 24-30,,,,,,,,,,,
39,2000,2000-12-10,14,24.282,KAN,,CAR,W 15-14,,,,,,,,,,,
40,2000,2000-12-17,15,24.289,KAN,,DEN,W 20-7,,,,,,,,,,,
41,2000,2000-12-24,16,24.296,KAN,@,ATL,L 13-29,,,,,,,,,,,
42,2001,2001-09-09,1,25.190,KAN,,OAK,L 24-27,*,0,0,,0,1,6,0.0,1,51,1
43,2001,2001-09-23,2,25.204,KAN,,NYG,L 3-13,*,0,0,,0,0,0,0.0,1,0,0
44,2001,2001-09-30,3,25.211,KAN,@,WAS,W 45-13,*,,,,,,,,,,
45,2001,2001-10-07,4,25.218,KAN,@,DEN,L 6-20,*,,,,,,,,,,
46,2001,2001-10-14,5,25.225,KAN,,PIT,L 17-20,*,,,,,,,,,,
47,2001,2001-10-21,6,25.232,KAN,@,ARI,L 16-24,*,,,,,,,,,,
48,2001,2001-10-25,7,25.236,KAN,,IND,L 28-35,*,,,,,,,,,,
49,2001,2001-11-04,8,25.246,KAN,@,SDG,W 25-20,*,,,,,,,,,,
50,2001,2001-11-11,9,25.253,KAN,@,NYJ,L 7-27,*,0,0,,0,0,0,0.0,1,0,0
51,2001,2001-11-25,10,25.267,KAN,,SEA,W 19-7,*,,,,,,,,,,
52,2001,2001-11-29,11,25.271,KAN,,PHI,L 10-23,*,1,0,0.00,0,0,0,0.0,0,0,0
53,2001,2001-12-09,12,25.281,KAN,@,OAK,L 26-28,*,,,,,,,,,,
54,2001,2001-12-16,13,25.288,KAN,,DEN,W 26-23,*,,,,,,,,,,
55,2001,2001-12-23,14,25.295,KAN,,SDG,W 20-17,*,,,,,,,,,,
56,2001,2001-12-30,15,25.302,KAN,@,JAX,W 30-26,*,,,,,,,,,,
57,2001,2002-01-06,16,25.309,KAN,@,SEA,L 18-21,*,0,0,,0,0,0,0.0,1,10,0
58,2002,2002-09-08,1,26.189,KAN,@,CLE,W 40-39,*,,,,,,,,,,
59,2002,2002-09-15,2,26.196,KAN,,JAX,L 16-23,*,,,,,,,,,,
60,2002,2002-09-22,3,26.203,KAN,@,NWE,L 38-41,*,,,,,,,,,,
61,2002,2002-09-29,4,26.210,KAN,,MIA,W 48-30,*,0,0,,0,0,0,0.0,1,5,0
62,2002,2002-10-06,5,26.217,KAN,@,NYJ,W 29-25,*,,,,,,,,,,
63,2002,2002-10-13,6,26.224,KAN,@,SDG,L 34-35,*,0,0,,0,0,0,0.0,1,5,0
64,2002,2002-10-20,7,26.231,KAN,,DEN,L 34-37,*,,,,,,,,,,
65,2002,2002-10-27,8,26.238,KAN,,OAK,W 20-10,*,,,,,,,,,,
66,2002,2002-11-10,9,26.252,KAN,@,SFO,L 13-17,*,0,0,,0,0,0,0.0,1,1,0
67,2002,2002-11-17,10,26.259,KAN,,BUF,W 17-16,*,0,0,,0,0,0,0.0,1,19,0
68,2002,2002-11-24,11,26.266,KAN,@,SEA,L 32-39,*,,,,,,,,,,
69,2002,2002-12-01,12,26.273,KAN,,ARI,W 49-0,*,,,,,,,,,,
70,2002,2002-12-08,13,26.280,KAN,,STL,W 49-10,*,,,,,,,,,,
71,2002,2002-12-15,14,26.287,KAN,@,DEN,L 24-31,*,,,,,,,,,,
72,2002,2002-12-22,15,26.294,KAN,,SDG,W 24-22,*,,,,,,,,,,
73,2002,2002-12-28,16,26.300,KAN,@,OAK,L 0-24,*,,,,,,,,,,
74,2003,2003-09-07,1,27.188,KAN,,SDG,W 27-14,*,,,,,,,,,,
75,2003,2003-09-14,2,27.195,KAN,,PIT,W 41-20,*,0,0,,0,0,0,0.0,1,14,0
76,2003,2003-09-21,3,27.202,KAN,@,HOU,W 42-14,*,,,,,,,,,,
77,2003,2003-09-28,4,27.209,KAN,@,BAL,W 17-10,*,,,,,,,,,,
78,2003,2003-10-05,5,27.216,KAN,,DEN,W 24-23,*,,,,,,,,,,
79,2003,2003-10-12,6,27.223,KAN,@,GNB,W 40-34,*,,,,,,,,,,
80,2003,2003-10-20,7,27.231,KAN,@,OAK,W 17-10,*,0,0,,0,0,0,0.0,1,5,0
81,2003,2003-10-26,8,27.237,KAN,,BUF,W 38-5,*,0,0,,0,0,0,1.0,2,20,0
