ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-18,2,22.080,IND,,JAX,W 10-3,,,,,,,,,,,
2,2005,2005-09-25,3,22.087,IND,,CLE,W 13-6,,,,,,,,,,,
3,2005,2005-10-02,4,22.094,IND,@,TEN,W 31-10,,,,,,,,,,,
4,2005,2005-10-09,5,22.101,IND,@,SFO,W 28-3,,,,,,,,,,,
5,2005,2005-10-17,6,22.109,IND,,STL,W 45-28,,,,,,,,,,,
6,2005,2005-10-23,7,22.115,IND,@,HOU,W 38-20,,,,,,,,,,,
7,2005,2005-11-07,8,22.130,IND,@,NWE,W 40-21,,,,,,,,,,,
8,2005,2005-11-13,9,22.136,IND,,HOU,W 31-17,,1,0,0.00,0,0.0,,,0,0,0
9,2005,2005-11-20,10,22.143,IND,@,CIN,W 45-37,,0,0,,0,0.0,,,1,16,0
10,2005,2005-11-28,11,22.151,IND,,PIT,W 26-7,,,,,,,,,,,
11,2005,2005-12-04,12,22.157,IND,,TEN,W 35-3,*,,,,,,,,,,
12,2005,2005-12-11,13,22.164,IND,@,JAX,W 26-18,,,,,,,,,,,
13,2005,2005-12-18,14,22.171,IND,,SDG,L 17-26,,,,,,,,,,,
14,2005,2005-12-24,15,22.177,IND,@,SEA,L 13-28,,,,,,,,,,,
15,2005,2006-01-01,16,22.185,IND,,ARI,W 17-13,,,,,,,,,,,
16,2006,2006-09-10,1,23.072,IND,@,NYG,W 26-21,,,,,,,,,,,
17,2006,2006-09-17,2,23.079,IND,,HOU,W 43-24,,,,,,,,,,,
18,2006,2006-09-24,3,23.086,IND,,JAX,W 21-14,,,,,,,,,,,
19,2006,2006-10-08,5,23.100,IND,,TEN,W 14-13,,,,,,,,,,,
20,2006,2006-10-22,6,23.114,IND,,WAS,W 36-22,,,,,,,,,,,
21,2006,2006-10-29,7,23.121,IND,@,DEN,W 34-31,*,,,,,,,,,,
22,2006,2006-11-05,8,23.128,IND,@,NWE,W 27-20,,,,,,,,,,,
23,2006,2006-11-12,9,23.135,IND,,BUF,W 17-16,*,,,,,,,,,,
24,2006,2006-11-19,10,23.142,IND,@,DAL,L 14-21,*,,,,,,,,,,
25,2006,2006-11-26,11,23.149,IND,,PHI,W 45-21,*,,,,,,,,,,
26,2006,2006-12-03,12,23.156,IND,@,TEN,L 17-20,*,0,0,,0,0.0,,,1,24,0
27,2006,2006-12-10,13,23.163,IND,@,JAX,L 17-44,*,,,,,,,,,,
28,2006,2006-12-24,15,23.177,IND,@,HOU,L 24-27,*,,,,,,,,,,
29,2006,2006-12-31,16,23.184,IND,,MIA,W 27-22,*,,,,,,,,,,
30,2007,2007-09-06,1,24.068,IND,,NOR,W 41-10,*,,,,,,,,,,
31,2007,2007-09-16,2,24.078,IND,@,TEN,W 22-20,*,,,,,,,,,,
32,2007,2007-09-23,3,24.085,IND,@,HOU,W 30-24,*,,,,,,,,,,
33,2007,2007-09-30,4,24.092,IND,,DEN,W 38-20,*,0,0,,0,0.0,,,1,0,0
34,2007,2007-10-07,5,24.099,IND,,TAM,W 33-14,*,,,,,,,,,,
35,2007,2007-10-22,6,24.114,IND,@,JAX,W 29-7,*,,,,,,,,,,
36,2007,2007-10-28,7,24.120,IND,@,CAR,W 31-7,*,,,,,,,,,,
37,2007,2007-11-04,8,24.127,IND,,NWE,L 20-24,*,,,,,,,,,,
38,2007,2007-11-11,9,24.134,IND,@,SDG,L 21-23,*,,,,,,,,,,
39,2007,2007-11-18,10,24.141,IND,,KAN,W 13-10,*,,,,,,,,,,
40,2007,2007-11-22,11,24.145,IND,@,ATL,W 31-13,*,,,,,,,,,,
41,2007,2007-12-02,12,24.155,IND,,JAX,W 28-25,*,0,0,,0,0.5,,,0,0,0
42,2007,2007-12-09,13,24.162,IND,@,BAL,W 44-20,*,,,,,,,,,,
43,2007,2007-12-16,14,24.169,IND,@,OAK,W 21-14,*,,,,,,,,,,
44,2007,2007-12-23,15,24.176,IND,,HOU,W 38-15,*,,,,,,,,,,
45,2007,2007-12-30,16,24.183,IND,,TEN,L 10-16,*,,,,,,,,,,
46,2008,2008-09-07,1,25.069,IND,,CHI,L 13-29,*,0,0,,0,0.0,2,2,0,0,0
47,2008,2008-09-14,2,25.076,IND,@,MIN,W 18-15,*,0,0,,0,0.0,3,0,0,0,0
48,2008,2008-09-21,3,25.083,IND,,JAX,L 21-23,*,0,0,,0,0.0,6,2,0,0,0
49,2008,2008-10-05,4,25.097,IND,@,HOU,W 31-27,*,0,0,,0,0.0,10,1,0,0,0
50,2008,2008-10-12,5,25.104,IND,,BAL,W 31-3,*,0,0,,0,0.0,6,0,0,0,0
51,2008,2008-10-19,6,25.111,IND,@,GNB,L 14-34,*,0,0,,0,0.0,9,0,0,0,0
52,2008,2008-10-27,7,25.119,IND,@,TEN,L 21-31,*,0,0,,0,0.0,5,1,0,0,0
53,2009,2009-09-13,1,26.075,IND,,JAX,W 14-12,,,,,,,,,,,
54,2009,2009-09-21,2,26.083,IND,@,MIA,W 27-23,,0,0,,0,0.0,1,1,0,0,0
55,2009,2009-09-27,3,26.089,IND,@,ARI,W 31-10,,0,0,,0,0.0,1,1,1,3,0
56,2009,2009-10-04,4,26.096,IND,,SEA,W 34-17,,0,0,,0,0.0,5,1,0,0,0
