ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2014,2014-09-14,2,24.128,CAR,,DET,W 24-7,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0
2,2014,2014-09-21,3,24.135,CAR,,PIT,L 19-37,,1,1,29,29.00,0,100.0%,29.00,0,0,,0,0,0,,0,0,0
3,2014,2014-09-28,4,24.142,CAR,@,BAL,L 10-38,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0
4,2014,2014-10-05,5,24.149,CAR,,CHI,W 31-24,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0
5,2014,2014-10-12,6,24.156,CAR,@,CIN,T 37-37,,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0
6,2014,2014-10-19,7,24.163,CAR,@,GNB,L 17-38,,5,3,21,7.00,1,60.0%,4.20,0,0,,0,2,19,9.50,0,1,6
7,2014,2014-10-26,8,24.170,CAR,,SEA,L 9-13,*,0,0,0,,0,0.0%,,2,72,36.00,0,1,0,0.00,0,0,0
8,2014,2014-10-30,9,24.174,CAR,,NOR,L 10-28,,1,0,0,,0,0.0%,0.00,3,63,21.00,0,0,0,,0,0,0
9,2014,2014-11-10,10,24.185,CAR,@,PHI,L 21-45,,3,2,24,12.00,0,66.7%,8.00,1,12,12.00,0,3,19,6.33,0,0,0
10,2014,2014-11-16,11,24.191,CAR,,ATL,L 17-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
11,2014,2014-11-30,12,24.205,CAR,@,MIN,L 13-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
12,2014,2014-12-07,13,24.212,CAR,@,NOR,W 41-10,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,2,7,3.50,0,0,0
13,2014,2014-12-14,14,24.219,CAR,,TAM,W 19-17,,1,0,0,,0,0.0%,0.00,0,0,,0,2,18,9.00,0,0,0
14,2014,2014-12-21,15,24.226,CAR,,CLE,W 17-13,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,2,17,8.50,0,0,0
15,2014,2014-12-28,16,24.233,CAR,@,ATL,W 34-3,,1,0,0,,0,0.0%,0.00,1,20,20.00,0,2,6,3.00,0,0,0
