ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2010,2010-11-22,10,25.063,SDG,,DEN,W 35-14,,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
2,2010,2010-11-28,11,25.069,SDG,@,IND,W 36-14,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
3,2010,2011-01-02,16,25.104,SDG,@,DEN,W 33-28,,0,0,,0,,0,0,,0,0.0%,,1,29,29.00,0,,0,0
4,2011,2011-10-23,6,26.033,SDG,@,NYJ,L 21-27,,,,,,,,,,,0.0%,,,,,,,,
5,2011,2011-10-31,7,26.041,SDG,@,KAN,L 20-23,,10,43,4.30,1,3,3,24,8.00,0,100.0%,8.00,1,12,12.00,0,1,1,8
6,2011,2011-11-06,8,26.047,SDG,,GNB,L 38-45,,,,,,,,,,,0.0%,,,,,,,,
7,2011,2011-11-10,9,26.051,SDG,,OAK,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,,0,0
8,2011,2011-11-20,10,26.061,SDG,@,CHI,L 20-31,,,,,,,,,,,0.0%,,,,,,,,
9,2011,2011-11-27,11,26.068,SDG,,DEN,L 13-16,,1,1,1.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0
10,2011,2011-12-05,12,26.076,SDG,@,JAX,W 38-14,,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
11,2011,2011-12-18,14,26.089,SDG,,BAL,W 34-14,,,,,,,,,,,0.0%,,,,,,,,
12,2011,2011-12-24,15,26.095,SDG,@,DET,L 10-38,,,,,,,,,,,0.0%,,,,,,,,
13,2011,2012-01-01,16,26.103,SDG,@,OAK,W 38-26,*,16,52,3.25,0,5,3,12,4.00,0,60.0%,2.40,0,0,,0,,0,0
14,2012,2012-09-10,1,26.356,SDG,@,OAK,W 22-14,,10,12,1.20,0,5,3,28,9.33,0,60.0%,5.60,0,0,,0,,0,0
15,2012,2012-09-16,2,26.362,SDG,,TEN,W 38-10,*,18,43,2.39,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,,0,0
16,2012,2012-09-23,3,27.003,SDG,,ATL,L 3-27,,1,5,5.00,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,0,0
17,2012,2012-10-15,6,27.025,SDG,,DEN,L 24-35,,0,0,,0,0,0,0,,0,0.0%,,1,11,11.00,0,,0,0
18,2012,2012-11-01,8,27.042,SDG,,KAN,W 31-13,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,,0,0
19,2012,2012-11-11,9,27.052,SDG,@,TAM,L 24-34,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,,0,0
20,2012,2012-11-18,10,27.059,SDG,@,DEN,L 23-30,,,,,,,,,,,0.0%,,,,,,,,
21,2012,2012-12-16,14,27.087,SDG,,CAR,L 7-31,,6,42,7.00,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,,0,0
22,2012,2012-12-23,15,27.094,SDG,@,NYJ,W 27-17,,1,3,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
23,2012,2012-12-30,16,27.101,SDG,,OAK,W 24-21,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
