ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2004,2004-09-12,1,25.150,ATL,@,SFO,W 21-19,,
2,2004,2004-09-19,2,25.157,ATL,,STL,W 34-17,,
3,2004,2004-09-26,3,25.164,ATL,,ARI,W 6-3,,
4,2004,2004-10-03,4,25.171,ATL,@,CAR,W 27-10,,
5,2004,2004-10-10,5,25.178,ATL,,DET,L 10-17,,
6,2004,2004-10-17,6,25.185,ATL,,SDG,W 21-20,*,
7,2004,2004-10-24,7,25.192,ATL,@,KAN,L 10-56,*,
8,2004,2004-10-31,8,25.199,ATL,@,DEN,W 41-28,,
9,2004,2004-11-14,9,25.213,ATL,,TAM,W 24-14,,
10,2004,2004-11-21,10,25.220,ATL,@,NYG,W 14-10,,
11,2004,2004-11-28,11,25.227,ATL,,NOR,W 24-21,,
12,2004,2004-12-05,12,25.234,ATL,@,TAM,L 0-27,,
13,2004,2004-12-12,13,25.241,ATL,,OAK,W 35-10,*,
14,2004,2004-12-18,14,25.247,ATL,,CAR,W 34-31,*,
15,2004,2004-12-26,15,25.255,ATL,@,NOR,L 13-26,*,
16,2004,2005-01-02,16,25.262,ATL,@,SEA,L 26-28,*,
17,2005,2005-09-12,1,26.150,ATL,,PHI,W 14-10,*,
18,2005,2005-09-18,2,26.156,ATL,@,SEA,L 18-21,*,1.0
19,2005,2005-09-25,3,26.163,ATL,@,BUF,W 24-16,*,0.5
20,2005,2005-10-02,4,26.170,ATL,,MIN,W 30-10,*,
21,2005,2005-10-09,5,26.177,ATL,,NWE,L 28-31,*,
22,2005,2005-10-16,6,26.184,ATL,@,NOR,W 34-31,*,
23,2005,2005-11-06,8,26.205,ATL,@,MIA,W 17-10,*,
24,2005,2005-11-13,9,26.212,ATL,,GNB,L 25-33,*,
25,2005,2005-11-24,11,26.223,ATL,@,DET,W 27-7,*,
26,2005,2005-12-04,12,26.233,ATL,@,CAR,L 6-24,*,
27,2005,2005-12-12,13,26.241,ATL,,NOR,W 36-17,*,1.0
28,2005,2005-12-18,14,26.247,ATL,@,CHI,L 3-16,*,
29,2005,2005-12-24,15,26.253,ATL,@,TAM,L 24-27,*,
30,2005,2006-01-01,16,26.261,ATL,,CAR,L 11-44,*,
