ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1998,1998-09-13,2,24.010,NWE,,IND,W 29-6,,,,,,,,,,,0.0%,
2,1998,1998-10-25,7,24.052,NWE,@,MIA,L 9-12,,,,,,,,,,,0.0%,
3,1998,1998-11-01,8,24.059,NWE,@,IND,W 21-16,,,,,,,,,,,0.0%,
4,1998,1998-11-08,9,24.066,NWE,,ATL,L 10-41,,,,,,,,,,,0.0%,
5,1998,1998-11-15,10,24.073,NWE,@,BUF,L 10-13,,,,,,,,,,,0.0%,
6,1998,1998-11-23,11,24.081,NWE,,MIA,W 26-23,,,,,,,,,,,0.0%,
7,1998,1998-11-29,12,24.087,NWE,,BUF,W 25-21,,,,,,,,,,,0.0%,
8,1998,1998-12-06,13,24.094,NWE,@,PIT,W 23-9,,,,,,,,,,,0.0%,
9,1998,1998-12-13,14,24.101,NWE,@,STL,L 18-32,,,,,,,,,,,0.0%,
10,1998,1998-12-20,15,24.108,NWE,,SFO,W 24-21,,,,,,,,,,,0.0%,
11,1998,1998-12-27,16,24.115,NWE,@,NYJ,L 10-31,,,,,,,,,,,0.0%,
12,1999,1999-09-12,1,25.009,NWE,@,NYJ,W 30-28,,0,0,,0,0,0,0,,0,0.0%,
13,1999,1999-09-19,2,25.016,NWE,,IND,W 31-28,,,,,,0,,,,,0.0%,
14,1999,1999-09-26,3,25.023,NWE,,NYG,W 16-14,,,,,,,,,,,0.0%,
15,1999,1999-12-05,12,25.093,NWE,,DAL,W 13-6,,,,,,0,,,,,0.0%,
16,1999,1999-12-12,13,25.100,NWE,@,IND,L 15-20,,,,,,0,,,,,0.0%,
17,1999,1999-12-19,14,25.107,NWE,@,PHI,L 9-24,,,,,,,,,,,0.0%,
18,1999,1999-12-26,15,25.114,NWE,,BUF,L 10-13,,4,6,1.50,0,3,2,31,15.50,0,66.7%,10.33
19,1999,2000-01-02,16,25.121,NWE,,BAL,W 20-3,,5,17,3.40,0,0,0,0,,0,0.0%,
20,2000,2000-09-03,1,26.000,NWE,,TAM,L 16-21,,,,,,,,,,,0.0%,
21,2000,2000-09-11,2,26.008,NWE,@,NYJ,L 19-20,,,,,,0,,,,,0.0%,
22,2000,2000-09-17,3,26.014,NWE,,MIN,L 13-21,,,,,,,,,,,0.0%,
23,2000,2000-09-24,4,26.021,NWE,@,MIA,L 3-10,,3,2,0.67,0,2,2,11,5.50,0,100.0%,5.50
24,2000,2000-10-01,5,26.028,NWE,@,DEN,W 28-19,,3,3,1.00,0,0,0,0,,0,0.0%,
25,2000,2000-10-08,6,26.035,NWE,,IND,W 24-16,,,,,,0,,,,,0.0%,
26,2000,2000-10-15,7,26.042,NWE,,NYJ,L 17-34,,,,,,1,,,,,0.0%,
27,2000,2000-10-22,8,26.049,NWE,@,IND,L 23-30,,,,,,0,,,,,0.0%,
28,2000,2000-11-05,9,26.063,NWE,,BUF,L 13-16,,,,,,0,,,,,0.0%,
29,2000,2000-11-12,10,26.070,NWE,@,CLE,L 11-19,,1,5,5.00,0,0,0,0,,0,0.0%,
30,2000,2000-11-19,11,26.077,NWE,,CIN,W 16-13,,,,,,,,,,,0.0%,
31,2000,2000-11-23,12,26.081,NWE,@,DET,L 9-34,,,,,,0,,,,,0.0%,
32,2000,2000-12-04,13,26.092,NWE,,KAN,W 30-24,,2,2,1.00,0,1,0,0,,0,0.0%,0.00
33,2000,2000-12-10,14,26.098,NWE,@,CHI,L 17-24,,,,,,,,,,,0.0%,
34,2000,2000-12-17,15,26.105,NWE,@,BUF,W 13-10,,,,,,,,,,,0.0%,
35,2000,2000-12-24,16,26.112,NWE,,MIA,L 24-27,,,,,,,,,,,0.0%,
