ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1990,1990-09-09,1,23.035,NYG,,PHI,W 27-20,
2,1990,1990-09-16,2,23.042,NYG,@,DAL,W 28-7,
3,1990,1990-09-23,3,23.049,NYG,,MIA,W 20-3,
4,1990,1990-09-30,4,23.056,NYG,,DAL,W 31-17,
5,1990,1990-10-14,5,23.070,NYG,@,WAS,W 24-20,
6,1990,1990-10-21,6,23.077,NYG,,PHO,W 20-19,
7,1990,1990-10-28,7,23.084,NYG,,WAS,W 21-10,
8,1990,1990-11-05,8,23.092,NYG,@,IND,W 24-7,
9,1990,1990-11-11,9,23.098,NYG,@,RAM,W 31-7,
10,1990,1990-11-18,10,23.105,NYG,,DET,W 20-0,
11,1990,1990-11-25,11,23.112,NYG,@,PHI,L 13-31,
12,1990,1990-12-03,12,23.120,NYG,@,SFO,L 3-7,
13,1990,1990-12-09,13,23.126,NYG,,MIN,W 23-15,0.5
14,1990,1990-12-15,14,23.132,NYG,,BUF,L 13-17,
15,1990,1990-12-23,15,23.140,NYG,@,PHO,W 24-21,1.0
16,1990,1990-12-30,16,23.147,NYG,@,NWE,W 13-10,
17,1991,1991-09-02,1,24.028,NYG,,SFO,W 16-14,
18,1991,1991-09-08,2,24.034,NYG,,RAM,L 13-19,
19,1991,1991-09-15,3,24.041,NYG,@,CHI,L 17-20,
20,1991,1991-09-22,4,24.048,NYG,,CLE,W 13-10,
21,1991,1991-09-29,5,24.055,NYG,@,DAL,L 16-21,
22,1991,1991-10-14,7,24.070,NYG,@,PIT,W 23-20,
23,1991,1991-10-27,8,24.083,NYG,,WAS,L 13-17,
24,1991,1991-11-04,9,24.091,NYG,@,PHI,L 7-30,
25,1991,1991-11-10,10,24.097,NYG,@,PHO,W 21-14,
26,1991,1991-11-17,11,24.104,NYG,,DAL,W 22-9,
27,1991,1991-11-24,12,24.111,NYG,@,TAM,W 21-14,
28,1991,1991-12-01,13,24.118,NYG,@,CIN,L 24-27,
