ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1985,1985-12-22,16,24.231,GNB,@,TAM,W 20-17,,,,,,
2,1986,1986-09-07,1,25.125,GNB,,HOU,L 3-31,0,0,,0,,
3,1986,1986-09-14,2,25.132,GNB,@,NOR,L 10-24,0,0,,0,,
4,1986,1986-09-22,3,25.140,GNB,,CHI,L 12-25,0,0,,0,,
5,1986,1986-09-28,4,25.146,GNB,@,MIN,L 7-42,1,4,4.00,1,1,6
6,1986,1986-10-05,5,25.153,GNB,,CIN,L 28-34,0,0,,0,,
7,1986,1986-10-12,6,25.160,GNB,,DET,L 14-21,0,0,,0,,
8,1986,1986-10-19,7,25.167,GNB,@,CLE,W 17-14,0,0,,0,,
9,1986,1986-10-26,8,25.174,GNB,,SFO,L 17-31,1,3,3.00,1,1,6
10,1986,1986-11-02,9,25.181,GNB,@,PIT,L 3-27,0,0,,0,,
11,1986,1986-11-09,10,25.188,GNB,,WAS,L 7-16,0,0,,0,,
12,1986,1986-11-16,11,25.195,GNB,,TAM,W 31-7,0,0,,0,,
13,1986,1986-11-23,12,25.202,GNB,@,CHI,L 10-12,0,0,,0,,
14,1986,1986-11-27,13,25.206,GNB,@,DET,W 44-40,0,0,,0,,
15,1986,1986-12-07,14,25.216,GNB,,MIN,L 6-32,0,0,,0,,
16,1986,1986-12-14,15,25.223,GNB,@,TAM,W 21-7,0,0,,0,,
17,1986,1986-12-20,16,25.229,GNB,@,NYG,L 24-55,0,0,,0,,
18,1987,1987-09-13,1,26.131,GNB,,RAI,L 0-20,,,,,,
19,1987,1987-10-18,5,26.166,DET,,SEA,L 14-37,,,,,,
20,1987,1987-11-08,8,26.187,DET,,DAL,W 27-17,,,,,,
21,1987,1987-11-15,9,26.194,DET,@,WAS,L 13-20,,,,,,
22,1987,1987-11-22,10,26.201,DET,@,CHI,L 10-30,,,,,,
23,1987,1987-11-26,11,26.205,DET,,KAN,L 20-27,,,,,,
24,1987,1987-12-06,12,26.215,DET,,RAM,L 16-37,,,,,,
25,1987,1987-12-13,13,26.222,DET,@,TAM,W 20-10,,,,,,
26,1987,1987-12-20,14,26.229,DET,,MIN,L 14-17,,,,,,
27,1987,1987-12-27,15,26.236,DET,@,ATL,W 30-13,,,,,,
28,1988,1988-09-04,1,27.122,DET,,ATL,W 31-17,1,1,1.00,1,1,6
29,1988,1988-09-11,2,27.129,DET,@,RAM,L 10-17,1,8,8.00,0,0,0
30,1988,1988-09-18,3,27.136,DET,,NOR,L 14-22,1,23,23.00,0,0,0
