ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,21.345,DET,@,OAK,W 36-21,,5,4,70,17.50,1,80.0%,14.00,0,0,,0,,1,6,0.0,,
2,2007,2007-09-16,2,21.352,DET,,MIN,W 20-17,*,10,4,61,15.25,1,40.0%,6.10,1,7,7.00,0,,1,6,0.0,,
3,2007,2007-09-23,3,21.359,DET,@,PHI,L 21-56,*,2,2,58,29.00,0,100.0%,29.00,0,0,,0,,0,0,0.0,,
4,2007,2007-10-07,5,22.008,DET,@,WAS,L 3-34,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0.0,,
5,2007,2007-10-21,6,22.022,DET,,TAM,W 23-16,*,3,2,37,18.50,0,66.7%,12.33,1,32,32.00,1,,1,6,0.0,,
6,2007,2007-10-28,7,22.029,DET,@,CHI,W 16-7,*,4,2,44,22.00,0,50.0%,11.00,1,11,11.00,0,,0,0,0.0,,
7,2007,2007-11-04,8,22.036,DET,,DEN,W 44-7,,5,3,47,15.67,0,60.0%,9.40,0,0,,0,,0,0,0.0,,
8,2007,2007-11-11,9,22.043,DET,@,ARI,L 21-31,*,5,3,37,12.33,0,60.0%,7.40,0,0,,0,,0,0,0.0,,
9,2007,2007-11-18,10,22.050,DET,,NYG,L 10-16,,3,3,45,15.00,1,100.0%,15.00,0,0,,0,,1,6,0.0,,
10,2007,2007-11-22,11,22.054,DET,,GNB,L 26-37,*,15,7,83,11.86,1,46.7%,5.53,0,0,,0,,1,6,0.0,,
11,2007,2007-12-02,12,22.064,DET,@,MIN,L 10-42,,3,1,17,17.00,0,33.3%,5.67,0,0,,0,,0,0,0.0,,
12,2007,2007-12-09,13,22.071,DET,,DAL,L 27-28,*,8,5,51,10.20,0,62.5%,6.38,0,0,,0,,0,0,0.0,,
