ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-10-15,6,23.236,NYJ,@,NOR,L 14-29,,,,,,,,,,,,,,,,,
2,1991,1991-09-02,1,25.193,SFO,@,NYG,L 14-16,,0,0,,0,,,0,0,,0,0,0,,0,,
3,1991,1991-09-08,2,25.199,SFO,,SDG,W 34-14,,0,0,,0,,,0,0,,0,1,15,15.00,0,0,0
4,1991,1991-09-15,3,25.206,SFO,@,MIN,L 14-17,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0
5,1991,1991-09-22,4,25.213,SFO,,RAM,W 27-10,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
6,1991,1991-09-29,5,25.220,SFO,@,RAI,L 6-12,,0,0,,0,,,0,0,,0,1,3,3.00,0,0,0
7,1991,1991-10-13,6,25.234,SFO,,ATL,L 34-39,,1,20,20.00,0,,,0,0,,0,0,0,,0,0,0
8,1991,1991-10-20,7,25.241,SFO,,DET,W 35-3,,1,7,7.00,0,,,1,23,23.00,0,1,2,2.00,0,0,0
9,1991,1991-10-27,8,25.248,SFO,@,PHI,W 23-7,,0,0,,0,,,0,0,,0,3,23,7.67,0,0,0
10,1991,1991-11-03,9,25.255,SFO,@,ATL,L 14-17,,0,0,,0,,,0,0,,0,3,8,2.67,0,0,0
11,1991,1991-11-10,10,25.262,SFO,@,NOR,L 3-10,,0,0,,0,,,0,0,,0,0,0,,0,,
12,1991,1991-11-17,11,25.269,SFO,,PHO,W 14-10,,0,0,,0,,,0,0,,0,0,0,,0,,
13,1991,1991-11-25,12,25.277,SFO,@,RAM,W 33-10,,0,0,,0,,,1,14,14.00,0,1,2,2.00,0,0,0
14,1991,1991-12-01,13,25.283,SFO,,NOR,W 38-24,,0,0,,0,,,0,0,,0,0,0,,0,,
15,1991,1991-12-08,14,25.290,SFO,@,SEA,W 24-22,,0,0,,0,,,0,0,,0,0,0,,0,,
16,1991,1991-12-14,15,25.296,SFO,,KAN,W 28-14,,0,0,,0,,,0,0,,0,0,0,,0,,
17,1991,1991-12-23,16,25.305,SFO,,CHI,W 52-14,,0,0,,0,,,0,0,,0,0,0,,0,,
18,1992,1992-09-06,1,26.198,GNB,,MIN,L 20-23,3,2,7,3.50,1,66.7%,2.33,0,0,,0,0,0,,0,1,6
19,1992,1992-09-13,2,26.205,GNB,@,TAM,L 3-31,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,0
20,1992,1992-09-20,3,26.212,GNB,,CIN,W 24-23,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,0,0
21,1992,1992-09-27,4,26.219,GNB,,PIT,W 17-3,1,0,0,,0,0.0%,0.00,,,,,,,,,,
22,1992,1992-10-04,5,26.226,GNB,@,ATL,L 10-24,6,5,32,6.40,0,83.3%,5.33,0,0,,0,0,0,,0,0,0
23,1992,1992-10-18,6,26.240,GNB,@,CLE,L 6-17,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0
24,1992,1992-10-25,7,26.247,GNB,,CHI,L 10-30,1,0,0,,0,0.0%,0.00,,,,,,,,,,
25,1992,1992-11-01,8,26.254,GNB,@,DET,W 27-13,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,0,0,0
26,1992,1992-11-08,9,26.261,GNB,@,NYG,L 7-27,1,0,0,,0,0.0%,0.00,,,,,,,,,,
27,1992,1992-11-15,10,26.268,GNB,,PHI,W 27-24,1,0,0,,0,0.0%,0.00,,,,,,,,,,
28,1992,1992-11-22,11,26.275,GNB,@,CHI,W 17-3,,0,0,,0,0.0%,,,,,,,,,,,
29,1992,1992-11-29,12,26.282,GNB,,TAM,W 19-14,1,0,0,,0,0.0%,0.00,,,,,,,,,,
