ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1997,1997-11-02,9,23.290,DET,@,GNB,L 10-20,,,,,,,0.0%,,,,,,,,
2,1997,1997-11-09,10,23.297,DET,@,WAS,L 7-30,,,,,,,0.0%,,,,,,,,
3,1997,1997-11-16,11,23.304,DET,,MIN,W 38-15,,,,,,,0.0%,,,,,,,,
4,1997,1997-11-23,12,23.311,DET,,IND,W 32-10,,,,,,,0.0%,,,,,,,,
5,1997,1997-11-27,13,23.315,DET,,CHI,W 55-20,,,,,,,0.0%,,,,,,,,
6,1997,1997-12-07,14,23.325,DET,@,MIA,L 30-33,,,,,,,0.0%,,,,,,,,
7,1997,1997-12-14,15,23.332,DET,@,MIN,W 14-13,,,,,,,0.0%,,,,,,,,
8,1998,1998-12-19,15,24.337,BUF,,NYJ,L 10-17,,,,,,,0.0%,,,,,,,,
9,1998,1998-12-27,16,24.345,BUF,@,NOR,W 45-33,,,,,,,0.0%,,,,,,,,
10,1999,1999-09-12,1,25.239,BUF,@,IND,L 14-31,,0,,,,,0.0%,,,,,,,,
11,1999,1999-09-19,2,25.246,BUF,,NYJ,W 17-3,,0,,,,,0.0%,,,,,,,,
12,1999,1999-09-26,3,25.253,BUF,,PHI,W 26-0,,0,,,,,0.0%,,,,,,,,
13,1999,1999-10-04,4,25.261,BUF,@,MIA,W 23-18,,0,,,,,0.0%,,,,,,,,
14,1999,1999-10-10,5,25.267,BUF,,PIT,W 24-21,,,,,,,0.0%,,,,,,,,
15,1999,1999-10-17,6,25.274,BUF,,OAK,L 14-20,,,,,,,0.0%,,,,,,,,
16,1999,1999-10-24,7,25.281,BUF,@,SEA,L 16-26,,,,,,,0.0%,,,,,,,,
17,1999,1999-10-31,8,25.288,BUF,@,BAL,W 13-10,,0,,,,,0.0%,,,,,,,,
18,1999,1999-11-07,9,25.295,BUF,@,WAS,W 34-17,,0,,,,,0.0%,,,,,,,,
19,1999,1999-11-14,10,25.302,BUF,,MIA,W 23-3,,0,,,,,0.0%,,,,,,,,
20,1999,1999-11-21,11,25.309,BUF,@,NYJ,L 7-17,,0,,,,,0.0%,,,,,,,,
21,1999,1999-11-28,12,25.316,BUF,,NWE,W 17-7,,,,,,,0.0%,,,,,,,,
22,1999,1999-12-12,13,25.330,BUF,,NYG,L 17-19,,0,0,0,,0,0.0%,,2,41,20.50,0,0,0,0
23,1999,1999-12-19,14,25.337,BUF,@,ARI,W 31-21,,0,,,,,0.0%,,,,,,,,
24,1999,1999-12-26,15,25.344,BUF,@,NWE,W 13-10,,0,,,,,0.0%,,,,,,,,
25,1999,2000-01-02,16,25.351,BUF,,IND,W 31-6,,0,,,,,0.0%,,,,,,,,
26,2000,2000-09-03,1,26.231,BUF,,TEN,W 16-13,,0,,,,,0.0%,,,,,,,,
27,2000,2000-09-10,2,26.238,BUF,,GNB,W 27-18,,0,,,,,0.0%,,,,,,,,
28,2000,2000-09-17,3,26.245,BUF,@,NYJ,L 14-27,,0,,,,,0.0%,,,,,,,,
29,2000,2000-10-01,4,26.259,BUF,,IND,L 16-18,,0,,,,,0.0%,,,,,,,,
30,2000,2000-10-08,5,26.266,BUF,@,MIA,L 13-22,,0,,,,,0.0%,,,,,,,,
31,2000,2000-10-15,6,26.273,BUF,,SDG,W 27-24,,0,,,,,0.0%,,,,,,,,
32,2000,2000-10-22,7,26.280,BUF,@,MIN,L 27-31,,0,,,,,0.0%,,,,,,,,
33,2000,2000-10-29,8,26.287,BUF,,NYJ,W 23-20,,,,,,,0.0%,,,,,,,,
34,2000,2000-11-05,9,26.294,BUF,@,NWE,W 16-13,,0,,,,,0.0%,,,,,,,,
35,2000,2000-11-12,10,26.301,BUF,,CHI,W 20-3,,0,0,0,,0,0.0%,,0,0,,0,1,0,0
36,2000,2000-11-19,11,26.308,BUF,@,KAN,W 21-17,,1,1,44,44.00,0,100.0%,44.00,0,0,,0,0,0,0
37,2000,2000-11-26,12,26.315,BUF,@,TAM,L 17-31,,,,,,,0.0%,,,,,,,,
38,2000,2000-12-03,13,26.322,BUF,,MIA,L 6-33,,0,,,,,0.0%,,,,,,,,
39,2000,2000-12-11,14,26.330,BUF,@,IND,L 20-44,,0,,,,,0.0%,,,,,,,,
40,2000,2000-12-17,15,26.336,BUF,,NWE,L 10-13,,0,,,,,0.0%,,,,,,,,
41,2000,2000-12-23,16,26.342,BUF,@,SEA,W 42-23,,0,,,,,0.0%,,,,,,,,
42,2001,2001-09-23,2,27.250,TEN,@,JAX,L 6-13,,0,,,,,0.0%,,,,,,,,
43,2001,2001-10-07,3,27.264,TEN,@,BAL,L 7-26,,,,,,,0.0%,,,,,,,,
44,2001,2001-10-14,4,27.271,TEN,,TAM,W 31-28,,,,,,,0.0%,,,,,,,,
45,2001,2001-10-21,5,27.278,TEN,@,DET,W 27-24,,,,,,,0.0%,,,,,,,,
