ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
46,2001,2001-10-29,6,27.286,TEN,@,PIT,L 7-34,,0,,,,,0.0%,,,,,,,,
47,2001,2001-11-04,7,27.292,TEN,,JAX,W 28-24,*,0,,,,,0.0%,,,,,,,,
48,2001,2001-11-12,8,27.300,TEN,,BAL,L 10-16,*,0,,,,,0.0%,,,,,,,,
49,2001,2001-11-18,9,27.306,TEN,@,CIN,W 20-7,,0,,,,,0.0%,,,,,,,,
50,2001,2001-11-25,10,27.313,TEN,,PIT,L 24-34,,0,,,,,0.0%,,,,,,,,
51,2001,2001-12-02,11,27.320,TEN,@,CLE,W 31-15,,0,,,,,0.0%,,,,,,,,
52,2001,2001-12-16,13,27.334,TEN,,GNB,W 26-20,,0,,,,,0.0%,,,,,,,,
53,2001,2001-12-22,14,27.340,TEN,@,OAK,W 13-10,,0,,,,,0.0%,,,,,,,,
54,2001,2001-12-30,15,27.348,TEN,,CLE,L 38-41,,0,,,,,0.0%,,,,,,,,
55,2001,2002-01-06,16,27.355,TEN,,CIN,L 21-23,*,0,,,,,0.0%,,,,,,,,
