ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1951,1951-09-30,1,25.101,GNB,,CHI,L 20-31,3,14,4.67,0,2,8,4.00,0,,,,,,,0,
2,1951,1951-10-14,3,25.115,GNB,,PHI,W 37-24,3,3,1.00,0,1,28,28.00,0,,,,,,,0,
3,1951,1951-10-21,4,25.122,GNB,,RAM,L 0-28,8,29,3.63,0,3,37,12.33,0,,,,,,,0,
4,1951,1951-10-28,5,25.129,GNB,@,NYY,W 29-27,4,43,10.75,0,2,5,2.50,0,,,,,,,0,
5,1951,1951-11-04,6,25.136,GNB,,DET,L 17-24,11,19,1.73,1,5,56,11.20,0,,,,,,,1,
6,1951,1951-11-11,7,25.143,GNB,@,PIT,L 7-28,5,15,3.00,0,5,41,8.20,0,,,,,,,0,
7,1951,1951-11-18,8,25.150,GNB,@,CHI,L 13-24,5,7,1.40,0,0,0,,0,,,,,,,0,
8,1951,1951-11-22,9,25.154,GNB,@,DET,L 35-52,6,31,5.17,0,2,38,19.00,0,,,,,,,0,
9,1951,1951-12-02,10,25.164,GNB,,NYY,L 28-31,8,25,3.13,0,3,66,22.00,0,,,,,,,0,
10,1951,1951-12-09,11,25.171,GNB,@,SFO,L 19-31,2,0,0.00,0,1,8,8.00,0,,,,,,,0,
11,1951,1951-12-16,12,25.178,GNB,@,RAM,L 14-42,1,4,4.00,0,4,28,7.00,0,,,,,,,0,
12,1952,1952-09-28,1,26.099,GNB,,CHI,L 14-24,2,2,1.00,0,0,0,,0,,,,,,,0,
13,1952,1952-10-05,2,26.106,GNB,,WAS,W 35-20,8,76,9.50,1,0,0,,0,,,,,,,1,
14,1952,1952-10-12,3,26.113,GNB,,RAM,L 28-30,6,16,2.67,0,0,0,,0,,,,,,,0,
15,1952,1952-10-18,4,26.119,GNB,@,DTX,W 24-14,15,79,5.27,0,2,20,10.00,0,,,,,,,0,
16,1952,1952-10-26,5,26.127,GNB,,DET,L 17-52,5,12,2.40,0,2,15,7.50,0,,,,,,,0,
17,1952,1952-11-02,6,26.134,GNB,,PHI,W 12-10,15,27,1.80,0,0,0,,0,,,,,,,0,
