ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1973,1973-09-16,1,22.045,CLE,,BAL,W 24-14,0,0,,0,0,0,,0,1,27,27.00,0,0,0,,0,0,0
2,1973,1973-09-23,2,22.052,CLE,@,PIT,L 6-33,0,0,,0,0,0,,0,1,19,19.00,0,0,0,,0,0,0
3,1973,1973-09-30,3,22.059,CLE,,NYG,W 12-10,,,,,,,,,,,,,,,,,,
4,1973,1973-10-07,4,22.066,CLE,,CIN,W 17-10,,,,,,,,,,,,,,,,,,
5,1973,1973-11-04,8,22.094,CLE,@,MIN,L 3-26,0,0,,0,0,0,,0,2,53,26.50,0,0,0,,0,0,0
6,1973,1973-11-11,9,22.101,CLE,@,HOU,W 23-13,,,,,,,,,,,,,,,,,,
7,1973,1973-11-18,10,22.108,CLE,@,OAK,W 7-3,0,0,,0,0,0,,0,1,21,21.00,0,1,19,19.00,0,0,0
8,1973,1973-11-25,11,22.115,CLE,,PIT,W 21-16,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0
9,1973,1973-12-02,12,22.122,CLE,@,KAN,T 20-20,,,,,,,,,,,,,,,,,,
10,1973,1973-12-09,13,22.129,CLE,@,CIN,L 17-34,,,,,,,,,,,,,,,,,,
11,1973,1973-12-16,14,22.136,CLE,@,RAM,L 17-30,3,27,9.00,0,0,0,,0,3,52,17.33,0,0,0,,0,0,0
12,1974,1974-09-15,1,23.044,CLE,@,CIN,L 7-33,,,,,,,,,,,,,,,,,,
13,1974,1974-09-22,2,23.051,CLE,,HOU,W 20-7,5,83,16.60,0,1,6,6.00,0,0,0,,0,0,0,,0,0,0
14,1974,1974-10-27,7,23.086,CLE,,DEN,W 23-21,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
15,1974,1974-11-03,8,23.093,CLE,@,SDG,L 35-36,6,85,14.17,1,0,0,,0,0,0,,0,0,0,,0,1,6
16,1974,1974-11-10,9,23.100,CLE,@,NWE,W 21-14,,,,,,,,,,,,,,,,,,
17,1974,1974-11-17,10,23.107,CLE,,PIT,L 16-26,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
18,1974,1974-11-24,11,23.114,CLE,,BUF,L 10-15,3,24,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
