ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,24.007,DEN,@,CIN,W 12-7,,,,,,
2,2009,2009-09-20,2,24.014,DEN,,CLE,W 27-6,,,,,,
3,2009,2009-09-27,3,24.021,DEN,@,OAK,W 23-3,,0,0,0.0,1,0
4,2009,2009-10-04,4,24.028,DEN,,DAL,W 17-10,,0,0,0.0,1,1
5,2009,2009-10-11,5,24.035,DEN,,NWE,W 20-17,,0,0,0.0,3,0
6,2009,2009-10-19,6,24.043,DEN,@,SDG,W 34-23,,0,0,0.0,2,0
7,2009,2009-11-01,7,24.056,DEN,@,BAL,L 7-30,,0,0,0.0,2,0
8,2009,2009-11-09,8,24.064,DEN,,PIT,L 10-28,,1,6,0.0,0,2
9,2009,2009-11-15,9,24.070,DEN,@,WAS,L 17-27,,0,0,0.0,0,0
10,2009,2009-11-26,11,24.081,DEN,,NYG,W 26-6,,0,0,0.0,1,0
11,2009,2009-12-06,12,24.091,DEN,@,KAN,W 44-13,,0,0,0.0,1,0
12,2009,2009-12-13,13,24.098,DEN,@,IND,L 16-28,,0,0,0.0,1,0
13,2009,2009-12-20,14,24.105,DEN,,OAK,L 19-20,,0,0,0.0,0,0
14,2009,2009-12-27,15,24.112,DEN,@,PHI,L 27-30,*,0,0,0.0,2,0
15,2009,2010-01-03,16,24.119,DEN,,KAN,L 24-44,,0,0,0.0,0,1
16,2010,2010-09-12,1,25.006,DEN,@,JAX,L 17-24,*,0,0,1.0,4,1
17,2010,2010-09-19,2,25.013,DEN,,SEA,W 31-14,*,0,0,0.5,1,2
18,2010,2010-09-26,3,25.020,DEN,,IND,L 13-27,*,0,0,0.0,3,1
19,2010,2010-10-03,4,25.027,DEN,@,TEN,W 26-20,*,0,0,0.0,4,1
20,2010,2010-10-10,5,25.034,DEN,@,BAL,L 17-31,*,0,0,0.0,2,0
21,2010,2010-11-28,11,25.083,DEN,,STL,L 33-36,*,0,0,0.0,2,0
22,2010,2010-12-05,12,25.090,DEN,@,KAN,L 6-10,,0,0,0.0,3,1
23,2010,2010-12-12,13,25.097,DEN,@,ARI,L 13-43,*,0,0,0.0,4,0
24,2010,2010-12-19,14,25.104,DEN,@,OAK,L 23-39,*,0,0,0.0,5,0
25,2010,2010-12-26,15,25.111,DEN,,HOU,W 24-23,*,0,0,0.0,0,1
26,2010,2011-01-02,16,25.118,DEN,,SDG,L 28-33,*,0,0,0.0,4,0
27,2011,2011-09-12,1,26.006,DEN,,OAK,L 20-23,*,0,0,0.0,1,1
28,2011,2011-09-18,2,26.012,DEN,,CIN,W 24-22,*,0,0,0.0,1,0
29,2011,2011-09-25,3,26.019,DEN,@,TEN,L 14-17,*,0,0,0.0,2,2
30,2011,2011-10-02,4,26.026,DEN,@,GNB,L 23-49,*,0,0,0.0,1,1
31,2011,2011-10-09,5,26.033,DEN,,SDG,L 24-29,*,0,0,1.0,3,2
32,2011,2011-10-23,6,26.047,DEN,@,MIA,W 18-15,,0,0,0.0,1,1
33,2011,2011-10-30,7,26.054,DEN,,DET,L 10-45,,0,0,1.0,3,0
34,2011,2011-11-06,8,26.061,DEN,@,OAK,W 38-24,*,0,0,0.0,0,1
35,2011,2011-11-13,9,26.068,DEN,@,KAN,W 17-10,*,0,0,0.0,1,1
36,2011,2011-11-17,10,26.072,DEN,,NYJ,W 17-13,*,0,0,0.0,2,1
37,2011,2011-11-27,11,26.082,DEN,@,SDG,W 16-13,*,0,0,0.0,3,0
38,2011,2011-12-04,12,26.089,DEN,@,MIN,W 35-32,*,0,0,0.0,0,2
