ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1998,1998-09-27,4,28.065,PHI,,KAN,L 21-24,,,,,,,0.0%,,,,,,,,,
2,1998,1998-10-04,5,28.072,PHI,@,DEN,L 16-41,,,,,,,0.0%,,,,,,,,,
3,1998,1998-10-11,6,28.079,PHI,,WAS,W 17-12,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0
4,1998,1998-10-18,7,28.086,PHI,@,SDG,L 10-13,,1,,,,,0.0%,,,,,,,,,
5,1998,1998-11-02,8,28.101,PHI,,DAL,L 0-34,,1,0,0,,0,0.0%,0.00,1,-4,-4.00,0,0,0,,0
6,1998,1998-11-29,12,28.128,PHI,@,GNB,L 16-24,,,,,,,0.0%,,,,,,,,,
7,1998,1998-12-03,13,28.132,PHI,,STL,W 17-14,,,,,,,0.0%,,,,,,,,,
8,1998,1998-12-13,14,28.142,PHI,,ARI,L 17-20,,1,,,,,0.0%,,,,,,,,,
9,1998,1998-12-20,15,28.149,PHI,@,DAL,L 9-13,,,,,,,0.0%,,,,,,,,,
10,1998,1998-12-27,16,28.156,PHI,,NYG,L 10-20,,,,,,,0.0%,,,,,,,,,
11,2000,2000-09-03,1,30.041,CAR,@,WAS,L 17-20,,,,,,,0.0%,,,,,,,,,
12,2000,2000-09-10,2,30.048,CAR,@,SFO,W 38-22,,0,,,,,0.0%,,,,,,,,,
13,2000,2000-09-17,3,30.055,CAR,,ATL,L 10-15,,,,,,,0.0%,,,,,,,,,
14,2000,2000-10-01,4,30.069,CAR,,DAL,L 13-16,,,,,,,0.0%,,,,,,,,,
15,2000,2000-10-08,5,30.076,CAR,,SEA,W 26-3,,1,,,,,0.0%,,,,,,,,,
16,2000,2000-10-15,6,30.083,CAR,@,NOR,L 6-24,,,,,,,0.0%,,,,,,,,,
17,2000,2000-10-22,7,30.090,CAR,,SFO,W 34-16,,,,,,,0.0%,,,,,,,,,
18,2000,2000-10-29,8,30.097,CAR,@,ATL,L 12-13,,0,,,,,0.0%,,,,,,,,,
19,2000,2000-11-05,9,30.104,CAR,@,STL,W 27-24,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0
20,2000,2000-11-12,10,30.111,CAR,,NOR,L 10-20,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0
21,2000,2000-11-19,11,30.118,CAR,@,MIN,L 17-31,,3,,,,,0.0%,,,,,,,,,
22,2000,2000-11-27,12,30.126,CAR,,GNB,W 31-14,,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0
23,2000,2000-12-03,13,30.132,CAR,,STL,W 16-3,,,,,,,0.0%,,,,,,,,,
24,2000,2000-12-10,14,30.139,CAR,@,KAN,L 14-15,,,,,,,0.0%,,,,,,,,,
25,2000,2000-12-17,15,30.146,CAR,,SDG,W 30-22,,0,,,,,0.0%,,,,,,,,,
26,2000,2000-12-24,16,30.153,CAR,@,OAK,L 9-52,,,,,,,0.0%,,,,,,,,,
27,2001,2001-09-09,1,31.047,CAR,@,MIN,W 24-13,,0,,,,,0.0%,,,,,,,,,
28,2001,2001-09-23,2,31.061,CAR,@,ATL,L 16-24,,0,,,,,0.0%,,,,,,,,,
29,2001,2001-09-30,3,31.068,CAR,,GNB,L 7-28,,0,,,,,0.0%,,,,,,,,,
30,2001,2001-10-07,4,31.075,CAR,@,SFO,L 14-24,,0,,,,,0.0%,,,,,,,,,
31,2001,2001-10-14,5,31.082,CAR,,NOR,L 25-27,,,,,,,0.0%,,,,,,,,,
32,2001,2001-10-21,6,31.089,CAR,@,WAS,L 14-17,,0,,,,,0.0%,,,,,,,,,
33,2001,2001-10-28,7,31.096,CAR,,NYJ,L 12-13,,,,,,,0.0%,,,,,,,,,
34,2001,2001-11-04,8,31.103,CAR,@,MIA,L 6-23,,,,,,,0.0%,,,,,,,,,
