ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2004,2004-09-12,1,22.214,PHI,,NYG,W 31-17,,3,67,22.33,0,0,0,,0
2,2004,2004-09-20,2,22.222,PHI,,MIN,W 27-16,,4,126,31.50,0,0,0,,0
3,2004,2004-09-26,3,22.228,PHI,@,DET,W 30-13,,2,42,21.00,0,0,18,,0
4,2004,2004-10-03,4,22.235,PHI,@,CHI,W 19-9,,2,37,18.50,0,0,0,,0
5,2004,2004-10-17,5,22.249,PHI,,CAR,W 30-8,,1,66,66.00,0,0,0,,0
6,2004,2004-10-24,6,22.256,PHI,@,CLE,W 34-31,,7,154,22.00,0,0,0,,0
7,2004,2004-10-31,7,22.263,PHI,,BAL,W 15-10,,1,17,17.00,0,0,0,,0
8,2004,2004-11-21,10,22.284,PHI,,WAS,W 28-6,,,,,,,,,
9,2004,2004-11-28,11,22.291,PHI,@,NYG,W 27-6,,1,18,18.00,0,0,0,,0
10,2004,2004-12-05,12,22.298,PHI,,GNB,W 47-17,,3,47,15.67,0,0,0,,0
11,2004,2004-12-12,13,22.305,PHI,@,WAS,W 17-14,,3,45,15.00,0,0,0,,0
12,2004,2004-12-19,14,22.312,PHI,,DAL,W 12-7,,2,44,22.00,0,0,0,,0
13,2004,2004-12-27,15,22.320,PHI,@,STL,L 7-20,,2,53,26.50,0,0,0,,0
14,2004,2005-01-02,16,22.326,PHI,,CIN,L 10-38,*,2,45,22.50,0,0,0,,0
15,2006,2006-09-10,1,24.211,STL,,DEN,W 18-10,,2,51,25.50,0,0,0,,0
16,2006,2006-09-17,2,24.218,STL,@,SFO,L 13-20,,4,98,24.50,0,0,0,,0
17,2006,2006-09-24,3,24.225,STL,@,ARI,W 16-14,,1,20,20.00,0,0,0,,0
18,2006,2006-10-01,4,24.232,STL,,DET,W 41-34,,4,74,18.50,0,0,0,,0
19,2006,2006-10-08,5,24.239,STL,@,GNB,W 23-20,,3,40,13.33,0,0,0,,0
20,2006,2006-11-12,9,24.274,STL,@,SEA,L 22-24,,3,63,21.00,0,0,0,,0
21,2007,2007-09-09,1,25.210,PHI,@,GNB,L 13-16,,3,66,22.00,0,2,8,4.00,0
22,2007,2007-09-23,3,25.224,PHI,,DET,W 56-21,,,,,,,,,
23,2007,2007-09-30,4,25.231,PHI,@,NYG,L 3-16,,4,98,24.50,0,0,0,,0
24,2007,2007-10-14,5,25.245,PHI,@,NYJ,W 16-9,,,,,,,,,
25,2007,2007-10-21,6,25.252,PHI,,CHI,L 16-19,,,,,,,,,
26,2007,2007-10-28,7,25.259,PHI,@,MIN,W 23-16,,,,,,,,,
27,2007,2007-11-04,8,25.266,PHI,,DAL,L 17-38,,,,,,,,,
28,2007,2007-11-11,9,25.273,PHI,@,WAS,W 33-25,,6,94,15.67,0,0,0,,0
29,2007,2007-11-18,10,25.280,PHI,,MIA,W 17-7,,2,52,26.00,0,0,0,,0
30,2007,2007-11-25,11,25.287,PHI,@,NWE,L 28-31,*,2,50,25.00,0,0,0,,0
31,2007,2007-12-02,12,25.294,PHI,,SEA,L 24-28,*,1,31,31.00,0,0,0,,0
32,2007,2007-12-09,13,25.301,PHI,,NYG,L 13-16,,3,65,21.67,0,0,0,,0
33,2007,2007-12-16,14,25.308,PHI,@,DAL,W 10-6,,3,79,26.33,0,0,0,,0
34,2007,2007-12-23,15,25.315,PHI,@,NOR,W 38-23,,4,105,26.25,0,0,0,,0
35,2007,2007-12-30,16,25.322,PHI,,BUF,W 17-9,*,3,61,20.33,0,0,0,,0
36,2008,2008-09-07,1,26.209,PHI,,STL,W 38-3,,,,,,,,,
37,2008,2008-09-15,2,26.217,PHI,@,DAL,L 37-41,,0,0,,0,0,0,,0
38,2008,2008-09-21,3,26.223,PHI,,PIT,W 15-6,,0,0,,0,0,0,,0
39,2008,2008-09-28,4,26.230,PHI,@,CHI,L 20-24,,0,0,,0,0,0,,0
40,2008,2008-10-05,5,26.237,PHI,,WAS,L 17-23,,,,,,,,,
