ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2014,2014-09-14,2,22.257,CIN,,ATL,W 24-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
2,2014,2014-09-21,3,22.264,CIN,,TEN,W 33-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
3,2014,2014-10-05,4,22.278,CIN,@,NWE,L 17-43,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
4,2014,2014-10-12,5,22.285,CIN,,CAR,T 37-37,,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0.0,0,0
5,2014,2014-10-19,6,22.292,CIN,@,IND,L 0-27,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
6,2014,2014-10-26,7,22.299,CIN,,BAL,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
7,2014,2014-11-02,8,22.306,CIN,,JAX,W 33-23,,0,0,0,,0,0.0%,,1,11,11.00,0,0.0,1,0
8,2014,2014-11-06,9,22.310,CIN,,CLE,L 3-24,,2,0,0,,0,0.0%,0.00,1,13,13.00,0,0.0,2,0
9,2014,2014-11-16,10,22.320,CIN,@,NOR,W 27-10,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0.0,0,0
10,2014,2014-11-23,11,22.327,CIN,@,HOU,W 22-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
11,2014,2014-11-30,12,22.334,CIN,@,TAM,W 14-13,,5,3,59,19.67,0,60.0%,11.80,1,6,6.00,0,0.0,0,0
12,2016,2016-09-11,1,24.255,CIN,@,NYJ,W 23-22,,1,1,7,7.00,0,100.0%,7.00,2,-6,-3.00,0,0.0,0,0
13,2016,2016-09-18,2,24.262,CIN,@,PIT,L 16-24,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0.0,0,0
14,2016,2016-09-25,3,24.269,CIN,,DEN,L 17-29,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0.0,0,0
15,2016,2016-09-29,4,24.273,CIN,,MIA,W 22-7,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
16,2016,2016-10-16,6,24.290,CIN,@,NWE,L 17-35,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0.0,0,0
17,2016,2016-10-23,7,24.297,CIN,,CLE,W 31-17,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
18,2016,2016-10-30,8,24.304,CIN,,WAS,T 27-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
19,2016,2016-11-20,10,24.325,CIN,,BUF,L 12-16,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0.0,0,0
20,2016,2016-11-27,11,24.332,CIN,@,BAL,L 14-19,*,6,3,23,7.67,0,50.0%,3.83,0,0,,0,0.0,0,0
21,2016,2016-12-04,12,24.339,CIN,,PHI,W 32-14,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0.0,0,0
22,2016,2016-12-18,14,24.353,CIN,,PIT,L 20-24,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
23,2016,2016-12-24,15,24.359,CIN,@,HOU,L 10-12,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0.0,0,0
24,2016,2017-01-01,16,25.001,CIN,,BAL,W 27-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
