ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1989,1989-09-10,1,23.249,BUF,@,MIA,W 27-24,,,,,,,
2,1989,1989-09-18,2,23.257,BUF,,DEN,L 14-28,,,,,,,
3,1989,1989-09-24,3,23.263,BUF,@,HOU,W 47-41,,,,,,,
4,1989,1989-10-01,4,23.270,BUF,,NWE,W 31-10,,,,,,,
5,1989,1989-10-08,5,23.277,BUF,@,IND,L 14-37,,,,,,,
6,1989,1989-10-16,6,23.285,BUF,,RAM,W 23-20,,,,,,,
7,1989,1989-10-22,7,23.291,BUF,,NYJ,W 34-3,,,,,,,
8,1989,1989-10-29,8,23.298,BUF,,MIA,W 31-17,,,,,,,
9,1989,1989-11-05,9,23.305,BUF,@,ATL,L 28-30,,,,,,,
10,1989,1989-11-12,10,23.312,BUF,,IND,W 30-7,,,,,,,
11,1989,1989-11-19,11,23.319,BUF,@,NWE,L 24-33,,,,,,,
12,1989,1989-11-26,12,23.326,BUF,,CIN,W 24-7,,,,,,,
13,1989,1989-12-04,13,23.334,BUF,@,SEA,L 16-17,,,,,,,
14,1989,1989-12-10,14,23.340,BUF,,NOR,L 19-22,,,,,,,
15,1989,1989-12-17,15,23.347,BUF,@,SFO,L 10-21,,,,,,,
16,1989,1989-12-23,16,23.353,BUF,@,NYJ,W 37-0,,,,,,,
17,1990,1990-09-09,1,24.248,BUF,,IND,W 26-10,0,0,,0,,,
18,1990,1990-09-16,2,24.255,BUF,@,MIA,L 7-30,2,26,13.00,0,0,0,0
19,1990,1990-09-24,3,24.263,BUF,@,NYJ,W 30-7,1,5,5.00,0,0,0,0
20,1990,1990-09-30,4,24.269,BUF,,DEN,W 29-28,1,3,3.00,0,0,0,0
21,1990,1990-10-07,5,24.276,BUF,,RAI,W 38-24,0,0,,0,,,
22,1990,1990-10-21,6,24.290,BUF,,NYJ,W 30-27,2,8,4.00,0,0,0,0
23,1990,1990-10-28,7,24.297,BUF,@,NWE,W 27-10,2,9,4.50,0,0,0,0
24,1990,1990-11-04,8,24.304,BUF,@,CLE,W 42-0,2,25,12.50,0,0,0,0
25,1991,1991-10-13,7,25.282,BUF,,IND,W 42-6,,,,,,,
26,1991,1991-10-21,8,25.290,BUF,,CIN,W 35-16,0,0,,0,1,0,0
27,1991,1991-11-03,9,25.303,BUF,,NWE,W 22-17,,,,,,,
28,1991,1991-11-10,10,25.310,BUF,@,GNB,W 34-24,,,,,,,
29,1991,1991-11-18,11,25.318,BUF,@,MIA,W 41-27,,,,,,,
30,1992,1992-09-06,1,26.246,BUF,,RAM,W 40-7,5,80,16.00,0,0,0,0
31,1992,1992-09-13,2,26.253,BUF,@,SFO,W 34-31,0,0,,0,,,
32,1992,1992-09-20,3,26.260,BUF,,IND,W 38-0,7,83,11.86,0,0,0,0
33,1992,1992-09-27,4,26.267,BUF,@,NWE,W 41-7,2,12,6.00,0,0,0,0
34,1992,1992-10-04,5,26.274,BUF,,MIA,L 10-37,0,0,,0,,,
35,1992,1992-10-11,6,26.281,BUF,@,RAI,L 3-20,0,0,,0,,,
36,1992,1992-10-26,7,26.296,BUF,@,NYJ,W 24-20,0,0,,0,,,
37,1992,1992-11-01,8,26.302,BUF,,NWE,W 16-7,0,0,,0,,,
38,1992,1992-11-08,9,26.309,BUF,,PIT,W 28-20,0,0,,0,,,
39,1992,1992-11-16,10,26.317,BUF,@,MIA,W 26-20,0,0,,0,,,
40,1992,1992-11-22,11,26.323,BUF,,ATL,W 41-14,0,0,,0,,,
41,1992,1992-11-29,12,26.330,BUF,@,IND,L 13-16,0,0,,0,,,
42,1992,1992-12-06,13,26.337,BUF,,NYJ,L 17-24,0,0,,0,,,
43,1992,1992-12-12,14,26.343,BUF,,DEN,W 27-17,0,0,,0,,,
