ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1972,1972-09-17,1,22.120,DEN,,HOU,W 30-17,,,,,,,,
2,1972,1972-09-24,2,22.127,DEN,@,SDG,L 14-37,,,,,,,,
3,1972,1972-10-01,3,22.134,DEN,,KAN,L 24-45,,,,,,,,
4,1972,1972-10-08,4,22.141,DEN,@,CIN,L 10-21,,,,,,,,
5,1972,1972-10-15,5,22.148,DEN,,MIN,L 20-23,0,0,,0,1,5,5.00,0
6,1972,1972-10-22,6,22.155,DEN,@,OAK,W 30-23,1,-6,-6.00,0,0,0,,0
7,1972,1972-10-29,7,22.162,DEN,,CLE,L 20-27,,,,,,,,
8,1972,1972-11-05,8,22.169,DEN,@,NYG,L 17-29,,,,,,,,
9,1972,1972-11-12,9,22.176,DEN,@,RAM,W 16-10,,,,,,,,
10,1972,1972-11-19,10,22.183,DEN,,OAK,L 20-37,,,,,,,,
11,1972,1972-11-26,11,22.190,DEN,@,ATL,L 20-23,,,,,,,,
12,1972,1972-12-03,12,22.197,DEN,@,KAN,L 21-24,,,,,,,,
13,1972,1972-12-10,13,22.204,DEN,,SDG,W 38-13,,,,,,,,
14,1972,1972-12-17,14,22.211,DEN,,NWE,W 45-21,,,,,,,,
15,1973,1973-09-16,1,23.119,DEN,,CIN,W 28-10,,,,,,,,
16,1973,1973-09-23,2,23.126,DEN,,SFO,L 34-36,,,,,,,,
17,1973,1973-09-30,3,23.133,DEN,,CHI,L 14-33,,,,,,,,
18,1973,1973-10-07,4,23.140,DEN,@,KAN,L 14-16,,,,,,,,
19,1973,1973-10-14,5,23.147,DEN,@,HOU,W 48-20,,,,,,,,
20,1973,1973-10-22,6,23.155,DEN,,OAK,T 23-23,,,,,,,,
21,1973,1973-10-28,7,23.161,DEN,@,NYJ,W 40-28,,,,,,,,
22,1973,1973-11-04,8,23.168,DEN,@,STL,T 17-17,,,,,,,,
23,1973,1973-11-11,9,23.175,DEN,,SDG,W 30-19,1,3,3.00,0,0,0,,0
24,1973,1973-11-18,10,23.182,DEN,@,PIT,W 23-13,,,,,,,,
25,1973,1973-11-25,11,23.189,DEN,,KAN,W 14-10,,,,,,,,
26,1973,1973-12-02,12,23.196,DEN,,DAL,L 10-22,,,,,,,,
27,1973,1973-12-09,13,23.203,DEN,@,SDG,W 42-28,,,,,,,,
28,1973,1973-12-16,14,23.210,DEN,@,OAK,L 17-21,,,,,,,,
29,1974,1974-09-15,1,24.118,DEN,,RAM,L 10-17,,,,,,,,
30,1974,1974-09-22,2,24.125,DEN,,PIT,T 35-35,,,,,,,,
31,1974,1974-09-30,3,24.133,DEN,@,WAS,L 3-30,,,,,,,,
32,1974,1974-10-06,4,24.139,DEN,@,KAN,W 17-14,,,,,,,,
33,1974,1974-10-13,5,24.146,DEN,,NOR,W 33-17,,,,,,,,
34,1974,1974-10-20,6,24.153,DEN,,SDG,W 27-7,,,,,,,,
35,1974,1974-10-27,7,24.160,DEN,@,CLE,L 21-23,,,,,,,,
36,1974,1974-11-03,8,24.167,DEN,,OAK,L 17-28,,,,,,,,
37,1974,1974-11-10,9,24.174,DEN,@,BAL,W 17-6,,,,,,,,
38,1974,1974-11-18,10,24.182,DEN,,KAN,L 34-42,,,,,,,,
39,1974,1974-11-24,11,24.188,DEN,@,OAK,W 20-17,,,,,,,,
40,1974,1974-11-28,12,24.192,DEN,@,DET,W 31-27,,,,,,,,
41,1974,1974-12-08,13,24.202,DEN,,HOU,W 37-14,,,,,,,,
42,1974,1974-12-15,14,24.209,DEN,@,SDG,L 0-17,,,,,,,,
