ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,22.155,SFO,@,NOR,W 34-33,,,,,,,,,,,
2,1988,1988-09-11,2,22.162,SFO,@,NYG,W 20-17,,,,,,,,,,,
3,1988,1988-09-18,3,22.169,SFO,,ATL,L 17-34,,,,,,,,,,,
4,1988,1988-09-25,4,22.176,SFO,@,SEA,W 38-7,,,,,,,,,,,
5,1988,1988-10-02,5,22.183,SFO,,DET,W 20-13,,,,,,,,,,,
6,1988,1988-10-09,6,22.190,SFO,,DEN,L 13-16,,,,,,,,,,,
7,1988,1988-10-16,7,22.197,SFO,@,RAM,W 24-21,,,,,,,,,,,
8,1988,1988-10-24,8,22.205,SFO,@,CHI,L 9-10,,,,,,,,,,,
9,1988,1988-10-30,9,22.211,SFO,,MIN,W 24-21,,,,,,,,,,,
10,1988,1988-11-06,10,22.218,SFO,@,PHO,L 23-24,,,,,,,,,,,
11,1988,1988-11-13,11,22.225,SFO,,RAI,L 3-9,,,,,,,,,,,
12,1988,1988-11-21,12,22.233,SFO,,WAS,W 37-21,,,,,,,,,,,
13,1988,1988-11-27,13,22.239,SFO,@,SDG,W 48-10,,,,,,,,,,,
14,1988,1988-12-04,14,22.246,SFO,@,ATL,W 13-3,,,,,,,,,,,
15,1988,1988-12-11,15,22.253,SFO,,NOR,W 30-17,,,,,,,,,,,
16,1988,1988-12-18,16,22.260,SFO,,RAM,L 16-38,,,,,,,,,,,
17,1989,1989-09-10,1,23.161,SFO,@,IND,W 30-24,,0,0,,0,,,,,,
18,1989,1989-09-17,2,23.168,SFO,@,TAM,W 20-16,,0,0,,0,,,,,,
19,1989,1989-09-24,3,23.175,SFO,@,PHI,W 38-28,,1,0,0.00,0,0,0,0.0,0,0,0
20,1989,1989-10-01,4,23.182,SFO,,RAM,L 12-13,,0,0,,0,,,,,,
21,1989,1989-10-08,5,23.189,SFO,@,NOR,W 24-20,,0,0,,0,,,,,,
22,1989,1989-10-15,6,23.196,SFO,@,DAL,W 31-14,,0,0,,0,,,,,,
23,1989,1989-10-22,7,23.203,SFO,,NWE,W 37-20,,0,0,,0,,,,,,
