ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2010,2010-10-03,4,22.186,HOU,@,OAK,W 31-24,,,,,,,0.0%,,,,,,,,,
2,2010,2010-10-10,5,22.193,HOU,,NYG,L 10-34,,,,,,,0.0%,,,,,,,,,
3,2010,2010-11-14,9,22.228,HOU,@,JAX,L 24-31,,,,,,,0.0%,,,,,,,,,
4,2010,2010-11-28,11,22.242,HOU,,TEN,W 20-0,,,,,,,0.0%,,,,,,,,,
5,2010,2010-12-19,14,22.263,HOU,@,TEN,L 17-31,,,,,,,0.0%,,,,,,,,,
6,2010,2010-12-26,15,22.270,HOU,@,DEN,L 23-24,,,,,,,0.0%,,,,,,,,,
7,2010,2011-01-02,16,22.277,HOU,,JAX,W 34-17,,,,,,,0.0%,,,,,,,,,
8,2012,2012-09-09,1,24.162,BUF,@,NYJ,L 28-48,,,,,,,0.0%,,,,,,,,,
9,2012,2012-09-16,2,24.169,BUF,,KAN,W 35-17,,0,0,0,,0,0.0%,,1,-8,-8.00,0,0,0,,0
10,2012,2012-09-23,3,24.176,BUF,@,CLE,W 24-14,,,,,,,0.0%,,,,,,,,,
11,2012,2012-09-30,4,24.183,BUF,,NWE,L 28-52,,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0,,0
12,2012,2012-10-21,7,24.204,BUF,,TEN,L 34-35,,,,,,,0.0%,,,,,,,,,
13,2012,2012-11-04,8,24.218,BUF,@,HOU,L 9-21,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0
14,2012,2012-11-11,9,24.225,BUF,@,NWE,L 31-37,,,,,,,0.0%,,,,,,,,,
15,2012,2012-11-15,10,24.229,BUF,,MIA,W 19-14,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0
16,2012,2012-11-25,11,24.239,BUF,@,IND,L 13-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
17,2012,2012-12-09,13,24.253,BUF,,STL,L 12-15,,,,,,,0.0%,,,,,,,,,
18,2012,2012-12-16,14,24.260,BUF,,SEA,L 17-50,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0
19,2012,2012-12-23,15,24.267,BUF,@,MIA,L 10-24,,8,4,54,13.50,0,50.0%,6.75,0,0,,0,0,0,,0
20,2013,2013-11-24,11,25.238,DET,,TAM,L 21-24,,,,,,,0.0%,,,,,,,,,
21,2013,2013-11-28,12,25.242,DET,,GNB,W 40-10,,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0
22,2013,2013-12-08,13,25.252,DET,@,PHI,L 20-34,,1,0,0,,0,0.0%,0.00,0,0,,0,1,18,18.00,0
23,2013,2013-12-16,14,25.260,DET,,BAL,L 16-18,,,,,,,0.0%,,,,,,,,,
24,2013,2013-12-22,15,25.266,DET,,NYG,L 20-23,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0
