ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1966,1966-11-20,10,22.135,SFO,,PHI,L 34-35,0,0,,0,0,0,2,44,0
2,1966,1966-12-11,13,22.156,SFO,,CHI,W 41-14,0,0,,0,1,6,1,94,1
3,1968,1968-10-20,6,24.104,SFO,@,NYG,W 26-10,0,0,,0,0,0,1,20,0
4,1968,1968-11-03,8,24.118,SFO,,CLE,L 21-33,0,0,,0,0,0,1,40,0
5,1968,1968-11-24,11,24.139,SFO,@,PIT,W 45-28,0,0,,0,0,0,2,0,0
6,1969,1969-10-26,6,25.110,SFO,@,BAL,W 24-21,0,0,,0,0,0,1,5,0
7,1969,1969-11-27,11,25.142,SFO,@,DAL,T 24-24,0,0,,0,0,0,1,5,0
8,1970,1970-09-20,1,26.074,SFO,,WAS,W 26-17,,,,,,,,,
9,1970,1970-09-27,2,26.081,SFO,,CLE,W 34-31,,,,,,,,,
10,1970,1970-10-04,3,26.088,SFO,@,ATL,L 20-21,,,,,,,,,
11,1970,1970-10-11,4,26.095,SFO,@,RAM,W 20-6,,,,,,,,,
12,1970,1970-10-18,5,26.102,SFO,,NOR,T 20-20,,,,,,,,,
13,1970,1970-10-25,6,26.109,SFO,,DEN,W 19-14,,,,,,,,,
14,1970,1970-11-01,7,26.116,SFO,,GNB,W 26-10,0,0,,0,0,0,1,0,0
15,1970,1970-11-08,8,26.123,SFO,@,CHI,W 37-16,,,,,,,,,
16,1970,1970-11-15,9,26.130,SFO,@,HOU,W 30-20,,,,,,,,,
17,1970,1970-11-22,10,26.137,SFO,@,DET,L 7-28,,,,,,,,,
18,1970,1970-11-29,11,26.144,SFO,,RAM,L 13-30,,,,,,,,,
19,1970,1970-12-06,12,26.151,SFO,,ATL,W 24-20,,,,,,,,,
20,1970,1970-12-13,13,26.158,SFO,@,NOR,W 38-27,,,,,,,,,
21,1970,1970-12-20,14,26.165,SFO,@,OAK,W 38-7,,,,,,,,,
22,1971,1971-09-19,1,27.073,GNB,,NYG,L 40-42,1,0,0.00,0,0,0,0,0,0
23,1971,1971-09-26,2,27.080,GNB,,DEN,W 34-13,,,,,,,,,
24,1971,1971-10-03,3,27.087,GNB,,CIN,W 20-17,,,,,,,,,
25,1971,1971-10-10,4,27.094,GNB,@,DET,L 28-31,,,,,,,,,
26,1971,1971-10-17,5,27.101,GNB,,MIN,L 13-24,,,,,,,,,
27,1971,1971-10-24,6,27.108,GNB,@,RAM,L 13-30,,,,,,,,,
28,1971,1971-11-01,7,27.116,GNB,,DET,T 14-14,,,,,,,,,
29,1971,1971-11-07,8,27.122,GNB,@,CHI,W 17-14,0,0,,0,0,0,1,34,0
30,1971,1971-11-14,9,27.129,GNB,@,MIN,L 0-3,,,,,,,,,
31,1971,1971-11-22,10,27.137,GNB,@,ATL,L 21-28,,,,,,,,,
32,1971,1971-11-28,11,27.143,GNB,,NOR,L 21-29,,,,,,,,,
33,1971,1971-12-05,12,27.150,GNB,@,STL,T 16-16,,,,,,,,,
34,1971,1971-12-12,13,27.157,GNB,,CHI,W 31-10,,,,,,,,,
35,1971,1971-12-19,14,27.164,GNB,@,MIA,L 6-27,,,,,,,,,
36,1972,1972-09-17,1,28.071,CIN,@,NWE,W 31-7,,,,,,,,,
37,1972,1972-09-24,2,28.078,CIN,,PIT,W 15-10,,,,,,,,,
38,1972,1972-11-12,9,28.127,DET,@,MIN,L 14-16,,,,,,,,,
