ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1991,1991-09-01,1,24.242,PHO,@,RAM,W 24-14,,0,0,,0,,,0,0,,0,0,0,,0,,
2,1991,1991-09-08,2,24.249,PHO,@,PHI,W 26-10,,1,30,30.00,0,,,0,0,,0,0,0,,0,0,0
3,1991,1991-09-15,3,24.256,PHO,@,WAS,L 0-34,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0
4,1991,1991-09-22,4,24.263,PHO,,DAL,L 9-17,,1,5,5.00,0,,,2,41,20.50,0,0,0,,0,0,0
5,1991,1991-09-29,5,24.270,PHO,,NWE,W 24-10,,0,0,,0,,,0,0,,0,0,0,,0,,
6,1991,1991-10-06,6,24.277,PHO,@,NYG,L 9-20,,0,0,,0,,,0,0,,0,0,0,,0,,
7,1991,1991-10-13,7,24.284,PHO,@,MIN,L 7-34,,3,46,15.33,0,,,0,0,,0,2,20,10.00,0,0,0
8,1991,1991-10-20,8,24.291,PHO,,ATL,W 16-10,,0,0,,0,,,0,0,,0,4,41,10.25,0,0,0
9,1991,1991-10-27,9,24.298,PHO,,MIN,L 0-28,,0,0,,0,,,0,0,,0,3,20,6.67,0,0,0
10,1991,1991-11-03,10,24.305,PHO,@,DAL,L 7-27,,0,0,,0,,,0,0,,0,3,37,12.33,0,0,0
11,1991,1991-11-10,11,24.312,PHO,,NYG,L 14-21,,0,0,,0,,,0,0,,0,4,47,11.75,0,0,0
12,1991,1991-11-17,12,24.319,PHO,@,SFO,L 10-14,,0,0,,0,,,0,0,,0,4,23,5.75,0,0,0
13,1991,1991-11-24,13,24.326,PHO,,PHI,L 14-34,,2,12,6.00,0,,,0,0,,0,2,16,8.00,0,0,0
14,1991,1991-12-08,14,24.340,PHO,,WAS,L 14-20,,0,0,,0,,,0,0,,0,4,25,6.25,0,0,0
15,1991,1991-12-15,15,24.347,PHO,@,DEN,L 19-24,,0,0,,0,,,0,0,,0,1,0,0.00,0,0,0
16,1991,1991-12-22,16,24.354,PHO,,NOR,L 3-27,,0,0,,0,,,0,0,,0,4,15,3.75,0,0,0
17,1992,1992-10-25,7,25.297,PHO,@,PHI,L 3-7,,0,0,,0,0.0%,,0,0,,0,,,,,,
18,1992,1992-11-01,8,25.304,PHO,,SFO,W 24-14,,0,0,,0,0.0%,,0,0,,0,,,,,,
19,1992,1992-11-08,9,25.311,PHO,@,RAM,W 20-14,,0,0,,0,0.0%,,0,0,,0,,,,,,
20,1992,1992-11-15,10,25.318,PHO,@,ATL,L 17-20,1,1,5,5.00,1,100.0%,5.00,0,0,,0,0,0,,0,1,6
21,1992,1992-11-22,11,25.325,PHO,,DAL,L 10-16,,0,0,,0,0.0%,,0,0,,0,,,,,,
22,1992,1992-11-29,12,25.332,PHO,@,WAS,L 3-41,,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0,0,0
