ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2013,2013-09-09,1,22.324,WAS,,PHI,L 27-33,,0,0,,0,0,0,0,,0,0.0%,,3,56,18.67,0,1,5,5.00,0,0,0
2,2013,2013-09-15,2,22.330,WAS,@,GNB,L 20-38,,0,0,,0,0,0,0,,0,0.0%,,3,59,19.67,0,2,9,4.50,0,0,0
3,2013,2013-09-22,3,22.337,WAS,,DET,L 20-27,,0,0,,0,0,0,0,,0,0.0%,,2,45,22.50,0,2,11,5.50,0,0,0
4,2013,2013-09-29,4,22.344,WAS,@,OAK,W 24-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,11,5.50,0,0,0
5,2014,2014-12-14,14,24.055,WAS,@,NYG,L 13-24,,3,12,4.00,0,4,3,22,7.33,1,75.0%,5.50,0,0,,0,0,0,,0,1,6
6,2014,2014-12-20,15,24.061,WAS,,PHI,W 27-24,,0,0,,0,3,3,5,1.67,0,100.0%,1.67,0,0,,0,0,0,,0,0,0
7,2015,2015-09-13,1,24.328,WAS,,MIA,L 10-17,,3,11,3.67,0,1,0,0,,0,0.0%,0.00,1,36,36.00,0,0,0,,0,0,0
8,2015,2015-09-20,2,24.335,WAS,,STL,W 24-10,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
9,2015,2015-09-24,3,24.339,WAS,@,NYG,L 21-32,,2,29,14.50,0,11,8,57,7.13,1,72.7%,5.18,0,0,,0,0,0,,0,1,6
10,2015,2015-10-04,4,24.349,WAS,,PHI,W 23-20,,6,53,8.83,0,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0
11,2015,2015-10-11,5,24.356,WAS,@,ATL,L 19-25,,3,15,5.00,0,7,6,33,5.50,0,85.7%,4.71,0,0,,0,0,0,,0,0,0
12,2015,2015-10-18,6,24.363,WAS,@,NYJ,L 20-34,,5,12,2.40,0,10,6,26,4.33,0,60.0%,2.60,0,0,,0,0,0,,0,0,0
13,2015,2015-11-08,8,25.019,WAS,@,NWE,L 10-27,,0,0,,0,4,2,21,10.50,0,50.0%,5.25,1,18,18.00,0,0,0,,0,0,0
14,2015,2015-11-15,9,25.026,WAS,,NOR,W 47-14,,2,54,27.00,0,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,0
15,2015,2015-11-22,10,25.033,WAS,@,CAR,L 16-44,,4,10,2.50,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,,0,0,0
16,2015,2015-11-29,11,25.040,WAS,,NYG,W 20-14,,2,7,3.50,0,1,1,9,9.00,0,100.0%,9.00,1,9,9.00,0,0,0,,0,0,0
17,2015,2015-12-07,12,25.048,WAS,,DAL,L 16-19,,1,6,6.00,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,0
18,2015,2015-12-26,15,25.067,WAS,@,PHI,W 38-24,,0,0,,0,1,1,12,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,1,6
19,2015,2016-01-03,16,25.075,WAS,@,DAL,W 34-23,,7,19,2.71,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
20,2016,2016-09-12,1,25.328,WAS,,PIT,L 16-38,,4,23,5.75,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,1,6
21,2016,2016-09-18,2,25.334,WAS,,DAL,L 23-27,,2,1,0.50,0,4,3,57,19.00,0,75.0%,14.25,1,28,28.00,0,0,0,,0,0,0
22,2016,2016-09-25,3,25.341,WAS,@,NYG,W 29-27,,6,23,3.83,0,2,1,-7,-7.00,0,50.0%,-3.50,1,25,25.00,0,0,0,,0,0,0
23,2016,2016-10-02,4,25.348,WAS,,CLE,W 31-20,,3,24,8.00,0,4,2,16,8.00,1,50.0%,4.00,1,26,26.00,0,0,0,,0,1,6
24,2016,2016-10-09,5,25.355,WAS,@,BAL,W 16-10,,2,12,6.00,0,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,,0,0,0
25,2016,2016-10-16,6,25.362,WAS,,PHI,W 27-20,,9,37,4.11,0,3,3,29,9.67,0,100.0%,9.67,2,34,17.00,0,0,0,,0,0,0
26,2016,2016-10-23,7,26.003,WAS,@,DET,L 17-20,,12,73,6.08,0,7,7,40,5.71,0,100.0%,5.71,0,0,,0,0,0,,0,0,0
27,2016,2016-10-30,8,26.010,WAS,@,CIN,T 27-27,,7,14,2.00,0,5,5,27,5.40,0,100.0%,5.40,3,53,17.67,0,0,0,,0,0,0
28,2016,2016-11-13,9,26.024,WAS,,MIN,W 26-20,,4,25,6.25,0,3,3,11,3.67,0,100.0%,3.67,1,27,27.00,0,0,0,,0,0,0
29,2016,2016-11-20,10,26.031,WAS,,GNB,W 42-24,,2,10,5.00,0,3,1,9,9.00,0,33.3%,3.00,2,40,20.00,0,0,0,,0,0,0
30,2016,2016-11-24,11,26.035,WAS,@,DAL,L 26-31,,4,17,4.25,0,6,5,17,3.40,0,83.3%,2.83,0,0,,0,0,0,,0,0,0
31,2016,2016-12-04,12,26.045,WAS,@,ARI,L 23-31,,2,24,12.00,0,2,1,21,21.00,0,50.0%,10.50,1,26,26.00,0,0,0,,0,0,0
32,2016,2016-12-11,13,26.052,WAS,@,PHI,W 27-22,,3,38,12.67,1,1,0,0,,0,0.0%,0.00,4,85,21.25,0,0,0,,0,1,6
33,2016,2016-12-19,14,26.060,WAS,,CAR,L 15-26,,2,10,5.00,0,7,5,26,5.20,0,71.4%,3.71,1,16,16.00,0,0,0,,0,0,0
34,2016,2016-12-24,15,26.065,WAS,@,CHI,W 41-21,,3,20,6.67,1,1,1,17,17.00,1,100.0%,17.00,0,0,,0,0,0,,0,2,12
35,2016,2017-01-01,16,26.073,WAS,,NYG,L 10-19,,3,5,1.67,0,8,6,37,6.17,0,75.0%,4.63,0,0,,0,0,0,,0,0,0
36,2017,2017-09-10,1,26.325,WAS,,PHI,L 17-30,,3,4,1.33,0,5,4,52,13.00,1,80.0%,10.40,1,18,18.00,0,0,0,,0,1,6
37,2017,2017-09-17,2,26.332,WAS,@,LAR,W 27-20,,3,77,25.67,2,7,3,29,9.67,0,42.9%,4.14,1,16,16.00,0,0,0,,0,2,12
38,2017,2017-09-24,3,26.339,WAS,,OAK,W 27-10,,8,38,4.75,0,7,6,150,25.00,1,85.7%,21.43,0,0,,0,0,0,,0,1,6
39,2017,2017-10-02,4,26.347,WAS,@,KAN,L 20-29,,6,23,3.83,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0
