ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1992,1992-09-06,1,21.339,TAM,,PHO,W 23-7,1,0,0,,0,0.0%,0.00,,,,,,,,,,
2,1992,1992-09-13,2,21.346,TAM,,GNB,W 31-3,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0
3,1992,1992-09-20,3,21.353,TAM,@,MIN,L 20-26,1,0,0,,0,0.0%,0.00,,,,,,,,,,
4,1992,1992-09-27,4,21.360,TAM,@,DET,W 27-23,,0,0,,0,0.0%,,,,,,,,,,,
5,1992,1992-10-04,5,22.001,TAM,,IND,L 14-24,2,0,0,,0,0.0%,0.00,,,,,,,,,,
6,1992,1992-10-18,6,22.015,TAM,@,CHI,L 14-31,1,0,0,,0,0.0%,0.00,,,,,,,,,,
7,1992,1992-11-01,8,22.029,TAM,@,NOR,L 21-23,,0,0,,0,0.0%,,,,,,,,,,,
8,1992,1992-11-08,9,22.036,TAM,,MIN,L 7-35,,0,0,,0,0.0%,,,,,,,,,,,
9,1992,1992-11-15,10,22.043,TAM,,CHI,W 20-17,,0,0,,0,0.0%,,,,,,,,,,,
10,1992,1992-11-22,11,22.050,TAM,@,SDG,L 14-29,,0,0,,0,0.0%,,,,,,,,,,,
11,1992,1992-11-29,12,22.057,TAM,@,GNB,L 14-19,,0,0,,0,0.0%,,,,,,,,,,,
12,1992,1992-12-06,13,22.064,TAM,,RAM,L 27-31,1,1,81,81.00,1,100.0%,81.00,0,0,,0,0,0,,0,1,6
13,1992,1992-12-13,14,22.071,TAM,,ATL,L 7-35,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,0,0
14,1992,1992-12-19,15,22.077,TAM,@,SFO,L 14-21,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
15,1992,1992-12-27,16,22.085,TAM,@,PHO,W 7-3,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0
16,1993,1993-09-05,1,22.337,TAM,,KAN,L 3-27,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0
17,1993,1993-09-12,2,22.344,TAM,@,NYG,L 7-23,3,1,17,17.00,1,33.3%,5.67,0,0,,0,0,0,,0,1,6
18,1993,1993-09-26,3,22.358,TAM,@,CHI,L 17-47,,0,0,,0,0.0%,,0,0,,0,,,,,0,
19,1993,1993-10-03,4,23.000,TAM,,DET,W 27-10,,0,0,,0,0.0%,,0,0,,0,,,,,0,
20,1993,1993-10-10,5,23.007,TAM,@,MIN,L 0-15,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0
21,1993,1993-10-24,6,23.021,TAM,,GNB,L 14-37,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0
22,1993,1993-10-31,7,23.028,TAM,@,ATL,W 31-24,3,1,20,20.00,0,33.3%,6.67,2,5,2.50,0,0,0,,0,0,0
23,1993,1993-11-07,8,23.035,TAM,@,DET,L 0-23,,0,0,,0,0.0%,,0,0,,0,,,,,0,
24,1993,1993-11-14,9,23.042,TAM,,SFO,L 21-45,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
25,1993,1993-11-21,10,23.049,TAM,,MIN,W 23-10,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,0
26,1993,1993-11-28,11,23.056,TAM,@,GNB,L 10-13,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
27,1993,1993-12-05,12,23.063,TAM,,WAS,L 17-23,,0,0,,0,0.0%,,0,0,,0,,,,,0,
28,1994,1994-09-04,1,23.336,TAM,@,CHI,L 9-21,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,
29,1994,1994-09-11,2,23.343,TAM,,IND,W 24-10,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,0,0,0
30,1994,1994-09-18,3,23.350,TAM,,NOR,L 7-9,3,2,37,18.50,0,66.7%,12.33,0,0,,0,0,0,,0,0,0
31,1994,1994-09-25,4,23.357,TAM,@,GNB,L 3-30,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
32,1994,1994-10-02,5,23.364,TAM,,DET,W 24-14,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
33,1994,1994-10-09,6,24.006,TAM,@,ATL,L 13-34,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0
34,1994,1994-10-23,7,24.020,TAM,@,SFO,L 16-41,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
35,1994,1994-10-30,8,24.027,TAM,,MIN,L 13-36,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0
36,1994,1994-11-06,9,24.034,TAM,,CHI,L 6-20,0,0,0,,0,0.0%,,0,0,,0,1,6,6.00,0,0,0
37,1994,1994-11-13,10,24.041,TAM,@,DET,L 9-14,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0
38,1994,1994-11-20,11,24.048,TAM,@,SEA,L 21-22,2,1,26,26.00,0,50.0%,13.00,1,-1,-1.00,0,0,0,,0,0,0
39,1994,1994-11-27,12,24.055,TAM,@,MIN,W 20-17,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0
40,1994,1994-12-04,13,24.062,TAM,,WAS,W 26-21,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0
41,1994,1994-12-11,14,24.069,TAM,,RAM,W 24-14,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
42,1994,1994-12-18,15,24.076,TAM,@,WAS,W 17-14,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0
43,1994,1994-12-24,16,24.082,TAM,,GNB,L 19-34,6,4,39,9.75,1,66.7%,6.50,0,0,,0,0,0,,0,1,6
44,1995,1995-09-03,1,24.335,TAM,@,PHI,W 21-6,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,,
45,1995,1995-09-10,2,24.342,TAM,@,CLE,L 6-22,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,,
46,1995,1995-09-17,3,24.349,TAM,,CHI,L 6-25,,0,0,,0,0.0%,,,,,,0,0,,0,,
