ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1965,1965-10-10,4,22.028,DAL,,PHI,L 24-35,0,0,,0,1,13,13.00,0
2,1965,1965-12-05,12,22.084,DAL,@,PHI,W 21-19,0,0,,0,1,0,0.00,0
3,1966,1966-11-13,9,23.062,DAL,@,WAS,W 31-30,0,0,,0,1,5,5.00,0
4,1966,1966-12-11,13,23.090,DAL,,WAS,L 31-34,0,0,,0,1,13,13.00,0
5,1968,1968-10-06,4,25.024,DAL,@,STL,W 27-10,0,0,,0,1,9,9.00,0
6,1968,1968-10-13,5,25.031,DAL,,PHI,W 34-14,0,0,,0,1,0,0.00,0
7,1968,1968-11-17,10,25.066,DAL,@,WAS,W 44-24,0,0,,0,1,8,8.00,0
8,1970,1970-09-20,1,27.008,DAL,@,PHI,W 17-7,,,,,,,,
9,1970,1970-09-27,2,27.015,DAL,,NYG,W 28-10,,,,,,,,
10,1970,1970-10-04,3,27.022,DAL,@,STL,L 7-20,,,,,,,,
11,1970,1970-10-11,4,27.029,DAL,,ATL,W 13-0,,,,,,,,
12,1970,1970-10-18,5,27.036,DAL,@,MIN,L 13-54,,,,,,,,
13,1970,1970-10-25,6,27.043,DAL,@,KAN,W 27-16,,,,,,,,
14,1970,1970-11-01,7,27.050,DAL,,PHI,W 21-17,,,,,,,,
15,1970,1970-11-08,8,27.057,DAL,@,NYG,L 20-23,,,,,,,,
16,1970,1970-11-16,9,27.065,DAL,,STL,L 0-38,,,,,,,,
17,1970,1970-11-22,10,27.071,DAL,@,WAS,W 45-21,,,,,,,,
18,1970,1970-11-26,11,27.075,DAL,,GNB,W 16-3,,,,,,,,
19,1970,1970-12-06,12,27.085,DAL,,WAS,W 34-0,,,,,,,,
20,1970,1970-12-12,13,27.091,DAL,@,CLE,W 6-2,,,,,,,,
21,1970,1970-12-20,14,27.099,DAL,,HOU,W 52-10,,,,,,,,
22,1971,1971-09-19,1,28.007,DAL,@,BUF,W 49-37,,,,,,,,
23,1971,1971-09-26,2,28.014,DAL,@,PHI,W 42-7,,,,,,,,
24,1971,1971-10-03,3,28.021,DAL,,WAS,L 16-20,,,,,,,,
25,1971,1971-10-11,4,28.029,DAL,,NYG,W 20-13,,,,,,,,
26,1971,1971-10-17,5,28.035,DAL,@,NOR,L 14-24,,,,,,,,
27,1971,1971-10-24,6,28.042,DAL,,NWE,W 44-21,,,,,,,,
