ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1991,1991-09-22,4,22.300,PHO,,DAL,L 9-17,,,,,,,,
2,1991,1991-09-29,5,22.307,PHO,,NWE,W 24-10,,,,,,,,
3,1991,1991-10-06,6,22.314,PHO,@,NYG,L 9-20,,,,,,,,
4,1991,1991-10-13,7,22.321,PHO,@,MIN,L 7-34,,,,,,,,
5,1991,1991-10-20,8,22.328,PHO,,ATL,W 16-10,,,,,,,,
6,1991,1991-10-27,9,22.335,PHO,,MIN,L 0-28,,,,,,,,
7,1991,1991-11-03,10,22.342,PHO,@,DAL,L 7-27,,,,,,,,
8,1991,1991-11-10,11,22.349,PHO,,NYG,L 14-21,,,,,,,,
9,1991,1991-12-08,14,23.012,PHO,,WAS,L 14-20,,,,,,,,
10,1991,1991-12-15,15,23.019,PHO,@,DEN,L 19-24,,,,,,,,
11,1991,1991-12-22,16,23.026,PHO,,NOR,L 3-27,,,,,,,,
12,1992,1992-09-06,1,23.285,PHO,@,TAM,L 7-23,,,,,,,,
13,1992,1992-09-13,2,23.292,PHO,,PHI,L 14-31,,,,,,,,
14,1992,1992-09-20,3,23.299,PHO,@,DAL,L 20-31,,,,,,,,
15,1992,1992-10-04,4,23.313,PHO,,WAS,W 27-24,,,,,,,,
16,1993,1993-09-05,1,24.283,PHO,@,PHI,L 17-23,,0,0,,0,,,
17,1993,1993-09-12,2,24.290,PHO,@,WAS,W 17-10,,0,0,,0,,,
18,1993,1993-09-19,3,24.297,PHO,,DAL,L 10-17,,0,0,,0,,,
19,1993,1993-09-26,4,24.304,PHO,@,DET,L 20-26,,0,0,,0,,,
20,1993,1993-10-10,5,24.318,PHO,,NWE,L 21-23,,0,0,,0,,,
21,1993,1993-10-17,6,24.325,PHO,,WAS,W 36-6,,0,0,,0,,,
22,1993,1993-10-24,7,24.332,PHO,@,SFO,L 14-28,,0,0,,0,,,
23,1993,1993-10-31,8,24.339,PHO,,NOR,L 17-20,,0,0,,0,,,
24,1993,1993-11-07,9,24.346,PHO,,PHI,W 16-3,,0,0,,0,,,
