ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-09-20,3,23.283,BUF,,IND,W 38-0,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
2,1992,1992-09-27,4,23.290,BUF,@,NWE,W 41-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
3,1993,1993-10-24,6,24.316,BUF,@,NYJ,W 19-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
4,1993,1993-11-07,8,24.330,BUF,@,NWE,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
5,1993,1993-12-12,13,25.000,BUF,@,PHI,W 10-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
6,1994,1994-09-04,1,25.266,MIN,@,GNB,L 10-16,,,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
7,1994,1994-09-11,2,25.273,MIN,,DET,W 10-3,,,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
8,1994,1994-09-18,3,25.280,MIN,@,CHI,W 42-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6,6.00,0,0,0,,0,0,0
9,1994,1994-09-25,4,25.287,MIN,,MIA,W 38-35,,,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
10,1994,1994-10-02,5,25.294,MIN,@,ARI,L 7-17,,0,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
11,1994,1994-10-10,6,25.302,MIN,@,NYG,W 27-10,,,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
12,1994,1994-10-20,7,25.312,MIN,,GNB,W 13-10,,0,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
