ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1997,1997-08-31,1,23.129,NOR,@,STL,L 24-38,,0,0,,0,
2,1997,1997-09-07,2,23.136,NOR,,SDG,L 6-20,,0,0,,0,
3,1997,1997-09-14,3,23.143,NOR,@,SFO,L 7-33,,0,0,,0,
4,1997,1997-09-21,4,23.150,NOR,,DET,W 35-17,,0,0,,0,
5,1997,1997-09-28,5,23.157,NOR,@,NYG,L 9-14,,0,0,,0,
6,1997,1997-10-05,6,23.164,NOR,@,CHI,W 20-17,,0,0,,0,
7,1997,1997-10-12,7,23.171,NOR,,ATL,L 17-23,,0,0,,0,
8,1997,1997-10-19,8,23.178,NOR,,CAR,L 0-13,,1,0,0.00,0,0.0
9,1997,1997-10-26,9,23.185,NOR,,SFO,L 0-23,,0,0,,0,
10,1997,1997-11-09,10,23.199,NOR,@,OAK,W 13-10,,0,0,,0,
11,1997,1997-11-16,11,23.206,NOR,,SEA,W 20-17,,0,0,,0,
12,1997,1997-11-23,12,23.213,NOR,@,ATL,L 3-20,,0,0,,0,1.0
13,1997,1997-11-30,13,23.220,NOR,@,CAR,W 16-13,,0,0,,0,
14,1997,1997-12-07,14,23.227,NOR,,STL,L 27-34,,0,0,,0,
15,1997,1997-12-14,15,23.234,NOR,,ARI,W 27-10,,0,0,,0,
16,1997,1997-12-21,16,23.241,NOR,@,KAN,L 13-25,,0,0,,0,
17,1998,1998-09-06,1,24.135,NOR,@,STL,W 24-17,,,,,,
18,1998,1998-09-13,2,24.142,NOR,,CAR,W 19-14,,,,,,
19,1998,1998-09-27,3,24.156,NOR,@,IND,W 19-13,,,,,,
20,1998,1998-10-04,4,24.163,NOR,,NWE,L 27-30,,,,,,
21,1998,1998-10-11,5,24.170,NOR,,SFO,L 0-31,,1,0,0.00,0,1.0
22,1998,1998-10-18,6,24.177,NOR,@,ATL,L 23-31,,0,0,,0,1.0
23,1998,1998-10-25,7,24.184,NOR,,TAM,W 9-3,,,,,,
24,1998,1998-11-01,8,24.191,NOR,@,CAR,L 17-31,,0,0,,0,1.0
25,1998,1998-11-08,9,24.198,NOR,@,MIN,L 24-31,,,,,,
26,1998,1998-11-15,10,24.205,NOR,,STL,W 24-3,,0,0,,0,2.0
27,1998,1998-11-22,11,24.212,NOR,@,SFO,L 20-31,,0,0,,0,1.0
28,1998,1998-11-29,12,24.219,NOR,@,MIA,L 10-30,,,,,,
29,1998,1998-12-06,13,24.226,NOR,,DAL,W 22-3,,,,,,
30,1998,1998-12-13,14,24.233,NOR,,ATL,L 17-27,,,,,,
31,1998,1998-12-20,15,24.240,NOR,@,ARI,L 17-19,,,,,,
32,1998,1998-12-27,16,24.247,NOR,,BUF,L 33-45,,,,,,
33,1999,1999-09-19,2,25.148,NOR,@,SFO,L 21-28,,,,,,
34,1999,1999-10-03,3,25.162,NOR,@,CHI,L 10-14,,,,,,
35,1999,1999-10-10,4,25.169,NOR,,ATL,L 17-20,*,,,,,
36,1999,1999-10-17,5,25.176,NOR,,TEN,L 21-24,*,,,,,
37,1999,1999-10-24,6,25.183,NOR,@,NYG,L 3-31,*,,,,,
38,1999,1999-10-31,7,25.190,NOR,,CLE,L 16-21,*,0,0,,0,1.0
39,1999,1999-11-07,8,25.197,NOR,,TAM,L 16-31,*,0,0,,0,1.0
40,1999,1999-11-14,9,25.204,NOR,,SFO,W 24-6,*,0,0,,0,1.0
41,2000,2000-09-03,1,26.132,NOR,,DET,L 10-14,,,,,,
42,2000,2000-09-10,2,26.139,NOR,@,SDG,W 28-27,,,,,,
43,2000,2000-09-17,3,26.146,NOR,@,SEA,L 10-20,,,,,,
44,2000,2000-09-24,4,26.153,NOR,,PHI,L 7-21,,,,,,
45,2000,2000-10-08,5,26.167,NOR,@,CHI,W 31-10,,,,,,
46,2000,2000-10-15,6,26.174,NOR,,CAR,W 24-6,,,,,,
47,2000,2000-10-22,7,26.181,NOR,@,ATL,W 21-19,,,,,,
48,2000,2000-10-29,8,26.188,NOR,@,ARI,W 21-10,,,,,,
49,2000,2000-11-05,9,26.195,NOR,,SFO,W 31-15,,,,,,
50,2000,2000-11-12,10,26.202,NOR,@,CAR,W 20-10,,,,,,
51,2000,2000-11-19,11,26.209,NOR,,OAK,L 22-31,,,,,,
52,2000,2000-11-26,12,26.216,NOR,@,STL,W 31-24,,,,,,
53,2000,2000-12-03,13,26.223,NOR,,DEN,L 23-38,,,,,,
54,2000,2000-12-10,14,26.230,NOR,@,SFO,W 31-27,,,,,,
55,2000,2000-12-17,15,26.237,NOR,,ATL,W 23-7,,,,,,
56,2002,2002-11-10,9,28.200,GNB,,DET,W 40-14,,,,,,
57,2002,2002-11-17,10,28.207,GNB,@,MIN,L 21-31,,,,,,
