ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2003,2003-09-08,1,23.184,PHI,,TAM,L 0-17,,,,,,,0.0%,,,
2,2003,2003-09-28,3,23.204,PHI,@,BUF,W 23-13,,1,,,,,0.0%,,,
3,2003,2003-10-05,4,23.211,PHI,,WAS,W 27-25,,1,1,2,2.00,0,100.0%,2.00,0,0
4,2003,2003-10-12,5,23.218,PHI,@,DAL,L 21-23,,1,,,,,0.0%,,,
5,2003,2003-10-26,7,23.232,PHI,,NYJ,W 24-17,,,,,,,0.0%,,,
6,2004,2004-09-12,1,24.188,PHI,,NYG,W 31-17,,,,,,,0.0%,,,
7,2004,2004-10-24,6,24.230,PHI,@,CLE,W 34-31,,,,,,,0.0%,,,
8,2004,2004-10-31,7,24.237,PHI,,BAL,W 15-10,,1,,,,,0.0%,,,
9,2004,2004-11-07,8,24.244,PHI,@,PIT,L 3-27,,,,,,,0.0%,,,
10,2004,2004-11-15,9,24.252,PHI,@,DAL,W 49-21,,0,,,,,0.0%,,,
11,2004,2004-11-21,10,24.258,PHI,,WAS,W 28-6,,,,,,,0.0%,,,
12,2004,2004-12-27,15,24.294,PHI,@,STL,L 7-20,,4,1,5,5.00,0,25.0%,1.25,0,0
13,2004,2005-01-02,16,24.300,PHI,,CIN,L 10-38,,12,2,19,9.50,0,16.7%,1.58,0,0
14,2005,2005-09-12,1,25.188,PHI,@,ATL,L 10-14,,,0,0,,0,0.0%,,0,0
15,2005,2005-09-18,2,25.194,PHI,,SFO,W 42-3,,1,1,24,24.00,0,100.0%,24.00,0,0
16,2005,2005-09-25,3,25.201,PHI,,OAK,W 23-20,,,0,0,,0,0.0%,,0,0
17,2005,2005-10-02,4,25.208,PHI,@,KAN,W 37-31,,,0,0,,0,0.0%,,0,0
18,2005,2005-10-09,5,25.215,PHI,@,DAL,L 10-33,,0,0,0,,0,0.0%,,0,0
19,2005,2005-10-23,6,25.229,PHI,,SDG,W 20-17,,1,1,36,36.00,0,100.0%,36.00,0,0
20,2005,2005-10-30,7,25.236,PHI,@,DEN,L 21-49,,0,0,0,,0,0.0%,,0,0
21,2005,2005-11-06,8,25.243,PHI,@,WAS,L 10-17,,3,3,60,20.00,0,100.0%,20.00,0,0
22,2005,2005-11-14,9,25.251,PHI,,DAL,L 20-21,,2,1,5,5.00,0,50.0%,2.50,0,0
23,2005,2005-11-20,10,25.257,PHI,@,NYG,L 17-27,,1,1,5,5.00,0,100.0%,5.00,0,0
24,2005,2005-11-27,11,25.264,PHI,,GNB,W 19-14,,3,2,10,5.00,0,66.7%,3.33,0,0
25,2005,2005-12-05,12,25.272,PHI,,SEA,L 0-42,,2,0,0,,0,0.0%,0.00,0,0
26,2005,2005-12-11,13,25.278,PHI,,NYG,L 23-26,,9,2,46,23.00,0,22.2%,5.11,0,0
27,2005,2005-12-18,14,25.285,PHI,@,STL,W 17-16,,4,2,25,12.50,0,50.0%,6.25,0,0
28,2005,2005-12-24,15,25.291,PHI,@,ARI,L 21-27,,7,2,25,12.50,1,28.6%,3.57,1,6
29,2005,2006-01-01,16,25.299,PHI,,WAS,L 20-31,,5,3,32,10.67,0,60.0%,6.40,0,0
30,2006,2006-09-11,1,26.187,MIN,@,WAS,W 19-16,,1,1,22,22.00,0,100.0%,22.00,0,0
31,2006,2006-09-17,2,26.193,MIN,,CAR,W 16-13,,1,1,17,17.00,0,100.0%,17.00,0,0
32,2006,2006-09-24,3,26.200,MIN,,CHI,L 16-19,,2,2,21,10.50,0,100.0%,10.50,0,0
33,2006,2006-10-01,4,26.207,MIN,@,BUF,L 12-17,,1,1,9,9.00,0,100.0%,9.00,0,0
34,2006,2006-10-08,5,26.214,MIN,,DET,W 26-17,,,0,0,,0,0.0%,,0,0
35,2006,2006-10-22,6,26.228,MIN,@,SEA,W 31-13,,3,1,9,9.00,0,33.3%,3.00,0,0
36,2006,2006-10-30,7,26.236,MIN,,NWE,L 7-31,,3,2,15,7.50,0,66.7%,5.00,0,0
37,2006,2006-11-05,8,26.242,MIN,@,SFO,L 3-9,,,0,0,,0,0.0%,,0,0
38,2006,2006-11-12,9,26.249,MIN,,GNB,L 17-23,,4,3,64,21.33,1,75.0%,16.00,1,6
39,2006,2006-11-19,10,26.256,MIN,@,MIA,L 20-24,,2,0,0,,0,0.0%,0.00,0,0
